date,price
2023-09-14,54.35
2023-09-15,55.85
2023-09-16,59.18
2023-09-17,59.36
2023-09-18,60.57
2023-09-19,61.87
2023-09-20,65.5
2023-09-21,62.54
2023-09-22,64.35
2023-09-23,63.0
2023-09-24,61.75
2023-09-25,62.2
2023-09-26,61.11
2023-09-27,60.63
2023-09-28,65.69
2023-09-29,66.09
2023-09-30,67.54
2023-10-01,72.22
2023-10-02,69.17
2023-10-03,65.13
2023-10-04,66.67
2023-10-05,66.92
2023-10-06,68.93
2023-10-07,66.79
2023-10-08,66.04
2023-10-09,63.3
2023-10-10,64.13
2023-10-11,63.26
2023-10-12,62.96
2023-10-13,63.69
2023-10-14,64.28
2023-10-15,63.94
2023-10-16,64.81
2023-10-17,62.6
2023-10-18,62.03
2023-10-19,63.9
2023-10-20,65.94
2023-10-21,70.1
2023-10-22,79.26
2023-10-23,84.85
2023-10-24,83.43
2023-10-25,86.07
2023-10-26,80.8
2023-10-27,78.37
2023-10-28,80.13
2023-10-29,84.51
2023-10-30,83.76
2023-10-31,81.45
2023-11-01,89.18
2023-11-02,91.96
2023-11-03,90.06
2023-11-04,90.04
2023-11-05,89.1
2023-11-06,100.19
2023-11-07,97.56
2023-11-08,100.26
2023-11-09,100.79
2023-11-10,100.3
2023-11-11,96.9
2023-11-12,99.7
2023-11-13,93.01
2023-11-14,90.79
2023-11-15,95.48
2023-11-16,91.14
2023-11-17,88.81
2023-11-18,88.16
2023-11-19,91.55
2023-11-20,90.29
2023-11-21,84.54
2023-11-22,95.41
2023-11-23,95.96
2023-11-24,99.22
2023-11-25,99.64
2023-11-26,97.9
2023-11-27,96.26
2023-11-28,96.87
2023-11-29,96.42
2023-11-30,98.29
2023-12-01,100.16
2023-12-02,104.26
2023-12-03,102.72
2023-12-04,99.98
2023-12-05,98.67
2023-12-06,96.29
2023-12-07,98.67
2023-12-08,99.47
2023-12-09,98.66
2023-12-10,97.92
2023-12-11,91.61
2023-12-12,92.57
2023-12-13,94.79
2023-12-14,107.22
2023-12-15,108.18
2023-12-16,104.69
2023-12-17,100.01
2023-12-18,99.29
2023-12-19,101.34
2023-12-20,100.07
2023-12-21,101.68
2023-12-22,100.13
2023-12-23,99.46
2023-12-24,99.7
2023-12-25,102.83
2023-12-26,102.86
2023-12-27,112.05
2023-12-28,118.88
2023-12-29,112.48
2023-12-30,111.01
2023-12-31,108.64
2024-01-01,116.22
2024-01-02,110.35
2024-01-03,102.84
2024-01-04,103.91
2024-01-05,103.03
2024-01-06,99.42
2024-01-07,94.91
2024-01-08,99.15
2024-01-09,96.48
2024-01-10,107.1
2024-01-11,109.66
2024-01-12,102.95
2024-01-13,106.01
2024-01-14,99.27
2024-01-15,101.72
2024-01-16,103.57
2024-01-17,101.3
2024-01-18,96.77
2024-01-19,96.96
2024-01-20,97.39
2024-01-21,96.39
2024-01-22,91.62
2024-01-23,89.61
2024-01-24,89.95
2024-01-25,88.73
2024-01-26,91.31
2024-01-27,91.61
2024-01-28,91.14
2024-01-29,93.68
2024-01-30,93.02
2024-01-31,85.85
2024-02-01,83.91
2024-02-02,85.86
2024-02-03,85.66
2024-02-04,83.23
2024-02-05,84.09
2024-02-06,84.48
2024-02-07,84.15
2024-02-08,85.22
2024-02-09,87.65
2024-02-10,88.38
2024-02-11,87.3
2024-02-12,90.89
2024-02-13,89.66
2024-02-14,91.07
2024-02-15,92.35
2024-02-16,94.61
2024-02-17,93.98
2024-02-18,94.62
2024-02-19,96.21
2024-02-20,93.85
2024-02-21,91.72
2024-02-22,91.81
2024-02-23,94.61
2024-02-24,101.17
2024-02-25,100.35
2024-02-26,102.79
2024-02-27,104.81
2024-02-28,104.51
2024-02-29,105.84
2024-03-01,110.63
2024-03-02,116.21
2024-03-03,112.61
2024-03-04,114.34
2024-03-05,105.82
2024-03-06,127.62
2024-03-07,134.16
2024-03-08,132.99
2024-03-09,131.43
2024-03-10,126.88
2024-03-11,136.56
2024-03-12,135.35
2024-03-13,142.74
2024-03-14,139.4
2024-03-15,129.1
2024-03-16,118.71
2024-03-17,126.78
2024-03-18,123.33
2024-03-19,109.33
2024-03-20,120.14
2024-03-21,123.36
2024-03-22,118.95
2024-03-23,121.38
2024-03-24,124.84
2024-03-25,127.0
2024-03-26,130.88
2024-03-27,124.87
2024-03-28,127.8
2024-03-29,127.56
2024-03-30,123.94
2024-03-31,128.41
2024-04-01,129.31
2024-04-02,115.54
2024-04-03,114.52
2024-04-04,116.42
2024-04-05,113.79
2024-04-06,118.6
2024-04-07,122.79
2024-04-08,129.17
2024-04-09,126.5
2024-04-10,128.51
2024-04-11,117.68
2024-04-12,100.08
2024-04-13,82.99
2024-04-14,88.14
2024-04-15,84.95
2024-04-16,86.79
2024-04-17,83.66
2024-04-18,85.46
2024-04-19,85.84
2024-04-20,91.82
2024-04-21,91.08
2024-04-22,96.47
2024-04-23,94.69
2024-04-24,90.73
2024-04-25,91.52
2024-04-26,89.56
2024-04-27,91.72
2024-04-28,90.34
2024-04-29,89.39
2024-04-30,83.31
2024-05-01,83.59
2024-05-02,84.94
2024-05-03,88.83
2024-05-04,89.06
2024-05-05,90.04
2024-05-06,87.91
2024-05-07,87.99
2024-05-08,86.09
2024-05-09,89.94
2024-05-10,83.78
2024-05-11,82.28
2024-05-12,83.06
2024-05-13,82.77
2024-05-14,80.42
2024-05-15,86.09
2024-05-16,85.95
2024-05-17,88.25
2024-05-18,88.23
2024-05-19,85.38
2024-05-20,98.04
2024-05-21,97.08
2024-05-22,94.33
2024-05-23,97.87
2024-05-24,99.43
2024-05-25,105.2
2024-05-26,109.61
2024-05-27,108.56
2024-05-28,106.32
2024-05-29,103.66
2024-05-30,102.88
2024-05-31,103.75
2024-06-01,104.0
2024-06-02,103.17
2024-06-03,101.05
2024-06-04,103.05
2024-06-05,104.3
2024-06-06,102.38
2024-06-07,97.38
2024-06-08,92.9
2024-06-09,93.43
2024-06-10,90.79
2024-06-11,87.76
2024-06-12,89.97
2024-06-13,83.76
2024-06-14,83.6
2024-06-15,85.8
2024-06-16,85.77
2024-06-17,84.96
2024-06-18,82.04
2024-06-19,87.32
2024-06-20,84.73
2024-06-21,81.97
2024-06-22,81.63
2024-06-23,80.7
2024-06-24,86.27
2024-06-25,92.06
2024-06-26,94.38
2024-06-27,93.25
2024-06-28,93.44
2024-06-29,96.46
2024-06-30,97.32
2024-07-01,98.23
2024-07-02,91.42
2024-07-03,84.22
2024-07-04,79.55
2024-07-05,79.83
2024-07-06,83.2
2024-07-07,78.17
2024-07-08,82.02
2024-07-09,85.28
2024-07-10,91.13
2024-07-11,92.8
2024-07-12,97.49
2024-07-13,99.26
2024-07-14,104.45
2024-07-15,104.08
2024-07-16,100.72
2024-07-17,98.07
2024-07-18,98.54
2024-07-19,100.76
2024-07-20,99.02
2024-07-21,98.4
2024-07-22,94.18
2024-07-23,94.49
2024-07-24,89.94
2024-07-25,92.81
2024-07-26,97.83
2024-07-27,101.1
2024-07-28,98.68
2024-07-29,104.93
2024-07-30,105.15
2024-07-31,107.43
2024-08-01,116.75
2024-08-02,110.25
2024-08-03,105.48
2024-08-04,97.11
2024-08-05,95.65
2024-08-06,103.69
2024-08-07,98.33
2024-08-08,101.5
2024-08-09,96.42
2024-08-10,93.39
2024-08-11,91.2
2024-08-12,95.73
2024-08-13,97.8
2024-08-14,106.12
2024-08-15,107.84
2024-08-16,112.73
2024-08-17,110.99
2024-08-18,111.38
2024-08-19,118.19
2024-08-20,128.87
2024-08-21,140.26
2024-08-22,135.81
2024-08-23,143.43
2024-08-24,137.07
2024-08-25,135.5
2024-08-26,128.75
2024-08-27,120.01
2024-08-28,125.46
2024-08-29,123.27
2024-08-30,131.28
2024-08-31,129.75
2024-09-01,120.7
2024-09-02,134.86
2024-09-03,118.78
2024-09-04,135.22
2024-09-05,128.92
2024-09-06,126.94
2024-09-07,125.11
2024-09-08,125.95
2024-09-09,139.99
2024-09-10,150.66
2024-09-11,149.61
2024-09-12,145.05
2024-09-13,144.42
2024-09-14,140.13
2024-09-15,143.42
2024-09-16,140.3
2024-09-17,140.57
2024-09-18,141.7
2024-09-19,150.45
2024-09-20,153.44
2024-09-21,154.61
2024-09-22,162.22
2024-09-23,172.01
2024-09-24,166.1
2024-09-25,165.01
2024-09-26,165.25
2024-09-27,170.48
2024-09-28,164.0
2024-09-29,161.48
2024-09-30,156.69
2024-10-01,144.8
2024-10-02,139.15
2024-10-03,143.7
2024-10-04,151.3
2024-10-05,148.54
2024-10-06,150.08
2024-10-07,146.62
2024-10-08,143.04
2024-10-09,139.38
2024-10-10,140.67
2024-10-11,143.79
2024-10-12,154.75
2024-10-13,154.65
2024-10-14,162.92
2024-10-15,156.81
2024-10-16,155.91
2024-10-17,153.03
2024-10-18,158.96
2024-10-19,158.11
2024-10-20,158.81
2024-10-21,153.21
2024-10-22,152.47
2024-10-23,149.48
2024-10-24,147.4
2024-10-25,137.81
2024-10-26,142.58
2024-10-27,147.72
2024-10-28,151.55
2024-10-29,151.38
2024-10-30,156.14
2024-10-31,143.35
2024-11-01,141.38
2024-11-02,138.37
2024-11-03,132.87
2024-11-04,128.22
2024-11-05,135.8
2024-11-06,173.78
2024-11-07,183.69
2024-11-08,182.05
2024-11-09,195.61
2024-11-10,190.25
2024-11-11,193.71
2024-11-12,179.61
2024-11-13,173.45
2024-11-14,158.11
2024-11-15,164.46
2024-11-16,169.02
2024-11-17,162.07
2024-11-18,170.8
2024-11-19,162.11
2024-11-20,156.86
2024-11-21,169.39
2024-11-22,173.58
2024-11-23,174.7
2024-11-24,171.32
2024-11-25,181.33
2024-11-26,181.44
2024-11-27,210.68
2024-11-28,200.22
2024-11-29,198.94
2024-11-30,211.83
2024-12-01,209.23
2024-12-02,235.44
2024-12-03,240.53
2024-12-04,256.77
2024-12-05,247.98
2024-12-06,282.15
2024-12-07,282.43
2024-12-08,282.76
2024-12-09,260.88
2024-12-10,276.58
2024-12-11,302.83
2024-12-12,367.13
2024-12-13,377.72
2024-12-14,365.53
2024-12-15,368.27
2024-12-16,379.75
2024-12-17,361.32
2024-12-18,339.52
2024-12-19,314.97
2024-12-20,329.38
2024-12-21,299.14
2024-12-22,318.6
2024-12-23,383.0
2024-12-24,374.88
2024-12-25,369.79
2024-12-26,337.5
2024-12-27,323.41
2024-12-28,354.0
2024-12-29,332.08
2024-12-30,321.46
2024-12-31,308.17
2025-01-01,319.18
2025-01-02,333.14
2025-01-03,350.46
2025-01-04,351.6
2025-01-05,341.58
2025-01-06,341.56
2025-01-07,306.85
2025-01-08,293.46
2025-01-09,281.12
2025-01-10,285.79
2025-01-11,287.2
2025-01-12,287.82
2025-01-13,289.54
2025-01-14,295.42
2025-01-15,319.91
2025-01-16,311.2
2025-01-17,335.38
2025-01-18,315.18
2025-01-19,308.85
2025-01-20,337.04
2025-01-21,370.77
2025-01-22,346.25
2025-01-23,337.47
2025-01-24,334.87
2025-01-25,326.36
2025-01-26,316.45
2025-01-27,305.09
2025-01-28,284.05
2025-01-29,290.87
2025-01-30,315.44
2025-01-31,332.46
2025-02-01,296.12
2025-02-02,258.68
2025-02-03,276.65
2025-02-04,272.34
2025-02-05,259.74
2025-02-06,241.51
2025-02-07,238.1
2025-02-08,238.83
2025-02-09,241.33
2025-02-10,252.62
2025-02-11,243.79
2025-02-12,252.75
2025-02-13,256.46
2025-02-14,262.63
2025-02-15,253.35
2025-02-16,254.03
2025-02-17,264.47
2025-02-18,249.36
2025-02-19,252.95
2025-02-20,261.38
2025-02-21,242.77
2025-02-22,247.13
2025-02-23,247.75
2025-02-24,210.78
2025-02-25,204.91
2025-02-26,202.33
2025-02-27,203.81
2025-02-28,192.3
2025-03-01,194.99
2025-03-02,223.55
2025-03-03,180.7
2025-03-04,206.69
2025-03-05,220.91
2025-03-06,208.5
2025-03-07,196.6
2025-03-08,195.61
2025-03-09,178.35
2025-03-10,180.31
2025-03-11,181.95
2025-03-12,174.78
2025-03-13,162.71
2025-03-14,173.14
2025-03-15,172.96
2025-03-16,164.74
2025-03-17,174.79
2025-03-18,170.01
2025-03-19,182.55
2025-03-20,178.63
2025-03-21,178.13
2025-03-22,179.77
2025-03-23,185.03
2025-03-24,190.81
2025-03-25,186.81
2025-03-26,177.45
2025-03-27,184.73
2025-03-28,175.76
2025-03-29,168.07
2025-03-30,163.53
2025-03-31,159.6
2025-04-01,166.09
2025-04-02,150.23
2025-04-03,151.08
2025-04-04,151.93
2025-04-05,152.49
2025-04-06,128.9
2025-04-07,131.93
2025-04-08,125.17
2025-04-09,143.07
2025-04-10,131.94
2025-04-11,136.47
2025-04-12,148.01
2025-04-13,139.12
2025-04-14,137.6
2025-04-15,134.2
2025-04-16,133.98
2025-04-17,138.84
2025-04-18,138.47
2025-04-19,141.97
2025-04-20,140.91
2025-04-21,142.87
2025-04-22,158.21
2025-04-23,168.17
2025-04-24,168.0
2025-04-25,166.63
2025-04-26,172.96
2025-04-27,166.7
2025-04-28,166.29
2025-04-29,165.64
2025-04-30,164.28
2025-05-01,173.05
2025-05-02,174.7
2025-05-03,178.07
2025-05-04,171.16
2025-05-05,176.91
2025-05-06,177.84
2025-05-07,172.1
2025-05-08,206.24
2025-05-09,211.24
2025-05-10,228.62
2025-05-11,221.21
2025-05-12,221.76
2025-05-13,236.37
2025-05-14,229.6
2025-05-15,223.84
2025-05-16,230.99
2025-05-17,222.28
2025-05-18,232.22
2025-05-19,247.81
2025-05-20,259.44
2025-05-21,247.7
2025-05-22,256.97
2025-05-23,256.2
2025-05-24,261.95
2025-05-25,269.39
2025-05-26,267.54
2025-05-27,271.76
2025-05-28,265.0
2025-05-29,250.12
2025-05-30,251.14
2025-05-31,247.08
2025-06-01,246.19
2025-06-02,257.85
2025-06-03,266.56
2025-06-04,264.4
2025-06-05,241.9
2025-06-06,251.1
2025-06-07,257.57
2025-06-08,253.97
2025-06-09,283.41
2025-06-10,308.38
2025-06-11,303.99
2025-06-12,294.06
2025-06-13,291.28
2025-06-14,275.29
2025-06-15,274.94
2025-06-16,275.12
2025-06-17,266.67
2025-06-18,259.09
2025-06-19,255.73
2025-06-20,247.36
2025-06-21,234.9
2025-06-22,227.89
2025-06-23,257.36
2025-06-24,264.12
2025-06-25,256.04
2025-06-26,250.45
2025-06-27,259.41
2025-06-28,260.02
2025-06-29,278.68
2025-06-30,274.58
2025-07-01,260.0
2025-07-02,276.22
2025-07-03,279.48
2025-07-04,266.04
2025-07-05,270.99
