date,price
2023-09-14,0.2514
2023-09-15,0.2506
2023-09-16,0.2504
2023-09-17,0.2472
2023-09-18,0.2516
2023-09-19,0.2549
2023-09-20,0.2517
2023-09-21,0.245
2023-09-22,0.245
2023-09-23,0.2462
2023-09-24,0.2428
2023-09-25,0.2459
2023-09-26,0.2453
2023-09-27,0.2445
2023-09-28,0.249
2023-09-29,0.2494
2023-09-30,0.254
2023-10-01,0.266
2023-10-02,0.2593
2023-10-03,0.261
2023-10-04,0.2589
2023-10-05,0.2603
2023-10-06,0.2648
2023-10-07,0.2588
2023-10-08,0.2566
2023-10-09,0.2513
2023-10-10,0.2491
2023-10-11,0.2478
2023-10-12,0.2459
2023-10-13,0.2458
2023-10-14,0.2471
2023-10-15,0.2474
2023-10-16,0.2514
2023-10-17,0.2465
2023-10-18,0.243
2023-10-19,0.2471
2023-10-20,0.2514
2023-10-21,0.2588
2023-10-22,0.2641
2023-10-23,0.2809
2023-10-24,0.2791
2023-10-25,0.2809
2023-10-26,0.2872
2023-10-27,0.2895
2023-10-28,0.2911
2023-10-29,0.2955
2023-10-30,0.3031
2023-10-31,0.2931
2023-11-01,0.3074
2023-11-02,0.3231
2023-11-03,0.3293
2023-11-04,0.3281
2023-11-05,0.3421
2023-11-06,0.3626
2023-11-07,0.3513
2023-11-08,0.358
2023-11-09,0.3685
2023-11-10,0.3862
2023-11-11,0.3844
2023-11-12,0.3835
2023-11-13,0.3569
2023-11-14,0.3579
2023-11-15,0.3789
2023-11-16,0.3708
2023-11-17,0.3673
2023-11-18,0.3776
2023-11-19,0.3842
2023-11-20,0.3805
2023-11-21,0.3569
2023-11-22,0.3804
2023-11-23,0.3873
2023-11-24,0.3862
2023-11-25,0.3944
2023-11-26,0.3877
2023-11-27,0.3778
2023-11-28,0.3858
2023-11-29,0.3816
2023-11-30,0.376
2023-12-01,0.3843
2023-12-02,0.3979
2023-12-03,0.395
2023-12-04,0.4068
2023-12-05,0.4259
2023-12-06,0.4428
2023-12-07,0.4558
2023-12-08,0.5457
2023-12-09,0.5791
2023-12-10,0.5948
2023-12-11,0.5506
2023-12-12,0.5783
2023-12-13,0.6674
2023-12-14,0.6436
2023-12-15,0.6005
2023-12-16,0.6076
2023-12-17,0.5799
2023-12-18,0.6023
2023-12-19,0.5761
2023-12-20,0.5897
2023-12-21,0.6352
2023-12-22,0.6232
2023-12-23,0.6132
2023-12-24,0.5923
2023-12-25,0.6243
2023-12-26,0.6088
2023-12-27,0.6338
2023-12-28,0.6162
2023-12-29,0.6084
2023-12-30,0.601
2023-12-31,0.5938
2024-01-01,0.6234
2024-01-02,0.6052
2024-01-03,0.5572
2024-01-04,0.5704
2024-01-05,0.5419
2024-01-06,0.5231
2024-01-07,0.4946
2024-01-08,0.5416
2024-01-09,0.5123
2024-01-10,0.5662
2024-01-11,0.5821
2024-01-12,0.5476
2024-01-13,0.5489
2024-01-14,0.5248
2024-01-15,0.5274
2024-01-16,0.5354
2024-01-17,0.5278
2024-01-18,0.5019
2024-01-19,0.5041
2024-01-20,0.5157
2024-01-21,0.5027
2024-01-22,0.4781
2024-01-23,0.477
2024-01-24,0.4762
2024-01-25,0.4663
2024-01-26,0.4848
2024-01-27,0.4861
2024-01-28,0.4902
2024-01-29,0.5259
2024-01-30,0.5137
2024-01-31,0.4974
2024-02-01,0.5075
2024-02-02,0.5143
2024-02-03,0.5123
2024-02-04,0.4932
2024-02-05,0.4938
2024-02-06,0.4982
2024-02-07,0.5021
2024-02-08,0.5303
2024-02-09,0.5409
2024-02-10,0.5517
2024-02-11,0.5418
2024-02-12,0.5596
2024-02-13,0.5452
2024-02-14,0.5775
2024-02-15,0.6094
2024-02-16,0.5992
2024-02-17,0.6097
2024-02-18,0.6195
2024-02-19,0.6308
2024-02-20,0.622
2024-02-21,0.5988
2024-02-22,0.5855
2024-02-23,0.5823
2024-02-24,0.5969
2024-02-25,0.5913
2024-02-26,0.6197
2024-02-27,0.6242
2024-02-28,0.6294
2024-02-29,0.6551
2024-03-01,0.7201
2024-03-02,0.7419
2024-03-03,0.7284
2024-03-04,0.7711
2024-03-05,0.6935
2024-03-06,0.7353
2024-03-07,0.7439
2024-03-08,0.7243
2024-03-09,0.7431
2024-03-10,0.7173
2024-03-11,0.7751
2024-03-12,0.7483
2024-03-13,0.7646
2024-03-14,0.7505
2024-03-15,0.7273
2024-03-16,0.6586
2024-03-17,0.6808
2024-03-18,0.6603
2024-03-19,0.5862
2024-03-20,0.6398
2024-03-21,0.6316
2024-03-22,0.6148
2024-03-23,0.6231
2024-03-24,0.6466
2024-03-25,0.6566
2024-03-26,0.665
2024-03-27,0.6476
2024-03-28,0.651
2024-03-29,0.6645
2024-03-30,0.6439
2024-03-31,0.65
2024-04-01,0.6217
2024-04-02,0.5808
2024-04-03,0.5693
2024-04-04,0.5833
2024-04-05,0.5742
2024-04-06,0.5837
2024-04-07,0.5889
2024-04-08,0.6139
2024-04-09,0.5911
2024-04-10,0.5862
2024-04-11,0.5858
2024-04-12,0.503
2024-04-13,0.4457
2024-04-14,0.4682
2024-04-15,0.4611
2024-04-16,0.4586
2024-04-17,0.4442
2024-04-18,0.4583
2024-04-19,0.4683
2024-04-20,0.5073
2024-04-21,0.4992
2024-04-22,0.517
2024-04-23,0.5
2024-04-24,0.4746
2024-04-25,0.4705
2024-04-26,0.4628
2024-04-27,0.4671
2024-04-28,0.4597
2024-04-29,0.457
2024-04-30,0.4409
2024-05-01,0.4495
2024-05-02,0.4578
2024-05-03,0.4675
2024-05-04,0.4632
2024-05-05,0.4581
2024-05-06,0.454
2024-05-07,0.4415
2024-05-08,0.4516
2024-05-09,0.4635
2024-05-10,0.4478
2024-05-11,0.4386
2024-05-12,0.4377
2024-05-13,0.4366
2024-05-14,0.4281
2024-05-15,0.4527
2024-05-16,0.4598
2024-05-17,0.4823
2024-05-18,0.4823
2024-05-19,0.4672
2024-05-20,0.502
2024-05-21,0.4945
2024-05-22,0.4832
2024-05-23,0.4656
2024-05-24,0.46
2024-05-25,0.462
2024-05-26,0.458
2024-05-27,0.4681
2024-05-28,0.4572
2024-05-29,0.4507
2024-05-30,0.4464
2024-05-31,0.4466
2024-06-01,0.4495
2024-06-02,0.4462
2024-06-03,0.4573
2024-06-04,0.4616
2024-06-05,0.4614
2024-06-06,0.4581
2024-06-07,0.4492
2024-06-08,0.4368
2024-06-09,0.444
2024-06-10,0.4404
2024-06-11,0.4219
2024-06-12,0.4377
2024-06-13,0.4209
2024-06-14,0.4119
2024-06-15,0.4137
2024-06-16,0.4165
2024-06-17,0.4011
2024-06-18,0.3834
2024-06-19,0.3843
2024-06-20,0.3841
2024-06-21,0.3759
2024-06-22,0.3845
2024-06-23,0.3799
2024-06-24,0.3776
2024-06-25,0.3917
2024-06-26,0.3847
2024-06-27,0.3907
2024-06-28,0.3852
2024-06-29,0.3836
2024-06-30,0.3919
2024-07-01,0.4028
2024-07-02,0.4179
2024-07-03,0.4066
2024-07-04,0.362
2024-07-05,0.3499
2024-07-06,0.3708
2024-07-07,0.3467
2024-07-08,0.3692
2024-07-09,0.3754
2024-07-10,0.3887
2024-07-11,0.3961
2024-07-12,0.4166
2024-07-13,0.4419
2024-07-14,0.432
2024-07-15,0.4453
2024-07-16,0.4383
2024-07-17,0.4361
2024-07-18,0.4234
2024-07-19,0.4392
2024-07-20,0.4376
2024-07-21,0.4469
2024-07-22,0.4264
2024-07-23,0.4102
2024-07-24,0.4064
2024-07-25,0.3947
2024-07-26,0.4173
2024-07-27,0.4175
2024-07-28,0.4073
2024-07-29,0.4032
2024-07-30,0.4013
2024-07-31,0.3881
2024-08-01,0.3925
2024-08-02,0.3633
2024-08-03,0.3645
2024-08-04,0.344
2024-08-05,0.312
2024-08-06,0.3312
2024-08-07,0.324
2024-08-08,0.3518
2024-08-09,0.3485
2024-08-10,0.3458
2024-08-11,0.3277
2024-08-12,0.3391
2024-08-13,0.34
2024-08-14,0.3354
2024-08-15,0.3249
2024-08-16,0.3303
2024-08-17,0.3373
2024-08-18,0.3343
2024-08-19,0.3368
2024-08-20,0.3436
2024-08-21,0.369
2024-08-22,0.3764
2024-08-23,0.3916
2024-08-24,0.3939
2024-08-25,0.385
2024-08-26,0.3662
2024-08-27,0.3505
2024-08-28,0.3501
2024-08-29,0.3579
2024-08-30,0.3471
2024-08-31,0.345
2024-09-01,0.3315
2024-09-02,0.3363
2024-09-03,0.3185
2024-09-04,0.3234
2024-09-05,0.3251
2024-09-06,0.3148
2024-09-07,0.3254
2024-09-08,0.3391
2024-09-09,0.3434
2024-09-10,0.3431
2024-09-11,0.3532
2024-09-12,0.3563
2024-09-13,0.3609
2024-09-14,0.3544
2024-09-15,0.3386
2024-09-16,0.3303
2024-09-17,0.3338
2024-09-18,0.3442
2024-09-19,0.351
2024-09-20,0.3523
2024-09-21,0.3585
2024-09-22,0.3517
2024-09-23,0.3638
2024-09-24,0.3877
2024-09-25,0.381
2024-09-26,0.4018
2024-09-27,0.4019
2024-09-28,0.4006
2024-09-29,0.3978
2024-09-30,0.3733
2024-10-01,0.3522
2024-10-02,0.3433
2024-10-03,0.3454
2024-10-04,0.3516
2024-10-05,0.3509
2024-10-06,0.3573
2024-10-07,0.3514
2024-10-08,0.3445
