date,price
2024-10-01,0.1248
2024-10-02,0.1211
2024-10-03,0.1221
2024-10-04,0.126
2024-10-05,0.1258
2024-10-06,0.1269
2024-10-07,0.1246
2024-10-08,0.1213
2024-10-09,0.1187
2024-10-10,0.1184
2024-10-11,0.1214
2024-10-12,0.1218
2024-10-13,0.1208
2024-10-14,0.1267
2024-10-15,0.1258
2024-10-16,0.1229
2024-10-17,0.1198
2024-10-18,0.1232
2024-10-19,0.1233
2024-10-20,0.1303
2024-10-21,0.1255
2024-10-22,0.1241
2024-10-23,0.1211
2024-10-24,0.122
2024-10-25,0.1142
2024-10-26,0.1146
2024-10-27,0.1157
2024-10-28,0.1182
2024-10-29,0.1238
2024-10-30,0.1207
2024-10-31,0.1142
2024-11-01,0.1147
2024-11-02,0.1138
2024-11-03,0.1095
2024-11-04,0.1092
2024-11-05,0.1141
2024-11-06,0.1219
2024-11-07,0.1228
2024-11-08,0.1313
2024-11-09,0.134
2024-11-10,0.1455
2024-11-11,0.1595
2024-11-12,0.1545
2024-11-13,0.1458
2024-11-14,0.1452
2024-11-15,0.1856
2024-11-16,0.1966
2024-11-17,0.1837
2024-11-18,0.2161
2024-11-19,0.2236
2024-11-20,0.211
2024-11-21,0.2144
2024-11-22,0.2589
2024-11-23,0.2939
2024-11-24,0.2845
2024-11-25,0.2594
2024-11-26,0.2977
2024-11-27,0.2933
2024-11-28,0.3226
2024-11-29,0.4409
2024-11-30,0.4439
2024-12-01,0.4864
2024-12-02,0.5044
2024-12-03,0.5063
2024-12-04,0.4792
2024-12-05,0.4499
2024-12-06,0.4995
2024-12-07,0.5097
2024-12-08,0.4973
2024-12-09,0.4169
2024-12-10,0.4237
2024-12-11,0.4524
2024-12-12,0.4281
2024-12-13,0.4376
2024-12-14,0.4209
2024-12-15,0.4317
2024-12-16,0.4133
2024-12-17,0.4131
2024-12-18,0.3673
2024-12-19,0.3321
2024-12-20,0.348
2024-12-21,0.3282
2024-12-22,0.3474
2024-12-23,0.376
2024-12-24,0.3961
2024-12-25,0.3807
2024-12-26,0.3461
2024-12-27,0.3326
2024-12-28,0.3444
2024-12-29,0.325
2024-12-30,0.3277
2024-12-31,0.3339
2025-01-01,0.3763
2025-01-02,0.3923
2025-01-03,0.4188
2025-01-04,0.41
2025-01-05,0.4047
2025-01-06,0.4149
2025-01-07,0.3727
2025-01-08,0.3591
2025-01-09,0.3418
2025-01-10,0.3725
2025-01-11,0.3779
2025-01-12,0.3601
2025-01-13,0.3493
2025-01-14,0.3725
2025-01-15,0.4441
2025-01-16,0.4638
2025-01-17,0.4688
2025-01-18,0.4449
2025-01-19,0.3974
2025-01-20,0.4297
2025-01-21,0.4244
2025-01-22,0.4053
2025-01-23,0.4103
2025-01-24,0.4003
2025-01-25,0.4033
2025-01-26,0.3817
2025-01-27,0.3868
2025-01-28,0.3627
2025-01-29,0.3693
2025-01-30,0.3876
2025-01-31,0.379
2025-02-01,0.3478
2025-02-02,0.2998
2025-02-03,0.3132
2025-02-04,0.2914
2025-02-05,0.2814
2025-02-06,0.2668
2025-02-07,0.2697
