date,price
2024-09-28,8.07
2024-09-29,8.082
2024-09-30,7.677
2024-10-01,7.551
2024-10-02,7.791
2024-10-03,8.571
2024-10-04,9.099
2024-10-05,8.61
2024-10-06,8.699
2024-10-07,8.678
2024-10-08,9.332
2024-10-09,8.551
2024-10-10,8.089
2024-10-11,8.518
2024-10-12,9.934
2024-10-13,10.18
2024-10-14,10.17
2024-10-15,10.47
2024-10-16,10.03
2024-10-17,9.929
2024-10-18,10.01
2024-10-19,9.71
2024-10-20,9.981
2024-10-21,10.1
2024-10-22,10.39
2024-10-23,9.922
2024-10-24,10.17
2024-10-25,8.933
2024-10-26,9.291
2024-10-27,9.194
2024-10-28,9.21
2024-10-29,10.04
2024-10-30,9.802
2024-10-31,9.082
2024-11-01,8.922
2024-11-02,8.623
2024-11-03,8.192
2024-11-04,8.068
2024-11-05,8.462
2024-11-06,9.573
2024-11-07,9.83
2024-11-08,9.729
2024-11-09,10.43
2024-11-10,10.91
2024-11-11,13.74
2024-11-12,12.37
2024-11-13,11.73
2024-11-14,11.23
2024-11-15,11.88
2024-11-16,12.31
2024-11-17,11.79
2024-11-18,12.05
2024-11-19,11.82
2024-11-20,11.79
2024-11-21,12.08
2024-11-22,12.49
2024-11-23,12.75
2024-11-24,12.53
2024-11-25,11.82
2024-11-26,11.99
2024-11-27,12.67
2024-11-28,12.78
2024-11-29,13.29
2024-11-30,13.39
2024-12-01,13.47
2024-12-02,13.74
2024-12-03,14.52
2024-12-04,14.16
2024-12-05,13.65
2024-12-06,14.7
2024-12-07,14.59
2024-12-08,14.51
2024-12-09,11.96
2024-12-10,11.64
2024-12-11,12.89
2024-12-12,13.67
2024-12-13,14.2
2024-12-14,13.41
2024-12-15,13.65
2024-12-16,13.93
2024-12-17,12.93
2024-12-18,11.82
2024-12-19,11.37
2024-12-20,10.85
2024-12-21,9.517
2024-12-22,9.221
2024-12-23,9.691
2024-12-24,9.811
2024-12-25,9.543
2024-12-26,8.793
2024-12-27,8.728
2024-12-28,9.18
2024-12-29,8.867
2024-12-30,8.859
2024-12-31,8.7
2025-01-01,9.013
2025-01-02,9.278
2025-01-03,9.806
2025-01-04,10.0
2025-01-05,10.1
2025-01-06,10.19
2025-01-07,9.673
2025-01-08,9.02
2025-01-09,8.65
2025-01-10,9.144
2025-01-11,9.126
2025-01-12,8.831
2025-01-13,8.481
2025-01-14,9.019
2025-01-15,9.471
2025-01-16,9.23
2025-01-17,9.759
2025-01-18,9.32
2025-01-19,8.489
2025-01-20,8.539
2025-01-21,8.74
2025-01-22,8.487
2025-01-23,8.339
2025-01-24,8.21
2025-01-25,8.092
2025-01-26,7.82
2025-01-27,7.634
2025-01-28,7.218
2025-01-29,7.43
2025-01-30,7.84
2025-01-31,7.811
2025-02-01,7.053
2025-02-02,6.149
2025-02-03,6.51
2025-02-04,6.087
2025-02-05,5.961
2025-02-06,5.739
2025-02-07,5.719
2025-02-08,5.844
2025-02-09,5.9
2025-02-10,6.199
2025-02-11,5.881
2025-02-12,6.16
2025-02-13,6.131
2025-02-14,6.1
2025-02-15,6.01
2025-02-16,5.82
2025-02-17,5.923
2025-02-18,5.627
2025-02-19,6.33
2025-02-20,6.309
2025-02-21,5.972
2025-02-22,6.03
2025-02-23,6.121
2025-02-24,5.409
2025-02-25,5.631
2025-02-26,5.897
2025-02-27,6.136
2025-02-28,6.46
2025-03-01,6.309
2025-03-02,6.749
2025-03-03,5.733
2025-03-04,5.461
2025-03-05,6.201
2025-03-06,5.989
2025-03-07,6.165
2025-03-08,5.949
2025-03-09,5.607
2025-03-10,5.191
2025-03-11,5.3
2025-03-12,5.21
2025-03-13,5.15
2025-03-14,5.201
2025-03-15,5.341
2025-03-16,5.15
2025-03-17,5.35
2025-03-18,5.432
2025-03-19,5.602
2025-03-20,5.621
2025-03-21,5.62
2025-03-22,5.663
2025-03-23,5.71
2025-03-24,6.029
2025-03-25,5.92
2025-03-26,5.941
2025-03-27,5.96
2025-03-28,5.559
2025-03-29,5.228
2025-03-30,5.29
2025-03-31,5.27
2025-04-01,5.4
2025-04-02,5.102
2025-04-03,5.06
2025-04-04,4.91
2025-04-05,4.881
2025-04-06,4.349
2025-04-07,4.41
2025-04-08,4.35
2025-04-09,4.73
2025-04-10,4.613
2025-04-11,4.79
2025-04-12,4.961
2025-04-13,4.828
