date,price
2023-04-04,1.236
2023-04-05,1.242
2023-04-06,1.215
2023-04-07,1.197
2023-04-08,1.162
2023-04-09,1.182
2023-04-10,1.243
2023-04-11,1.218
2023-04-12,1.194
2023-04-13,1.37
2023-04-14,1.698
2023-04-15,1.655
2023-04-16,1.697
2023-04-17,1.611
2023-04-18,1.673
2023-04-19,1.489
2023-04-20,1.441
2023-04-21,1.473
2023-04-22,1.465
2023-04-23,1.342
2023-04-24,1.338
2023-04-25,1.38
2023-04-26,1.385
2023-04-27,1.424
2023-04-28,1.381
2023-04-29,1.368
2023-04-30,1.369
2023-05-01,1.32
2023-05-02,1.35
2023-05-03,1.343
2023-05-04,1.32
2023-05-05,1.357
2023-05-06,1.243
2023-05-07,1.222
2023-05-08,1.096
2023-05-09,1.104
2023-05-10,1.173
2023-05-11,1.09
2023-05-12,1.172
2023-05-13,1.171
2023-05-14,1.172
2023-05-15,1.191
2023-05-16,1.18
2023-05-17,1.198
2023-05-18,1.156
2023-05-19,1.165
2023-05-20,1.164
2023-05-21,1.127
2023-05-22,1.126
2023-05-23,1.167
2023-05-24,1.109
2023-05-25,1.107
2023-05-26,1.158
2023-05-27,1.173
2023-05-28,1.25
2023-05-29,1.228
2023-05-30,1.218
2023-05-31,1.162
2023-06-01,1.147
2023-06-02,1.242
2023-06-03,1.217
2023-06-04,1.208
2023-06-05,1.137
2023-06-06,1.188
2023-06-07,1.126
2023-06-08,1.129
2023-06-09,1.131
2023-06-10,0.994
2023-06-11,0.993
2023-06-12,0.9794
2023-06-13,0.993
2023-06-14,0.9418
2023-06-15,0.9499
2023-06-16,0.9753
2023-06-17,0.9936
2023-06-18,0.9938
2023-06-19,1.008
2023-06-20,1.084
2023-06-21,1.141
2023-06-22,1.089
2023-06-23,1.135
2023-06-24,1.079
2023-06-25,1.114
2023-06-26,1.141
2023-06-27,1.206
2023-06-28,1.122
2023-06-29,1.129
2023-06-30,1.164
2023-07-01,1.152
2023-07-02,1.151
2023-07-03,1.169
2023-07-04,1.148
2023-07-05,1.112
2023-07-06,1.068
2023-07-07,1.132
2023-07-08,1.125
2023-07-09,1.125
2023-07-10,1.119
2023-07-11,1.128
2023-07-12,1.123
2023-07-13,1.224
2023-07-14,1.215
2023-07-15,1.272
2023-07-16,1.272
2023-07-17,1.306
2023-07-18,1.245
2023-07-19,1.267
2023-07-20,1.262
2023-07-21,1.232
2023-07-22,1.225
2023-07-23,1.251
2023-07-24,1.187
2023-07-25,1.169
2023-07-26,1.198
2023-07-27,1.172
2023-07-28,1.174
2023-07-29,1.182
2023-07-30,1.158
2023-07-31,1.169
2023-08-01,1.162
2023-08-02,1.133
2023-08-03,1.129
2023-08-04,1.156
2023-08-05,1.136
2023-08-06,1.137
2023-08-07,1.133
2023-08-08,1.159
2023-08-09,1.176
2023-08-10,1.159
2023-08-11,1.158
2023-08-12,1.163
2023-08-13,1.141
2023-08-14,1.141
2023-08-15,1.129
2023-08-16,1.048
2023-08-17,0.9855
2023-08-18,1.007
2023-08-19,1.022
2023-08-20,1.03
2023-08-21,0.9942
2023-08-22,0.9811
2023-08-23,1.009
2023-08-24,0.9804
2023-08-25,0.9481
2023-08-26,0.9501
2023-08-27,0.9584
2023-08-28,0.9498
2023-08-29,0.9708
2023-08-30,0.9424
2023-08-31,0.9159
2023-09-01,0.8849
2023-09-02,0.8882
2023-09-03,0.9048
2023-09-04,0.8964
2023-09-05,0.9011
2023-09-06,0.9013
2023-09-07,0.9133
2023-09-08,0.9012
2023-09-09,0.8978
2023-09-10,0.8441
2023-09-11,0.7622
2023-09-12,0.7827
2023-09-13,0.7862
2023-09-14,0.8041
2023-09-15,0.8086
2023-09-16,0.8281
2023-09-17,0.7953
2023-09-18,0.8232
2023-09-19,0.8648
2023-09-20,0.8635
2023-09-21,0.8232
2023-09-22,0.8401
2023-09-23,0.8206
2023-09-24,0.8078
2023-09-25,0.8063
2023-09-26,0.8264
2023-09-27,0.8182
2023-09-28,0.8925
2023-09-29,0.9024
2023-09-30,0.9072
2023-10-01,0.9684
2023-10-02,0.9319
2023-10-03,0.9062
2023-10-04,0.8845
2023-10-05,0.8575
2023-10-06,0.8903
2023-10-07,0.8695
2023-10-08,0.8479
2023-10-09,0.8202
2023-10-10,0.8238
2023-10-11,0.8158
2023-10-12,0.8042
2023-10-13,0.8067
2023-10-14,0.8035
2023-10-15,0.8036
2023-10-16,0.8202
2023-10-17,0.7845
2023-10-18,0.7831
2023-10-19,0.7701
2023-10-20,0.8005
2023-10-21,0.8332
2023-10-22,0.8527
2023-10-23,0.8842
2023-10-24,0.9003
2023-10-25,0.9233
2023-10-26,0.9377
2023-10-27,0.9157
2023-10-28,0.9198
2023-10-29,0.9485
2023-10-30,0.9656
2023-10-31,0.9454
2023-11-01,1.041
2023-11-02,0.9903
2023-11-03,1.061
2023-11-04,1.099
2023-11-05,1.091
2023-11-06,1.125
2023-11-07,1.083
2023-11-08,1.094
2023-11-09,1.207
2023-11-10,1.175
2023-11-11,1.139
2023-11-12,1.157
2023-11-13,1.115
2023-11-14,1.077
2023-11-15,1.144
2023-11-16,1.079
2023-11-17,1.044
2023-11-18,1.033
2023-11-19,1.047
2023-11-20,1.028
2023-11-21,0.9503
2023-11-22,1.019
2023-11-23,1.017
2023-11-24,1.05
2023-11-25,1.068
2023-11-26,1.039
2023-11-27,1.018
2023-11-28,1.018
2023-11-29,1.008
2023-11-30,1.007
2023-12-01,1.035
2023-12-02,1.111
2023-12-03,1.097
2023-12-04,1.092
2023-12-05,1.091
2023-12-06,1.058
2023-12-07,1.171
2023-12-08,1.166
2023-12-09,1.139
2023-12-10,1.156
2023-12-11,1.095
2023-12-12,1.252
2023-12-13,1.186
2023-12-14,1.183
2023-12-15,1.1
2023-12-16,1.124
2023-12-17,1.105
2023-12-18,1.101
2023-12-19,1.074
2023-12-20,1.105
2023-12-21,1.158
2023-12-22,1.42
2023-12-23,1.394
2023-12-24,1.354
2023-12-25,1.388
2023-12-26,1.325
2023-12-27,1.507
2023-12-28,1.469
2023-12-29,1.511
2023-12-30,1.481
2023-12-31,1.56
2024-01-01,1.738
2024-01-02,1.771
2024-01-03,1.916
2024-01-04,2.006
2024-01-05,1.954
2024-01-06,1.754
2024-01-07,1.722
2024-01-08,1.823
2024-01-09,1.844
2024-01-10,2.231
2024-01-11,2.261
2024-01-12,2.203
2024-01-13,2.176
2024-01-14,2.029
2024-01-15,2.108
2024-01-16,2.151
2024-01-17,2.037
2024-01-18,1.889
2024-01-19,1.854
2024-01-20,1.815
2024-01-21,1.814
2024-01-22,1.686
2024-01-23,1.689
2024-01-24,1.738
2024-01-25,1.731
2024-01-26,1.817
2024-01-27,1.798
2024-01-28,1.799
2024-01-29,1.855
2024-01-30,1.884
2024-01-31,1.762
2024-02-01,1.788
2024-02-02,1.792
2024-02-03,1.766
2024-02-04,1.731
2024-02-05,1.733
2024-02-06,1.831
2024-02-07,1.899
2024-02-08,1.863
2024-02-09,1.983
2024-02-10,1.961
2024-02-11,1.942
2024-02-12,2.077
2024-02-13,2.047
2024-02-14,2.114
2024-02-15,2.074
2024-02-16,2.012
2024-02-17,1.97
2024-02-18,2.04
2024-02-19,2.054
2024-02-20,2.01
2024-02-21,1.877
2024-02-22,1.806
2024-02-23,1.799
2024-02-24,1.844
2024-02-25,1.904
2024-02-26,1.93
2024-02-27,1.898
2024-02-28,1.902
2024-02-29,1.945
2024-03-01,1.99
2024-03-02,2.027
2024-03-03,2.045
2024-03-04,1.985
2024-03-05,1.975
2024-03-06,2.055
2024-03-07,2.168
2024-03-08,2.138
2024-03-09,2.1
2024-03-10,2.069
2024-03-11,2.083
2024-03-12,2.017
2024-03-13,2.117
2024-03-14,2.016
2024-03-15,1.887
2024-03-16,1.755
2024-03-17,1.735
2024-03-18,1.623
2024-03-19,1.627
2024-03-20,1.746
2024-03-21,1.684
2024-03-22,1.603
2024-03-23,1.597
2024-03-24,1.671
2024-03-25,1.724
2024-03-26,1.701
2024-03-27,1.654
2024-03-28,1.667
2024-03-29,1.645
2024-03-30,1.642
2024-03-31,1.662
2024-04-01,1.569
2024-04-02,1.449
2024-04-03,1.48
2024-04-04,1.46
2024-04-05,1.434
2024-04-06,1.487
2024-04-07,1.53
2024-04-08,1.571
2024-04-09,1.484
2024-04-10,1.466
2024-04-11,1.419
2024-04-12,1.178
2024-04-13,1.034
2024-04-14,1.183
2024-04-15,1.153
2024-04-16,1.154
2024-04-17,1.106
2024-04-18,1.139
2024-04-19,1.121
2024-04-20,1.217
2024-04-21,1.19
2024-04-22,1.209
2024-04-23,1.179
2024-04-24,1.116
2024-04-25,1.09
2024-04-26,1.065
2024-04-27,1.125
2024-04-28,1.101
2024-04-29,1.058
2024-04-30,1.023
2024-05-01,1.029
2024-05-02,1.029
2024-05-03,1.066
2024-05-04,1.062
2024-05-05,1.071
2024-05-06,1.061
2024-05-07,1.026
2024-05-08,1.028
2024-05-09,1.041
2024-05-10,0.9953
2024-05-11,1.0
2024-05-12,0.9968
2024-05-13,0.9815
2024-05-14,0.935
2024-05-15,0.9947
2024-05-16,0.9718
2024-05-17,1.031
2024-05-18,1.018
2024-05-19,0.9718
2024-05-20,1.127
2024-05-21,1.203
2024-05-22,1.141
2024-05-23,1.203
2024-05-24,1.157
2024-05-25,1.191
2024-05-26,1.192
2024-05-27,1.23
2024-05-28,1.199
2024-05-29,1.14
2024-05-30,1.128
2024-05-31,1.118
2024-06-01,1.133
2024-06-02,1.112
2024-06-03,1.105
2024-06-04,1.107
2024-06-05,1.124
2024-06-06,1.088
2024-06-07,0.9989
2024-06-08,0.9678
2024-06-09,0.9792
2024-06-10,0.9599
2024-06-11,0.9381
2024-06-12,0.9736
2024-06-13,0.9369
2024-06-14,0.9122
2024-06-15,0.9214
2024-06-16,0.9237
2024-06-17,0.8578
2024-06-18,0.7948
2024-06-19,0.8127
2024-06-20,0.8007
2024-06-21,0.8016
2024-06-22,0.8043
2024-06-23,0.7839
2024-06-24,0.82
2024-06-25,0.83
2024-06-26,0.8118
2024-06-27,0.8224
2024-06-28,0.7904
2024-06-29,0.7784
2024-06-30,0.8009
2024-07-01,0.7798
2024-07-02,0.7823
2024-07-03,0.7634
2024-07-04,0.6792
2024-07-05,0.6229
2024-07-06,0.6935
2024-07-07,0.6507
2024-07-08,0.6683
2024-07-09,0.7112
2024-07-10,0.7141
2024-07-11,0.6931
2024-07-12,0.6993
2024-07-13,0.701
2024-07-14,0.7219
2024-07-15,0.7744
2024-07-16,0.7523
2024-07-17,0.7471
2024-07-18,0.7475
2024-07-19,0.7747
2024-07-20,0.7798
2024-07-21,0.8025
2024-07-22,0.7601
2024-07-23,0.7996
2024-07-24,0.7394
2024-07-25,0.6985
2024-07-26,0.7269
2024-07-27,0.7209
2024-07-28,0.7127
2024-07-29,0.7037
2024-07-30,0.6779
2024-07-31,0.6575
2024-08-01,0.6533
2024-08-02,0.6031
2024-08-03,0.6074
2024-08-04,0.5649
2024-08-05,0.4821
2024-08-06,0.5025
2024-08-07,0.4843
2024-08-08,0.555
2024-08-09,0.5778
2024-08-10,0.5776
2024-08-11,0.5516
2024-08-12,0.5892
2024-08-13,0.5788
2024-08-14,0.5622
2024-08-15,0.5362
2024-08-16,0.5339
2024-08-17,0.5402
2024-08-18,0.537
2024-08-19,0.541
2024-08-20,0.5356
2024-08-21,0.5533
2024-08-22,0.562
2024-08-23,0.6031
2024-08-24,0.622
2024-08-25,0.5977
2024-08-26,0.5715
2024-08-27,0.5255
2024-08-28,0.5222
2024-08-29,0.513
2024-08-30,0.5138
2024-08-31,0.5139
2024-09-01,0.4904
2024-09-02,0.5166
2024-09-03,0.4945
2024-09-04,0.4969
2024-09-05,0.4973
2024-09-06,0.481
2024-09-07,0.5011
2024-09-08,0.5087
2024-09-09,0.5241
2024-09-10,0.5333
2024-09-11,0.5145
2024-09-12,0.5249
2024-09-13,0.5374
2024-09-14,0.5308
2024-09-15,0.5112
2024-09-16,0.5105
2024-09-17,0.5222
2024-09-18,0.5295
2024-09-19,0.5574
2024-09-20,0.5776
2024-09-21,0.6161
2024-09-22,0.6003
2024-09-23,0.5992
2024-09-24,0.6143
2024-09-25,0.5985
2024-09-26,0.6202
2024-09-27,0.6677
2024-09-28,0.6477
2024-09-29,0.6459
2024-09-30,0.604
2024-10-01,0.5506
2024-10-02,0.5319
2024-10-03,0.5343
2024-10-04,0.5656
2024-10-05,0.5501
2024-10-06,0.5598
2024-10-07,0.5496
2024-10-08,0.5403
2024-10-09,0.5212
2024-10-10,0.5252
2024-10-11,0.5338
2024-10-12,0.5378
2024-10-13,0.5291
2024-10-14,0.5645
2024-10-15,0.568
2024-10-16,0.5574
2024-10-17,0.5465
