date,price
2023-09-14,6.836
2023-09-15,6.932
2023-09-16,7.146
2023-09-17,6.946
2023-09-18,7.384
2023-09-19,7.503
2023-09-20,7.294
2023-09-21,7.153
2023-09-22,7.133
2023-09-23,7.085
2023-09-24,6.98
2023-09-25,7.036
2023-09-26,6.952
2023-09-27,6.967
2023-09-28,7.104
2023-09-29,7.102
2023-09-30,7.238
2023-10-01,7.566
2023-10-02,7.148
2023-10-03,7.067
2023-10-04,6.965
2023-10-05,6.835
2023-10-06,6.912
2023-10-07,6.97
2023-10-08,6.947
2023-10-09,6.831
2023-10-10,6.681
2023-10-11,6.704
2023-10-12,6.584
2023-10-13,6.566
2023-10-14,6.582
2023-10-15,6.601
2023-10-16,6.629
2023-10-17,6.446
2023-10-18,6.291
2023-10-19,6.267
2023-10-20,6.412
2023-10-21,6.633
2023-10-22,6.755
2023-10-23,7.032
2023-10-24,6.998
2023-10-25,7.119
2023-10-26,7.166
2023-10-27,7.027
2023-10-28,7.184
2023-10-29,7.313
2023-10-30,8.113
2023-10-31,7.933
2023-11-01,7.888
2023-11-02,7.835
2023-11-03,7.754
2023-11-04,8.101
2023-11-05,8.368
2023-11-06,8.739
2023-11-07,8.469
2023-11-08,8.653
2023-11-09,9.023
2023-11-10,9.183
2023-11-11,9.244
2023-11-12,9.534
2023-11-13,9.177
2023-11-14,9.12
2023-11-15,9.658
2023-11-16,9.593
2023-11-17,9.394
2023-11-18,9.236
2023-11-19,9.379
2023-11-20,8.979
2023-11-21,8.209
2023-11-22,8.811
2023-11-23,8.747
2023-11-24,8.911
2023-11-25,9.496
2023-11-26,9.916
2023-11-27,9.308
2023-11-28,9.257
2023-11-29,9.224
2023-11-30,9.25
2023-12-01,9.47
2023-12-02,9.639
2023-12-03,9.543
2023-12-04,9.775
2023-12-05,9.888
2023-12-06,9.747
2023-12-07,9.903
2023-12-08,10.41
2023-12-09,10.47
2023-12-10,10.69
2023-12-11,9.86
2023-12-12,11.73
2023-12-13,11.66
2023-12-14,11.53
2023-12-15,10.89
2023-12-16,12.04
2023-12-17,11.1
2023-12-18,10.9
2023-12-19,10.42
2023-12-20,10.67
2023-12-21,11.4
2023-12-22,11.4
2023-12-23,11.34
2023-12-24,11.24
2023-12-25,11.9
2023-12-26,11.63
2023-12-27,11.97
2023-12-28,11.41
2023-12-29,10.99
2023-12-30,10.76
2023-12-31,10.6
2024-01-01,11.21
2024-01-02,10.97
2024-01-03,9.933
2024-01-04,10.28
2024-01-05,10.34
2024-01-06,9.832
2024-01-07,9.415
2024-01-08,9.963
2024-01-09,9.669
2024-01-10,10.39
2024-01-11,10.66
2024-01-12,9.963
2024-01-13,10.21
2024-01-14,9.987
2024-01-15,10.19
2024-01-16,10.28
2024-01-17,10.15
2024-01-18,9.693
2024-01-19,9.706
2024-01-20,9.837
2024-01-21,9.645
2024-01-22,9.168
2024-01-23,9.22
2024-01-24,9.342
2024-01-25,9.227
2024-01-26,9.63
2024-01-27,9.67
2024-01-28,9.43
2024-01-29,9.659
2024-01-30,9.409
2024-01-31,9.098
2024-02-01,9.133
2024-02-02,9.164
2024-02-03,9.047
2024-02-04,8.965
2024-02-05,9.05
2024-02-06,9.124
2024-02-07,9.595
2024-02-08,9.646
2024-02-09,10.03
2024-02-10,9.97
2024-02-11,9.744
2024-02-12,9.917
2024-02-13,10.29
2024-02-14,10.25
2024-02-15,10.34
2024-02-16,10.24
2024-02-17,10.28
2024-02-18,10.59
2024-02-19,10.74
2024-02-20,10.37
2024-02-21,9.98
2024-02-22,9.781
2024-02-23,9.954
2024-02-24,10.42
2024-02-25,10.37
2024-02-26,11.14
2024-02-27,11.21
2024-02-28,11.41
2024-02-29,11.28
2024-03-01,11.65
2024-03-02,12.21
2024-03-03,12.17
2024-03-04,12.49
2024-03-05,12.02
2024-03-06,14.23
2024-03-07,13.92
2024-03-08,13.44
2024-03-09,13.37
2024-03-10,13.19
2024-03-11,13.71
2024-03-12,13.41
2024-03-13,14.13
2024-03-14,13.68
2024-03-15,12.64
2024-03-16,11.92
2024-03-17,12.27
2024-03-18,11.73
2024-03-19,10.88
2024-03-20,11.76
2024-03-21,11.64
2024-03-22,11.42
2024-03-23,11.34
2024-03-24,11.61
2024-03-25,12.18
2024-03-26,12.21
2024-03-27,12.63
2024-03-28,12.29
2024-03-29,12.53
2024-03-30,12.27
2024-03-31,12.29
2024-04-01,11.64
2024-04-02,10.97
2024-04-03,10.83
2024-04-04,11.02
2024-04-05,10.9
2024-04-06,11.11
2024-04-07,11.08
2024-04-08,11.3
2024-04-09,10.83
2024-04-10,10.82
2024-04-11,10.76
2024-04-12,9.384
2024-04-13,8.091
2024-04-14,8.344
2024-04-15,8.137
2024-04-16,8.172
2024-04-17,8.044
2024-04-18,8.203
2024-04-19,8.151
2024-04-20,8.683
2024-04-21,8.752
2024-04-22,8.919
2024-04-23,8.699
2024-04-24,8.403
2024-04-25,8.321
2024-04-26,8.297
2024-04-27,8.394
2024-04-28,8.2
2024-04-29,8.153
2024-04-30,8.442
2024-05-01,8.733
2024-05-02,8.643
2024-05-03,8.764
2024-05-04,8.691
2024-05-05,9.333
2024-05-06,9.207
2024-05-07,8.939
2024-05-08,9.083
2024-05-09,9.124
2024-05-10,8.646
2024-05-11,8.504
2024-05-12,8.478
2024-05-13,8.396
2024-05-14,8.125
2024-05-15,8.441
2024-05-16,8.533
2024-05-17,8.658
2024-05-18,8.605
2024-05-19,8.208
2024-05-20,8.919
2024-05-21,8.782
2024-05-22,8.56
2024-05-23,8.359
2024-05-24,8.458
2024-05-25,8.492
2024-05-26,8.399
2024-05-27,8.69
2024-05-28,8.714
2024-05-29,8.624
2024-05-30,8.542
2024-05-31,8.293
2024-06-01,8.318
2024-06-02,8.293
2024-06-03,8.337
2024-06-04,8.535
2024-06-05,8.692
2024-06-06,8.616
2024-06-07,8.101
2024-06-08,7.757
