date,price
2024-09-28,29.3
2024-09-29,29.06
2024-09-30,27.7
2024-10-01,25.83
2024-10-02,25.34
2024-10-03,24.66
2024-10-04,26.27
2024-10-05,25.68
2024-10-06,26.95
2024-10-07,26.55
2024-10-08,26.34
2024-10-09,25.76
2024-10-10,25.84
2024-10-11,27.43
2024-10-12,28.62
2024-10-13,29.06
2024-10-14,29.07
2024-10-15,28.22
2024-10-16,28.02
2024-10-17,27.28
2024-10-18,28.1
2024-10-19,28.1
2024-10-20,28.97
2024-10-21,27.75
2024-10-22,27.61
2024-10-23,26.72
2024-10-24,26.8
2024-10-25,24.9
2024-10-26,25.38
2024-10-27,25.74
2024-10-28,26.24
2024-10-29,26.86
2024-10-30,26.17
2024-10-31,24.99
2024-11-01,24.77
2024-11-02,24.11
2024-11-03,23.52
2024-11-04,22.73
2024-11-05,24.0
2024-11-06,27.03
2024-11-07,27.4
2024-11-08,28.81
2024-11-09,30.4
2024-11-10,31.91
2024-11-11,35.76
2024-11-12,33.96
2024-11-13,33.16
2024-11-14,31.19
2024-11-15,33.14
2024-11-16,35.17
2024-11-17,34.72
2024-11-18,35.5
2024-11-19,34.27
2024-11-20,33.61
2024-11-21,35.85
2024-11-22,43.24
2024-11-23,41.48
2024-11-24,42.11
2024-11-25,41.33
2024-11-26,42.7
2024-11-27,43.83
2024-11-28,42.78
2024-11-29,44.88
2024-11-30,44.85
2024-12-01,45.13
2024-12-02,52.31
2024-12-03,50.95
2024-12-04,52.86
2024-12-05,50.36
2024-12-06,52.57
2024-12-07,51.63
2024-12-08,54.01
2024-12-09,45.08
2024-12-10,44.63
2024-12-11,48.49
2024-12-12,53.14
2024-12-13,52.78
2024-12-14,49.85
2024-12-15,50.74
2024-12-16,48.99
2024-12-17,47.91
2024-12-18,42.76
2024-12-19,38.8
2024-12-20,39.84
2024-12-21,37.41
2024-12-22,36.52
2024-12-23,39.06
2024-12-24,41.22
2024-12-25,40.23
2024-12-26,37.3
2024-12-27,36.5
2024-12-28,37.68
2024-12-29,35.79
2024-12-30,35.91
2024-12-31,35.63
2025-01-01,37.69
2025-01-02,39.23
2025-01-03,41.91
2025-01-04,42.64
2025-01-05,43.08
2025-01-06,44.08
2025-01-07,39.18
2025-01-08,37.41
2025-01-09,36.2
2025-01-10,36.68
2025-01-11,37.12
2025-01-12,36.54
2025-01-13,35.3
2025-01-14,36.55
2025-01-15,39.84
2025-01-16,40.05
2025-01-17,41.38
2025-01-18,39.2
2025-01-19,35.63
2025-01-20,35.98
2025-01-21,36.96
2025-01-22,36.78
2025-01-23,35.56
2025-01-24,35.34
2025-01-25,36.6
2025-01-26,35.73
2025-01-27,34.2
2025-01-28,32.06
2025-01-29,32.79
2025-01-30,34.29
2025-01-31,34.41
2025-02-01,32.1
2025-02-02,27.62
2025-02-03,28.43
2025-02-04,26.48
2025-02-05,25.85
2025-02-06,24.51
2025-02-07,24.47
2025-02-08,24.59
2025-02-09,24.88
2025-02-10,25.67
2025-02-11,25.4
2025-02-12,26.5
2025-02-13,25.4
2025-02-14,26.39
2025-02-15,25.48
2025-02-16,24.86
2025-02-17,25.02
2025-02-18,23.53
2025-02-19,23.74
2025-02-20,25.15
2025-02-21,24.51
2025-02-22,25.84
2025-02-23,24.86
2025-02-24,21.88
2025-02-25,21.94
2025-02-26,21.85
2025-02-27,22.49
2025-02-28,22.37
2025-03-01,21.87
2025-03-02,24.96
2025-03-03,20.94
2025-03-04,20.0
2025-03-05,21.73
2025-03-06,20.99
2025-03-07,20.15
2025-03-08,20.48
2025-03-09,17.96
2025-03-10,16.26
2025-03-11,17.5
2025-03-12,18.91
2025-03-13,18.5
2025-03-14,18.57
2025-03-15,19.4
2025-03-16,18.27
2025-03-17,18.82
2025-03-18,18.99
2025-03-19,19.74
2025-03-20,18.73
2025-03-21,19.17
2025-03-22,19.43
2025-03-23,19.81
2025-03-24,21.49
2025-03-25,22.92
2025-03-26,22.04
2025-03-27,22.01
2025-03-28,20.36
2025-03-29,19.6
2025-03-30,18.86
2025-03-31,18.78
2025-04-01,19.82
2025-04-02,17.99
2025-04-03,18.14
2025-04-04,18.18
2025-04-05,17.87
2025-04-06,16.03
2025-04-07,16.68
2025-04-08,16.14
2025-04-09,18.44
2025-04-10,18.32
2025-04-11,19.13
2025-04-12,20.49
2025-04-13,19.57
2025-04-14,20.11
2025-04-15,19.02
2025-04-16,18.76
2025-04-17,19.05
2025-04-18,19.07
2025-04-19,19.89
2025-04-20,19.5
2025-04-21,19.93
2025-04-22,22.12
2025-04-23,22.35
2025-04-24,22.38
2025-04-25,22.18
2025-04-26,22.41
2025-04-27,21.74
2025-04-28,21.83
2025-04-29,21.58
2025-04-30,20.92
2025-05-01,21.64
2025-05-02,21.26
2025-05-03,20.53
2025-05-04,19.91
2025-05-05,19.68
2025-05-06,20.01
2025-05-07,19.55
2025-05-08,22.15
2025-05-09,23.28
2025-05-10,25.81
2025-05-11,24.79
2025-05-12,24.84
2025-05-13,25.73
2025-05-14,24.97
2025-05-15,23.51
2025-05-16,23.08
2025-05-17,22.18
2025-05-18,23.07
2025-05-19,22.27
2025-05-20,22.61
2025-05-21,23.18
2025-05-22,25.26
2025-05-23,23.07
2025-05-24,22.96
2025-05-25,23.45
2025-05-26,23.08
2025-05-27,23.39
2025-05-28,23.61
2025-05-29,22.24
2025-05-30,20.56
2025-05-31,20.81
2025-06-01,20.89
2025-06-02,21.16
2025-06-03,21.15
2025-06-04,20.1
2025-06-05,18.76
2025-06-06,19.66
2025-06-07,20.67
2025-06-08,21.05
2025-06-09,21.96
2025-06-10,22.57
2025-06-11,21.58
2025-06-12,20.3
2025-06-13,19.42
2025-06-14,18.95
