date,price
2021-11-01,137.04
2021-11-02,140.43
2021-11-03,141.52
2021-11-04,145.08
2021-11-05,151.9
2021-11-06,157.35
2021-11-07,160.48
2021-11-08,153.39
2021-11-09,150.13
2021-11-10,142.18
2021-11-11,146.26
2021-11-12,143.44
2021-11-13,142.94
2021-11-14,142.36
2021-11-15,142.45
2021-11-16,133.46
2021-11-17,135.32
2021-11-18,123.79
2021-11-19,131.81
2021-11-20,132.56
2021-11-21,130.24
2021-11-22,128.13
2021-11-23,136.45
2021-11-24,140.21
2021-11-25,138.76
2021-11-26,125.56
2021-11-27,127.78
2021-11-28,133.21
2021-11-29,134.54
2021-11-30,137.07
2021-12-01,135.01
2021-12-02,135.22
2021-12-03,127.59
2021-12-04,118.25
2021-12-05,107.51
2021-12-06,105.95
2021-12-07,105.73
2021-12-08,113.13
2021-12-09,103.8
2021-12-10,97.47
2021-12-11,103.07
2021-12-12,104.2
2021-12-13,92.95
2021-12-14,96.18
2021-12-15,101.59
2021-12-16,97.98
2021-12-17,94.59
2021-12-18,96.27
2021-12-19,95.29
2021-12-20,92.66
2021-12-21,97.3
2021-12-22,101.59
2021-12-23,107.41
2021-12-24,104.6
2021-12-25,109.29
2021-12-26,107.58
2021-12-27,107.03
2021-12-28,99.77
2021-12-29,93.68
2021-12-30,95.01
2021-12-31,93.25
2022-01-01,94.1
2022-01-02,96.52
2022-01-03,94.35
2022-01-04,92.89
2022-01-05,80.22
2022-01-06,79.03
2022-01-07,73.45
2022-01-08,70.31
2022-01-09,71.96
2022-01-10,68.39
2022-01-11,72.74
2022-01-12,78.16
2022-01-13,73.03
2022-01-14,73.67
2022-01-15,75.39
2022-01-16,80.23
2022-01-17,76.5
2022-01-18,73.83
2022-01-19,71.78
2022-01-20,69.14
2022-01-21,58.38
2022-01-22,50.13
2022-01-23,54.8
2022-01-24,51.27
2022-01-25,50.77
2022-01-26,49.59
2022-01-27,47.42
2022-01-28,47.0
2022-01-29,49.58
2022-01-30,53.4
2022-01-31,52.38
2022-02-01,53.43
