date,price
2023-09-14,207.93
2023-09-15,217.14
2023-09-16,214.81
2023-09-17,210.04
2023-09-18,217.42
2023-09-19,218.85
2023-09-20,215.46
2023-09-21,208.55
2023-09-22,207.8
2023-09-23,208.21
2023-09-24,204.75
2023-09-25,210.29
2023-09-26,214.55
2023-09-27,229.13
2023-09-28,238.73
2023-09-29,235.0
2023-09-30,234.0
2023-10-01,242.24
2023-10-02,246.46
2023-10-03,230.38
2023-10-04,233.19
2023-10-05,230.97
2023-10-06,230.92
2023-10-07,230.36
2023-10-08,228.09
2023-10-09,218.58
2023-10-10,212.27
2023-10-11,214.1
2023-10-12,214.06
2023-10-13,217.29
2023-10-14,214.51
2023-10-15,215.24
2023-10-16,230.95
2023-10-17,226.48
2023-10-18,226.88
2023-10-19,227.41
2023-10-20,240.57
2023-10-21,244.13
2023-10-22,243.58
2023-10-23,261.97
2023-10-24,251.87
2023-10-25,254.27
2023-10-26,247.34
2023-10-27,239.26
2023-10-28,244.92
2023-10-29,246.03
2023-10-30,245.97
2023-10-31,245.06
2023-11-01,245.24
2023-11-02,235.57
2023-11-03,237.57
2023-11-04,240.52
2023-11-05,237.81
2023-11-06,242.95
2023-11-07,244.02
2023-11-08,245.54
2023-11-09,240.02
2023-11-10,239.89
2023-11-11,236.56
2023-11-12,236.63
2023-11-13,234.02
2023-11-14,232.01
2023-11-15,238.05
2023-11-16,233.89
2023-11-17,229.93
2023-11-18,227.56
2023-11-19,230.3
2023-11-20,226.33
2023-11-21,216.78
2023-11-22,223.86
2023-11-23,225.25
2023-11-24,226.57
2023-11-25,227.65
2023-11-26,226.89
2023-11-27,223.21
2023-11-28,223.41
2023-11-29,223.25
2023-11-30,221.52
2023-12-01,225.27
2023-12-02,228.31
2023-12-03,230.12
2023-12-04,252.3
2023-12-05,251.1
2023-12-06,244.52
2023-12-07,247.01
2023-12-08,253.65
2023-12-09,252.74
2023-12-10,251.18
2023-12-11,230.44
2023-12-12,231.85
2023-12-13,235.33
2023-12-14,237.33
2023-12-15,227.13
2023-12-16,229.66
2023-12-17,225.76
2023-12-18,228.1
2023-12-19,225.19
2023-12-20,229.54
2023-12-21,233.09
2023-12-22,238.42
2023-12-23,232.94
2023-12-24,229.05
2023-12-25,234.86
2023-12-26,229.26
2023-12-27,264.34
2023-12-28,261.72
2023-12-29,254.13
2023-12-30,270.72
2023-12-31,259.45
2024-01-01,267.89
2024-01-02,257.12
2024-01-03,234.19
2024-01-04,239.81
2024-01-05,239.45
2024-01-06,236.3
2024-01-07,232.41
2024-01-08,254.15
2024-01-09,244.9
2024-01-10,254.54
2024-01-11,276.33
2024-01-12,259.41
2024-01-13,254.16
2024-01-14,245.62
2024-01-15,250.13
2024-01-16,251.21
2024-01-17,244.06
2024-01-18,237.5
2024-01-19,236.5
2024-01-20,238.98
2024-01-21,236.77
2024-01-22,235.2
2024-01-23,229.39
2024-01-24,236.19
2024-01-25,236.45
2024-01-26,241.83
2024-01-27,243.72
2024-01-28,236.88
2024-01-29,241.32
2024-01-30,237.46
2024-01-31,234.08
2024-02-01,236.63
2024-02-02,236.26
2024-02-03,240.88
2024-02-04,235.16
2024-02-05,235.48
2024-02-06,235.18
2024-02-07,240.51
2024-02-08,244.56
2024-02-09,250.41
2024-02-10,247.79
2024-02-11,277.64
2024-02-12,280.66
2024-02-13,270.53
2024-02-14,281.06
2024-02-15,270.71
2024-02-16,274.58
2024-02-17,267.42
2024-02-18,270.62
2024-02-19,273.17
2024-02-20,265.27
2024-02-21,263.14
2024-02-22,260.15
2024-02-23,264.67
2024-02-24,267.66
2024-02-25,267.89
2024-02-26,274.88
2024-02-27,292.87
2024-02-28,296.79
2024-02-29,298.08
2024-03-01,316.5
2024-03-02,501.73
2024-03-03,470.99
2024-03-04,474.2
2024-03-05,401.68
2024-03-06,415.91
2024-03-07,432.68
2024-03-08,437.69
2024-03-09,433.16
2024-03-10,423.99
2024-03-11,448.59
2024-03-12,434.65
2024-03-13,442.76
2024-03-14,440.64
2024-03-15,416.65
2024-03-16,388.45
2024-03-17,402.33
2024-03-18,400.86
2024-03-19,359.05
2024-03-20,409.67
2024-03-21,414.41
2024-03-22,431.41
2024-03-23,455.49
2024-03-24,484.84
2024-03-25,487.57
2024-03-26,479.08
2024-03-27,538.8
