date,price
2021-11-02,554.94
2021-11-03,568.77
2021-11-04,559.5
2021-11-05,607.77
2021-11-06,637.58
2021-11-07,649.78
2021-11-08,653.81
2021-11-09,635.14
2021-11-10,614.68
2021-11-11,628.89
2021-11-12,627.0
2021-11-13,649.81
2021-11-14,650.98
2021-11-15,634.01
2021-11-16,589.16
2021-11-17,578.22
2021-11-18,532.02
2021-11-19,581.61
2021-11-20,604.73
2021-11-21,584.63
2021-11-22,559.84
2021-11-23,591.18
2021-11-24,590.75
2021-11-25,639.3
2021-11-26,587.42
2021-11-27,600.62
2021-11-28,611.95
2021-11-29,624.12
2021-11-30,622.23
2021-12-01,627.93
2021-12-02,620.69
2021-12-03,595.59
2021-12-04,569.2
2021-12-05,558.23
2021-12-06,587.99
2021-12-07,579.11
2021-12-08,607.83
2021-12-09,570.89
2021-12-10,553.52
2021-12-11,564.19
2021-12-12,570.73
2021-12-13,521.07
2021-12-14,528.6
2021-12-15,541.28
2021-12-16,526.08
2021-12-17,525.79
2021-12-18,534.23
2021-12-19,530.01
2021-12-20,523.85
2021-12-21,528.84
2021-12-22,533.74
2021-12-23,548.95
2021-12-24,542.08
2021-12-25,547.77
2021-12-26,546.52
2021-12-27,563.95
2021-12-28,534.24
2021-12-29,514.55
2021-12-30,518.56
2021-12-31,511.71
2022-01-01,527.5
2022-01-02,531.25
2022-01-03,511.89
2022-01-04,506.73
2022-01-05,473.76
2022-01-06,472.32
2022-01-07,447.7
2022-01-08,430.21
2022-01-09,438.79
2022-01-10,425.03
2022-01-11,463.38
2022-01-12,487.51
2022-01-13,475.57
2022-01-14,490.36
2022-01-15,494.66
2022-01-16,498.67
2022-01-17,475.45
2022-01-18,471.43
2022-01-19,462.11
2022-01-20,440.34
2022-01-21,384.09
2022-01-22,358.48
2022-01-23,384.29
2022-01-24,371.68
2022-01-25,385.29
2022-01-26,375.02
2022-01-27,390.12
2022-01-28,386.13
2022-01-29,389.49
2022-01-30,377.3
2022-01-31,374.75
2022-02-01,384.28
2022-02-02,367.26
2022-02-03,372.39
2022-02-04,399.68
2022-02-05,414.05
2022-02-06,420.34
2022-02-07,433.75
2022-02-08,408.09
2022-02-09,423.24
2022-02-10,414.79
2022-02-11,400.83
2022-02-12,403.6
2022-02-13,398.07
2022-02-14,403.71
2022-02-15,432.82
2022-02-16,427.59
2022-02-17,402.64
2022-02-18,399.39
2022-02-19,399.84
2022-02-20,380.68
2022-02-21,356.82
2022-02-22,374.49
2022-02-23,365.88
2022-02-24,360.45
2022-02-25,375.01
2022-02-26,373.86
2022-02-27,359.83
