date,price
2021-11-02,0.2574
2021-11-03,0.2688
2021-11-04,0.287
2021-11-05,0.3753
2021-11-06,0.3364
2021-11-07,0.3514
2021-11-08,0.3929
2021-11-09,0.3505
2021-11-10,0.3295
2021-11-11,0.3471
2021-11-12,0.3603
2021-11-13,0.3858
2021-11-14,0.4373
2021-11-15,0.4439
2021-11-16,0.4116
2021-11-17,0.537
2021-11-18,0.4989
2021-11-19,0.568
2021-11-20,0.5758
2021-11-21,0.7253
2021-11-22,0.7261
2021-11-23,0.8892
2021-11-24,0.885
2021-11-25,0.8107
2021-11-26,0.6849
2021-11-27,0.7772
2021-11-28,0.7512
2021-11-29,0.7111
2021-11-30,0.6883
2021-12-01,0.7179
2021-12-02,0.6925
2021-12-03,0.64
2021-12-04,0.6047
2021-12-05,0.5632
2021-12-06,0.5953
2021-12-07,0.6069
2021-12-08,0.6094
2021-12-09,0.5651
2021-12-10,0.5475
2021-12-11,0.5782
2021-12-12,0.6033
2021-12-13,0.5308
2021-12-14,0.5425
2021-12-15,0.5566
2021-12-16,0.5382
2021-12-17,0.5208
2021-12-18,0.526
2021-12-19,0.5135
2021-12-20,0.5002
2021-12-21,0.5291
2021-12-22,0.5367
2021-12-23,0.5949
2021-12-24,0.6278
2021-12-25,0.6436
2021-12-26,0.6235
2021-12-27,0.6229
2021-12-28,0.5654
2021-12-29,0.5457
2021-12-30,0.5532
2021-12-31,0.5563
2022-01-01,0.5854
2022-01-02,0.5873
2022-01-03,0.5668
2022-01-04,0.5512
2022-01-05,0.502
2022-01-06,0.5034
2022-01-07,0.4634
2022-01-08,0.4533
2022-01-09,0.4613
2022-01-10,0.4445
2022-01-11,0.4587
2022-01-12,0.4866
2022-01-13,0.4564
2022-01-14,0.4572
2022-01-15,0.4672
2022-01-16,0.4639
2022-01-17,0.4442
2022-01-18,0.4441
2022-01-19,0.4318
2022-01-20,0.4351
2022-01-21,0.364
2022-01-22,0.3377
2022-01-23,0.3785
2022-01-24,0.3746
2022-01-25,0.392
2022-01-26,0.3994
2022-01-27,0.4011
2022-01-28,0.421
2022-01-29,0.4324
2022-01-30,0.4246
2022-01-31,0.4283
2022-02-01,0.4368
2022-02-02,0.4029
2022-02-03,0.4037
2022-02-04,0.4363
2022-02-05,0.4478
2022-02-06,0.4645
2022-02-07,0.4951
2022-02-08,0.4877
2022-02-09,0.516
2022-02-10,0.5077
2022-02-11,0.4798
2022-02-12,0.4873
2022-02-13,0.5004
2022-02-14,0.4692
2022-02-15,0.4959
2022-02-16,0.4798
2022-02-17,0.4305
2022-02-18,0.4356
2022-02-19,0.4366
2022-02-20,0.4039
2022-02-21,0.3861
2022-02-22,0.4038
2022-02-23,0.3966
2022-02-24,0.3952
2022-02-25,0.4181
2022-02-26,0.4141
2022-02-27,0.3942
2022-02-28,0.4394
2022-03-01,0.4396
