date,price
2021-11-02,0.2741
2021-11-03,0.269
2021-11-04,0.2633
2021-11-05,0.2611
2021-11-06,0.2619
2021-11-07,0.2666
2021-11-08,0.2822
2021-11-09,0.2735
2021-11-10,0.2557
2021-11-11,0.2607
2021-11-12,0.2597
2021-11-13,0.2614
2021-11-14,0.2628
2021-11-15,0.2568
2021-11-16,0.2369
2021-11-17,0.2378
2021-11-18,0.2216
2021-11-19,0.2333
2021-11-20,0.2333
2021-11-21,0.2261
2021-11-22,0.2197
2021-11-23,0.2269
2021-11-24,0.2174
2021-11-25,0.2214
2021-11-26,0.2021
2021-11-27,0.2052
2021-11-28,0.2078
2021-11-29,0.2151
2021-11-30,0.2145
2021-12-01,0.2093
2021-12-02,0.2095
2021-12-03,0.2
2021-12-04,0.179
2021-12-05,0.1717
2021-12-06,0.1783
2021-12-07,0.1765
2021-12-08,0.1792
2021-12-09,0.1692
2021-12-10,0.1642
2021-12-11,0.1689
2021-12-12,0.1698
2021-12-13,0.1574
2021-12-14,0.1911
2021-12-15,0.1811
2021-12-16,0.1731
2021-12-17,0.1687
2021-12-18,0.1724
2021-12-19,0.1695
2021-12-20,0.1672
2021-12-21,0.1709
2021-12-22,0.1731
2021-12-23,0.1849
2021-12-24,0.1864
2021-12-25,0.1908
2021-12-26,0.1899
2021-12-27,0.1879
2021-12-28,0.1738
2021-12-29,0.1679
2021-12-30,0.1711
2021-12-31,0.1703
2022-01-01,0.1731
2022-01-02,0.1744
2022-01-03,0.1701
2022-01-04,0.1684
2022-01-05,0.1589
2022-01-06,0.16
2022-01-07,0.155
2022-01-08,0.151
2022-01-09,0.1504
2022-01-10,0.1432
2022-01-11,0.1538
2022-01-12,0.163
2022-01-13,0.1717
2022-01-14,0.1834
2022-01-15,0.1846
2022-01-16,0.1767
2022-01-17,0.171
2022-01-18,0.1651
2022-01-19,0.1616
2022-01-20,0.1555
2022-01-21,0.1421
2022-01-22,0.1332
2022-01-23,0.1418
2022-01-24,0.1375
2022-01-25,0.1429
2022-01-26,0.1431
2022-01-27,0.1415
2022-01-28,0.1415
2022-01-29,0.143
2022-01-30,0.1394
2022-01-31,0.1417
2022-02-01,0.1425
2022-02-02,0.1371
2022-02-03,0.138
2022-02-04,0.148
2022-02-05,0.1469
2022-02-06,0.1541
2022-02-07,0.1653
2022-02-08,0.1583
2022-02-09,0.1595
2022-02-10,0.1516
2022-02-11,0.1448
2022-02-12,0.1445
2022-02-13,0.1482
2022-02-14,0.1458
2022-02-15,0.1518
2022-02-16,0.1488
2022-02-17,0.1385
2022-02-18,0.1386
2022-02-19,0.141
2022-02-20,0.1368
2022-02-21,0.1282
2022-02-22,0.1314
2022-02-23,0.1274
2022-02-24,0.1241
2022-02-25,0.1278
2022-02-26,0.1277
2022-02-27,0.1229
2022-02-28,0.1334
2022-03-01,0.134
2022-03-02,0.1332
2022-03-03,0.1297
2022-03-04,0.1225
2022-03-05,0.125
2022-03-06,0.1207
2022-03-07,0.1169
2022-03-08,0.1171
2022-03-09,0.1214
2022-03-10,0.1168
2022-03-11,0.1154
2022-03-12,0.1149
2022-03-13,0.1116
2022-03-14,0.114
2022-03-15,0.1126
2022-03-16,0.1171
2022-03-17,0.1164
2022-03-18,0.1192
2022-03-19,0.1237
2022-03-20,0.1193
2022-03-21,0.1193
2022-03-22,0.1225
2022-03-23,0.1299
2022-03-24,0.1368
2022-03-25,0.1309
2022-03-26,0.1361
2022-03-27,0.1448
2022-03-28,0.1424
2022-03-29,0.1444
2022-03-30,0.143
2022-03-31,0.1381
2022-04-01,0.1413
2022-04-02,0.1388
2022-04-03,0.1465
2022-04-04,0.1484
2022-04-05,0.1724
2022-04-06,0.1434
2022-04-07,0.146
2022-04-08,0.1426
2022-04-09,0.1442
2022-04-10,0.1482
2022-04-11,0.1342
2022-04-12,0.1381
2022-04-13,0.1399
2022-04-14,0.1441
2022-04-15,0.146
2022-04-16,0.1436
2022-04-17,0.1393
2022-04-18,0.1402
2022-04-19,0.1427
2022-04-20,0.1407
2022-04-21,0.1364
2022-04-22,0.1363
2022-04-23,0.1339
2022-04-24,0.1319
2022-04-25,0.1581
2022-04-26,0.1377
2022-04-27,0.14
2022-04-28,0.1376
2022-04-29,0.135
2022-04-30,0.1274
2022-05-01,0.1328
2022-05-02,0.1307
2022-05-03,0.1294
2022-05-04,0.136
2022-05-05,0.1281
2022-05-06,0.1277
2022-05-07,0.1275
2022-05-08,0.1241
2022-05-09,0.1017
2022-05-10,0.108
2022-05-11,0.08476
2022-05-12,0.08239
2022-05-13,0.08798
2022-05-14,0.08931
2022-05-15,0.0931
2022-05-16,0.08788
2022-05-17,0.09011
2022-05-18,0.08321
2022-05-19,0.08659
2022-05-20,0.08375
2022-05-21,0.08432
2022-05-22,0.0858
2022-05-23,0.08324
2022-05-24,0.08359
2022-05-25,0.08288
2022-05-26,0.07782
2022-05-27,0.08142
2022-05-28,0.08179
2022-05-29,0.08266
2022-05-30,0.08793
2022-05-31,0.08581
2022-06-01,0.08094
2022-06-02,0.0827
2022-06-03,0.0802
2022-06-04,0.08181
2022-06-05,0.08098
2022-06-06,0.08245
2022-06-07,0.08031
2022-06-08,0.07923
2022-06-09,0.07931
2022-06-10,0.0753
2022-06-11,0.0698
2022-06-12,0.06349
2022-06-13,0.05419
2022-06-14,0.05551
2022-06-15,0.06269
2022-06-16,0.05514
2022-06-17,0.05679
2022-06-18,0.05282
2022-06-19,0.06042
2022-06-20,0.05996
2022-06-21,0.0657
2022-06-22,0.06162
2022-06-23,0.06395
2022-06-24,0.06689
2022-06-25,0.06848
2022-06-26,0.07295
2022-06-27,0.07204
2022-06-28,0.06602
2022-06-29,0.06941
2022-06-30,0.06635
2022-07-01,0.06634
2022-07-02,0.06657
2022-07-03,0.06712
2022-07-04,0.0693
2022-07-05,0.06713
2022-07-06,0.06838
2022-07-07,0.07056
2022-07-08,0.06907
2022-07-09,0.06945
2022-07-10,0.06721
2022-07-11,0.06169
2022-07-12,0.05975
2022-07-13,0.06191
2022-07-14,0.06242
2022-07-15,0.06293
2022-07-16,0.06438
2022-07-17,0.063
2022-07-18,0.06754
2022-07-19,0.06906
2022-07-20,0.07015
2022-07-21,0.07
2022-07-22,0.06746
2022-07-23,0.06805
2022-07-24,0.06756
2022-07-25,0.06188
2022-07-26,0.06251
2022-07-27,0.06723
2022-07-28,0.06913
2022-07-29,0.06878
2022-07-30,0.06965
2022-07-31,0.06811
2022-08-01,0.06848
2022-08-02,0.06653
2022-08-03,0.06625
2022-08-04,0.06725
2022-08-05,0.06979
2022-08-06,0.06864
2022-08-07,0.06896
2022-08-08,0.07013
2022-08-09,0.06906
2022-08-10,0.07128
2022-08-11,0.0709
