date,price
2024-10-02,4.101
2024-10-03,4.13
2024-10-04,4.194
2024-10-05,4.139
2024-10-06,4.189
2024-10-07,4.13
2024-10-08,4.101
2024-10-09,4.02
2024-10-10,4.068
2024-10-11,4.17
2024-10-12,4.205
2024-10-13,4.161
2024-10-14,4.375
2024-10-15,4.406
2024-10-16,4.312
2024-10-17,4.19
2024-10-18,4.31
2024-10-19,4.431
2024-10-20,4.576
2024-10-21,4.376
2024-10-22,4.32
2024-10-23,4.207
2024-10-24,4.203
2024-10-25,3.991
2024-10-26,4.029
2024-10-27,4.126
2024-10-28,4.129
2024-10-29,4.192
2024-10-30,4.19
2024-10-31,3.954
2024-11-01,3.908
2024-11-02,3.906
2024-11-03,3.785
2024-11-04,3.749
2024-11-05,3.859
2024-11-06,4.115
2024-11-07,4.167
2024-11-08,4.327
2024-11-09,4.631
2024-11-10,5.246
2024-11-11,5.716
2024-11-12,5.314
2024-11-13,5.079
2024-11-14,4.776
2024-11-15,5.16
2024-11-16,5.784
2024-11-17,5.422
2024-11-18,6.014
2024-11-19,5.813
2024-11-20,5.723
2024-11-21,5.936
2024-11-22,6.638
2024-11-23,8.525
2024-11-24,8.834
2024-11-25,8.227
2024-11-26,8.067
2024-11-27,8.468
2024-11-28,8.612
2024-11-29,9.029
2024-11-30,8.951
2024-12-01,9.297
2024-12-02,10.02
2024-12-03,9.789
2024-12-04,10.53
2024-12-05,10.38
2024-12-06,10.69
2024-12-07,10.61
2024-12-08,10.4
2024-12-09,8.478
2024-12-10,8.396
2024-12-11,9.0
2024-12-12,9.065
2024-12-13,9.087
2024-12-14,8.551
2024-12-15,9.022
2024-12-16,8.753
2024-12-17,8.487
2024-12-18,7.675
2024-12-19,6.936
2024-12-20,7.29
2024-12-21,6.968
2024-12-22,6.834
2024-12-23,7.374
2024-12-24,7.547
2024-12-25,7.495
2024-12-26,6.924
2024-12-27,6.899
2024-12-28,7.1
2024-12-29,6.853
2024-12-30,6.69
2024-12-31,6.629
2025-01-01,7.034
2025-01-02,7.169
2025-01-03,7.749
2025-01-04,7.675
2025-01-05,7.667
2025-01-06,7.772
2025-01-07,7.007
2025-01-08,6.758
2025-01-09,6.558
2025-01-10,6.732
2025-01-11,6.738
2025-01-12,6.628
2025-01-13,6.393
2025-01-14,6.663
2025-01-15,7.162
2025-01-16,7.149
2025-01-17,7.507
2025-01-18,7.035
2025-01-19,6.24
2025-01-20,6.371
2025-01-21,6.625
2025-01-22,6.442
2025-01-23,6.352
2025-01-24,6.317
2025-01-25,6.321
2025-01-26,6.177
2025-01-27,5.951
2025-01-28,5.648
2025-01-29,5.765
2025-01-30,6.124
2025-01-31,6.318
2025-02-01,5.907
2025-02-02,5.155
2025-02-03,5.188
2025-02-04,4.743
