date,price
2021-11-01,269.33
2021-11-02,272.52
2021-11-03,307.48
2021-11-04,319.1
2021-11-05,315.72
2021-11-06,316.32
2021-11-07,315.88
2021-11-08,309.51
2021-11-09,316.96
2021-11-10,313.14
2021-11-11,317.75
2021-11-12,325.91
2021-11-13,322.05
2021-11-14,319.95
2021-11-15,314.76
2021-11-16,303.19
2021-11-17,310.34
2021-11-18,308.39
2021-11-19,348.0
2021-11-20,396.69
2021-11-21,443.72
2021-11-22,491.08
2021-11-23,469.4
2021-11-24,459.12
2021-11-25,439.3
2021-11-26,398.89
2021-11-27,430.99
2021-11-28,412.56
2021-11-29,396.78
2021-11-30,376.95
2021-12-01,408.55
2021-12-02,357.51
2021-12-03,345.32
2021-12-04,309.99
2021-12-05,288.38
2021-12-06,288.81
2021-12-07,286.33
2021-12-08,297.77
2021-12-09,266.17
2021-12-10,257.43
2021-12-11,255.98
2021-12-12,263.23
2021-12-13,234.31
2021-12-14,254.42
2021-12-15,295.9
2021-12-16,268.24
2021-12-17,255.2
2021-12-18,253.92
2021-12-19,246.28
2021-12-20,236.58
2021-12-21,240.18
2021-12-22,246.87
2021-12-23,261.42
2021-12-24,250.85
2021-12-25,255.79
2021-12-26,258.78
2021-12-27,266.61
2021-12-28,240.59
2021-12-29,238.21
2021-12-30,239.23
2021-12-31,238.33
2022-01-01,245.13
2022-01-02,239.7
2022-01-03,236.99
2022-01-04,235.86
2022-01-05,213.56
2022-01-06,212.41
2022-01-07,195.46
2022-01-08,190.47
2022-01-09,198.0
2022-01-10,191.38
2022-01-11,205.29
2022-01-12,214.64
2022-01-13,195.34
2022-01-14,199.51
2022-01-15,200.41
2022-01-16,195.42
2022-01-17,187.14
2022-01-18,179.24
2022-01-19,173.58
2022-01-20,166.57
2022-01-21,138.29
2022-01-22,125.43
2022-01-23,134.23
2022-01-24,131.1
2022-01-25,140.88
2022-01-26,140.17
2022-01-27,141.92
2022-01-28,143.81
2022-01-29,149.38
2022-01-30,141.25
2022-01-31,145.66
2022-02-01,150.94
2022-02-02,141.88
2022-02-03,140.39
2022-02-04,153.59
2022-02-05,160.62
2022-02-06,166.38
2022-02-07,176.32
2022-02-08,172.71
2022-02-09,178.09
2022-02-10,176.43
2022-02-11,194.82
2022-02-12,200.42
2022-02-13,190.07
2022-02-14,187.36
2022-02-15,194.49
2022-02-16,190.51
2022-02-17,170.65
2022-02-18,164.1
2022-02-19,162.39
2022-02-20,155.51
2022-02-21,146.26
2022-02-22,151.66
2022-02-23,146.51
2022-02-24,134.66
2022-02-25,148.8
2022-02-26,142.61
2022-02-27,136.0
2022-02-28,150.47
2022-03-01,152.12
2022-03-02,152.59
2022-03-03,146.71
2022-03-04,132.97
2022-03-05,137.77
2022-03-06,132.81
2022-03-07,131.09
2022-03-08,132.4
2022-03-09,141.71
2022-03-10,144.52
2022-03-11,138.89
2022-03-12,139.51
2022-03-13,135.08
2022-03-14,143.22
2022-03-15,156.83
2022-03-16,163.84
2022-03-17,157.15
2022-03-18,158.85
2022-03-19,160.16
2022-03-20,160.68
2022-03-21,173.37
2022-03-22,185.5
2022-03-23,185.73
2022-03-24,192.31
2022-03-25,181.76
2022-03-26,189.08
2022-03-27,198.99
2022-03-28,192.66
2022-03-29,196.95
2022-03-30,197.73
2022-03-31,187.01
2022-04-01,198.12
2022-04-02,191.81
2022-04-03,195.31
2022-04-04,191.24
2022-04-05,184.42
2022-04-06,164.59
2022-04-07,169.3
2022-04-08,160.72
2022-04-09,167.14
2022-04-10,161.07
2022-04-11,150.79
2022-04-12,156.26
2022-04-13,159.25
2022-04-14,155.25
2022-04-15,155.44
2022-04-16,155.23
2022-04-17,152.56
2022-04-18,154.88
2022-04-19,165.06
2022-04-20,163.27
2022-04-21,158.0
2022-04-22,154.73
2022-04-23,153.84
2022-04-24,151.47
2022-04-25,156.61
2022-04-26,144.96
2022-04-27,149.86
2022-04-28,147.07
2022-04-29,134.54
2022-04-30,127.33
2022-05-01,127.33
2022-05-02,125.4
2022-05-03,123.63
