date,price
2024-09-28,2676.03
2024-09-29,2658.08
2024-09-30,2601.63
2024-10-01,2447.54
2024-10-02,2363.64
2024-10-03,2349.81
2024-10-04,2414.67
2024-10-05,2414.79
2024-10-06,2439.96
2024-10-07,2422.14
2024-10-08,2439.67
2024-10-09,2368.44
2024-10-10,2384.4
2024-10-11,2439.03
2024-10-12,2475.93
2024-10-13,2468.12
2024-10-14,2629.02
2024-10-15,2606.92
2024-10-16,2610.95
2024-10-17,2605.1
2024-10-18,2642.22
2024-10-19,2648.12
2024-10-20,2746.4
2024-10-21,2665.9
2024-10-22,2621.31
2024-10-23,2522.33
2024-10-24,2534.54
2024-10-25,2436.2
2024-10-26,2479.7
2024-10-27,2505.21
2024-10-28,2565.82
2024-10-29,2638.16
2024-10-30,2658.35
2024-10-31,2515.04
2024-11-01,2510.39
2024-11-02,2493.41
2024-11-03,2456.66
2024-11-04,2396.87
2024-11-05,2422.4
2024-11-06,2724.61
2024-11-07,2897.52
2024-11-08,2963.98
2024-11-09,3127.99
2024-11-10,3186.06
2024-11-11,3375.79
2024-11-12,3247.18
2024-11-13,3191.32
2024-11-14,3059.11
2024-11-15,3091.03
2024-11-16,3134.46
2024-11-17,3076.78
2024-11-18,3209.54
2024-11-19,3112.1
2024-11-20,3072.39
2024-11-21,3359.82
2024-11-22,3331.89
2024-11-23,3397.31
2024-11-24,3364.81
2024-11-25,3414.86
2024-11-26,3323.46
2024-11-27,3657.71
2024-11-28,3579.62
2024-11-29,3593.72
2024-11-30,3706.22
2024-12-01,3710.38
2024-12-02,3644.73
2024-12-03,3617.6
2024-12-04,3845.15
2024-12-05,3789.23
2024-12-06,4005.27
2024-12-07,4000.53
2024-12-08,4007.11
2024-12-09,3714.19
2024-12-10,3630.62
2024-12-11,3834.97
2024-12-12,3882.65
2024-12-13,3907.67
2024-12-14,3869.58
2024-12-15,3957.8
2024-12-16,3987.5
2024-12-17,3893.55
2024-12-18,3624.67
2024-12-19,3414.47
2024-12-20,3470.82
2024-12-21,3337.38
2024-12-22,3278.9
2024-12-23,3418.24
2024-12-24,3491.08
2024-12-25,3494.17
2024-12-26,3331.04
2024-12-27,3328.67
2024-12-28,3397.86
2024-12-29,3350.43
2024-12-30,3356.45
2024-12-31,3331.15
2025-01-01,3353.28
2025-01-02,3452.59
2025-01-03,3607.83
2025-01-04,3656.45
2025-01-05,3635.29
2025-01-06,3688.83
2025-01-07,3380.43
2025-01-08,3326.54
2025-01-09,3219.05
2025-01-10,3266.41
2025-01-11,3281.96
2025-01-12,3266.23
2025-01-13,3136.46
2025-01-14,3224.35
2025-01-15,3451.52
2025-01-16,3307.52
2025-01-17,3475.27
2025-01-18,3304.42
2025-01-19,3210.82
2025-01-20,3280.4
2025-01-21,3327.64
2025-01-22,3241.51
2025-01-23,3338.7
2025-01-24,3309.74
2025-01-25,3318.45
2025-01-26,3231.79
2025-01-27,3181.65
2025-01-28,3075.83
2025-01-29,3114.1
2025-01-30,3247.4
2025-01-31,3300.04
2025-02-01,3116.61
2025-02-02,2869.16
2025-02-03,2883.08
2025-02-04,2732.09
2025-02-05,2788.52
2025-02-06,2686.96
2025-02-07,2622.67
2025-02-08,2632.76
2025-02-09,2627.84
2025-02-10,2661.94
2025-02-11,2602.22
2025-02-12,2738.57
2025-02-13,2676.25
2025-02-14,2726.02
2025-02-15,2693.56
2025-02-16,2661.59
2025-02-17,2744.13
2025-02-18,2670.43
2025-02-19,2715.47
2025-02-20,2738.98
2025-02-21,2661.6
2025-02-22,2763.54
2025-02-23,2819.92
2025-02-24,2513.65
2025-02-25,2492.48
2025-02-26,2333.12
2025-02-27,2305.51
2025-02-28,2236.53
2025-03-01,2216.72
2025-03-02,2518.51
2025-03-03,2147.5
2025-03-04,2171.13
2025-03-05,2241.7
2025-03-06,2202.6
2025-03-07,2140.93
2025-03-08,2203.24
2025-03-09,2020.01
2025-03-10,1864.38
