date,price
2023-09-14,3.234
2023-09-15,3.366
2023-09-16,3.324
2023-09-17,3.333
2023-09-18,3.332
2023-09-19,3.37
2023-09-20,3.363
2023-09-21,3.214
2023-09-22,3.225
2023-09-23,3.246
2023-09-24,3.213
2023-09-25,3.212
2023-09-26,3.17
2023-09-27,3.21
2023-09-28,3.31
2023-09-29,3.336
2023-09-30,3.356
2023-10-01,3.462
2023-10-02,3.334
2023-10-03,3.309
2023-10-04,3.312
2023-10-05,3.258
2023-10-06,3.339
2023-10-07,3.451
2023-10-08,3.397
2023-10-09,3.226
2023-10-10,3.194
2023-10-11,3.175
2023-10-12,3.209
2023-10-13,3.209
2023-10-14,3.213
2023-10-15,3.221
2023-10-16,3.251
2023-10-17,3.206
2023-10-18,3.174
2023-10-19,3.195
2023-10-20,3.216
2023-10-21,3.346
2023-10-22,3.423
2023-10-23,3.86
2023-10-24,3.835
2023-10-25,3.769
2023-10-26,3.734
2023-10-27,3.592
2023-10-28,3.736
2023-10-29,3.795
2023-10-30,3.861
2023-10-31,3.829
2023-11-01,3.94
2023-11-02,4.09
2023-11-03,3.927
2023-11-04,4.006
2023-11-05,4.112
2023-11-06,4.337
2023-11-07,4.241
2023-11-08,4.435
2023-11-09,4.498
2023-11-10,4.586
2023-11-11,4.739
2023-11-12,5.148
2023-11-13,5.007
2023-11-14,4.791
2023-11-15,5.219
2023-11-16,4.855
2023-11-17,4.735
2023-11-18,4.717
2023-11-19,4.886
2023-11-20,4.689
2023-11-21,4.194
2023-11-22,4.476
2023-11-23,4.487
2023-11-24,4.644
2023-11-25,4.785
2023-11-26,4.599
2023-11-27,4.541
2023-11-28,4.532
2023-11-29,4.435
2023-11-30,4.38
2023-12-01,4.505
2023-12-02,4.665
2023-12-03,4.573
2023-12-04,4.729
2023-12-05,4.784
2023-12-06,4.739
2023-12-07,5.034
2023-12-08,5.223
2023-12-09,5.129
2023-12-10,5.15
2023-12-11,4.614
2023-12-12,4.644
2023-12-13,4.722
2023-12-14,4.865
2023-12-15,4.805
2023-12-16,5.689
2023-12-17,5.275
2023-12-18,5.301
2023-12-19,5.107
2023-12-20,5.325
2023-12-21,5.499
2023-12-22,5.533
2023-12-23,5.641
2023-12-24,5.642
2023-12-25,5.789
2023-12-26,5.76
2023-12-27,5.926
2023-12-28,6.258
2023-12-29,5.808
2023-12-30,6.007
2023-12-31,6.922
2024-01-01,7.572
2024-01-02,7.175
2024-01-03,6.293
2024-01-04,6.501
2024-01-05,6.16
2024-01-06,5.895
2024-01-07,5.624
2024-01-08,5.861
2024-01-09,5.49
2024-01-10,5.946
2024-01-11,6.463
2024-01-12,5.974
2024-01-13,6.024
2024-01-14,5.804
2024-01-15,5.919
2024-01-16,5.851
2024-01-17,5.788
2024-01-18,5.61
2024-01-19,5.48
2024-01-20,5.509
2024-01-21,5.352
2024-01-22,5.037
2024-01-23,4.892
2024-01-24,5.008
2024-01-25,4.965
2024-01-26,5.172
2024-01-27,5.332
2024-01-28,5.2
2024-01-29,5.336
2024-01-30,5.156
2024-01-31,4.958
2024-02-01,4.973
2024-02-02,5.042
2024-02-03,5.064
2024-02-04,4.927
2024-02-05,4.992
2024-02-06,5.07
2024-02-07,5.182
2024-02-08,5.226
2024-02-09,5.475
2024-02-10,5.354
2024-02-11,5.305
2024-02-12,5.456
2024-02-13,5.489
2024-02-14,5.594
2024-02-15,5.873
2024-02-16,5.794
2024-02-17,6.212
2024-02-18,6.279
2024-02-19,7.395
2024-02-20,7.719
2024-02-21,7.245
2024-02-22,8.059
2024-02-23,8.012
2024-02-24,8.101
2024-02-25,8.116
2024-02-26,8.151
2024-02-27,7.667
2024-02-28,7.726
2024-02-29,8.148
2024-03-01,8.213
2024-03-02,9.317
2024-03-03,10.49
2024-03-04,10.03
2024-03-05,8.91
2024-03-06,10.07
2024-03-07,9.935
2024-03-08,11.49
2024-03-09,11.08
2024-03-10,10.69
2024-03-11,11.18
2024-03-12,10.91
2024-03-13,10.63
2024-03-14,10.5
2024-03-15,9.77
2024-03-16,8.828
2024-03-17,9.166
