date,price
2024-09-28,0.6748
2024-09-29,0.6778
2024-09-30,0.6933
2024-10-01,0.669
2024-10-02,0.6493
2024-10-03,0.6075
2024-10-04,0.6316
2024-10-05,0.6103
2024-10-06,0.656
2024-10-07,0.6622
2024-10-08,0.6781
2024-10-09,0.6623
2024-10-10,0.6315
2024-10-11,0.6753
2024-10-12,0.7031
2024-10-13,0.666
2024-10-14,0.7327
2024-10-15,0.7591
2024-10-16,0.7425
2024-10-17,0.7204
2024-10-18,0.7333
2024-10-19,0.72
2024-10-20,0.7618
2024-10-21,0.736
2024-10-22,0.7087
2024-10-23,0.6862
2024-10-24,0.6875
2024-10-25,0.6201
2024-10-26,0.6418
2024-10-27,0.6831
2024-10-28,0.688
2024-10-29,0.7198
2024-10-30,0.6928
2024-10-31,0.6549
2024-11-01,0.64
2024-11-02,0.6188
2024-11-03,0.5992
2024-11-04,0.5449
2024-11-05,0.5831
2024-11-06,0.6899
2024-11-07,0.7222
2024-11-08,0.7189
2024-11-09,0.7561
2024-11-10,0.7865
2024-11-11,0.8379
2024-11-12,0.7629
2024-11-13,0.7035
2024-11-14,0.6717
2024-11-15,0.7059
2024-11-16,0.7449
2024-11-17,0.6978
2024-11-18,0.7292
2024-11-19,0.6969
2024-11-20,0.6627
2024-11-21,0.7074
2024-11-22,0.7597
2024-11-23,0.8761
2024-11-24,1.007
2024-11-25,0.9773
2024-11-26,1.082
2024-11-27,1.047
2024-11-28,0.9946
2024-11-29,1.033
2024-11-30,1.048
2024-12-01,1.096
2024-12-02,1.248
2024-12-03,1.246
2024-12-04,1.213
2024-12-05,1.315
2024-12-06,1.312
2024-12-07,1.316
2024-12-08,1.33
2024-12-09,1.123
2024-12-10,1.158
2024-12-11,1.252
2024-12-12,1.235
2024-12-13,1.313
2024-12-14,1.224
2024-12-15,1.431
2024-12-16,1.39
2024-12-17,1.316
2024-12-18,1.112
2024-12-19,0.9948
2024-12-20,0.9924
2024-12-21,0.9663
2024-12-22,0.965
