date,price
2023-09-14,0.0834
2023-09-15,0.08851
2023-09-16,0.0872
2023-09-17,0.08428
2023-09-18,0.08661
2023-09-19,0.0905
2023-09-20,0.0915
2023-09-21,0.08751
2023-09-22,0.08752
2023-09-23,0.089
2023-09-24,0.08601
2023-09-25,0.0879
2023-09-26,0.0866
2023-09-27,0.08559
2023-09-28,0.08681
2023-09-29,0.087
2023-09-30,0.0896
2023-10-01,0.09319
2023-10-02,0.08867
2023-10-03,0.08808
2023-10-04,0.08652
2023-10-05,0.08432
2023-10-06,0.08569
2023-10-07,0.08579
2023-10-08,0.08512
2023-10-09,0.08122
2023-10-10,0.08168
2023-10-11,0.0801
2023-10-12,0.07957
2023-10-13,0.08069
2023-10-14,0.08102
2023-10-15,0.08199
2023-10-16,0.0827
2023-10-17,0.0802
2023-10-18,0.07961
2023-10-19,0.07769
2023-10-20,0.08109
2023-10-21,0.0829
2023-10-22,0.08512
2023-10-23,0.09103
2023-10-24,0.09134
2023-10-25,0.1014
2023-10-26,0.09922
2023-10-27,0.09765
2023-10-28,0.1011
2023-10-29,0.106
2023-10-30,0.1097
2023-10-31,0.1042
2023-11-01,0.1142
2023-11-02,0.1086
2023-11-03,0.1147
2023-11-04,0.1194
2023-11-05,0.1268
2023-11-06,0.1577
2023-11-07,0.1375
2023-11-08,0.1339
2023-11-09,0.1358
2023-11-10,0.1358
2023-11-11,0.1364
2023-11-12,0.135
2023-11-13,0.1242
2023-11-14,0.1253
2023-11-15,0.1335
2023-11-16,0.1284
2023-11-17,0.1266
2023-11-18,0.1271
2023-11-19,0.1369
2023-11-20,0.1388
2023-11-21,0.1254
2023-11-22,0.1452
2023-11-23,0.1386
2023-11-24,0.1542
2023-11-25,0.1521
2023-11-26,0.1498
2023-11-27,0.1485
2023-11-28,0.1469
2023-11-29,0.1435
2023-11-30,0.1429
2023-12-01,0.15
2023-12-02,0.1521
2023-12-03,0.1496
2023-12-04,0.1507
2023-12-05,0.1578
2023-12-06,0.1636
2023-12-07,0.1649
2023-12-08,0.1741
2023-12-09,0.1688
2023-12-10,0.1717
2023-12-11,0.1586
2023-12-12,0.1599
2023-12-13,0.1643
2023-12-14,0.1749
2023-12-15,0.1631
2023-12-16,0.1622
2023-12-17,0.1583
2023-12-18,0.1602
2023-12-19,0.1557
2023-12-20,0.1607
2023-12-21,0.1651
2023-12-22,0.1903
2023-12-23,0.1824
2023-12-24,0.1861
2023-12-25,0.1967
2023-12-26,0.1987
2023-12-27,0.1917
2023-12-28,0.1885
2023-12-29,0.1812
2023-12-30,0.1781
2023-12-31,0.1838
2024-01-01,0.2175
2024-01-02,0.2073
2024-01-03,0.1894
2024-01-04,0.199
2024-01-05,0.185
2024-01-06,0.172
2024-01-07,0.1634
2024-01-08,0.1717
2024-01-09,0.1604
2024-01-10,0.1777
2024-01-11,0.1872
2024-01-12,0.1749
2024-01-13,0.1709
2024-01-14,0.1612
2024-01-15,0.1626
2024-01-16,0.1693
2024-01-17,0.1673
2024-01-18,0.1546
2024-01-19,0.1535
2024-01-20,0.1603
2024-01-21,0.1597
2024-01-22,0.1486
2024-01-23,0.1474
2024-01-24,0.1533
2024-01-25,0.1493
2024-01-26,0.1561
2024-01-27,0.1599
2024-01-28,0.1569
2024-01-29,0.1624
2024-01-30,0.1584
2024-01-31,0.1545
2024-02-01,0.1543
2024-02-02,0.1559
2024-02-03,0.1564
