date,price
2023-09-14,2.92
2023-09-15,3.002
2023-09-16,3.006
2023-09-17,2.931
2023-09-18,2.983
2023-09-19,3.03
2023-09-20,2.999
2023-09-21,2.899
2023-09-22,2.921
2023-09-23,2.967
2023-09-24,2.924
2023-09-25,3.0
2023-09-26,2.957
2023-09-27,2.931
2023-09-28,3.079
2023-09-29,3.145
2023-09-30,3.163
2023-10-01,3.307
2023-10-02,3.126
2023-10-03,3.128
2023-10-04,3.166
2023-10-05,3.055
2023-10-06,3.073
2023-10-07,3.097
2023-10-08,3.093
2023-10-09,2.925
2023-10-10,2.968
2023-10-11,2.934
2023-10-12,2.93
2023-10-13,3.06
2023-10-14,3.101
2023-10-15,3.146
2023-10-16,3.161
2023-10-17,3.067
2023-10-18,3.057
2023-10-19,3.002
2023-10-20,3.127
2023-10-21,3.224
2023-10-22,3.231
2023-10-23,3.518
2023-10-24,3.604
2023-10-25,3.575
2023-10-26,3.546
2023-10-27,3.511
2023-10-28,3.712
2023-10-29,4.026
2023-10-30,4.042
2023-10-31,3.947
2023-11-01,4.072
2023-11-02,4.018
2023-11-03,3.947
2023-11-04,4.02
2023-11-05,4.059
2023-11-06,4.259
2023-11-07,4.195
2023-11-08,4.268
2023-11-09,4.093
2023-11-10,4.382
2023-11-11,4.466
2023-11-12,4.675
2023-11-13,4.516
2023-11-14,4.271
2023-11-15,4.735
2023-11-16,4.405
2023-11-17,4.334
2023-11-18,4.321
2023-11-19,4.588
2023-11-20,4.532
2023-11-21,4.082
2023-11-22,4.439
2023-11-23,4.599
2023-11-24,4.605
2023-11-25,4.726
2023-11-26,4.656
2023-11-27,4.479
2023-11-28,4.584
2023-11-29,4.517
2023-11-30,4.562
2023-12-01,4.689
2023-12-02,4.837
2023-12-03,4.711
2023-12-04,5.131
2023-12-05,5.114
2023-12-06,4.889
2023-12-07,5.07
2023-12-08,5.22
2023-12-09,5.576
2023-12-10,5.582
2023-12-11,5.292
2023-12-12,5.546
2023-12-13,6.427
2023-12-14,6.334
2023-12-15,7.194
2023-12-16,9.976
2023-12-17,10.51
2023-12-18,9.797
2023-12-19,9.273
2023-12-20,8.837
2023-12-21,9.161
2023-12-22,9.343
2023-12-23,9.559
