date,price
2024-09-28,1.779
2024-09-29,1.801
2024-09-30,1.688
2024-10-01,1.556
2024-10-02,1.559
2024-10-03,1.511
2024-10-04,1.556
2024-10-05,1.518
2024-10-06,1.524
2024-10-07,1.481
2024-10-08,1.427
2024-10-09,1.372
2024-10-10,1.459
2024-10-11,1.488
2024-10-12,1.559
2024-10-13,1.503
2024-10-14,1.672
2024-10-15,1.587
2024-10-16,1.528
2024-10-17,1.503
2024-10-18,1.557
2024-10-19,1.575
2024-10-20,1.652
2024-10-21,1.541
2024-10-22,1.5
2024-10-23,1.466
2024-10-24,1.465
2024-10-25,1.328
2024-10-26,1.34
2024-10-27,1.339
2024-10-28,1.352
2024-10-29,1.416
2024-10-30,1.375
2024-10-31,1.202
2024-11-01,1.112
2024-11-02,1.065
2024-11-03,1.104
2024-11-04,1.044
2024-11-05,1.081
2024-11-06,1.229
2024-11-07,1.224
2024-11-08,1.199
2024-11-09,1.299
2024-11-10,1.304
2024-11-11,1.41
2024-11-12,1.345
2024-11-13,1.245
2024-11-14,1.163
2024-11-15,1.263
2024-11-16,1.362
2024-11-17,1.299
2024-11-18,1.392
2024-11-19,1.389
2024-11-20,1.277
2024-11-21,1.362
2024-11-22,1.488
2024-11-23,1.594
2024-11-24,1.77
2024-11-25,1.7
2024-11-26,1.676
2024-11-27,1.762
2024-11-28,1.881
2024-11-29,1.933
2024-11-30,1.976
2024-12-01,2.018
2024-12-02,2.044
2024-12-03,2.1
2024-12-04,2.087
2024-12-05,2.074
2024-12-06,2.131
2024-12-07,2.069
2024-12-08,2.073
2024-12-09,1.735
2024-12-10,1.741
2024-12-11,1.877
2024-12-12,1.963
2024-12-13,1.934
2024-12-14,1.812
2024-12-15,1.869
2024-12-16,1.804
2024-12-17,1.703
2024-12-18,1.569
2024-12-19,1.402
2024-12-20,1.445
2024-12-21,1.327
2024-12-22,1.313
2024-12-23,1.445
2024-12-24,1.476
2024-12-25,1.434
2024-12-26,1.336
2024-12-27,1.386
2024-12-28,1.432
2024-12-29,1.353
2024-12-30,1.35
2024-12-31,1.323
2025-01-01,1.349
2025-01-02,1.367
2025-01-03,1.471
2025-01-04,1.465
2025-01-05,1.446
2025-01-06,1.479
2025-01-07,1.319
2025-01-08,1.27
2025-01-09,1.23
2025-01-10,1.255
2025-01-11,1.252
2025-01-12,1.218
2025-01-13,1.179
2025-01-14,1.204
2025-01-15,1.358
2025-01-16,1.348
2025-01-17,1.42
2025-01-18,1.31
2025-01-19,1.164
2025-01-20,1.192
2025-01-21,1.241
2025-01-22,1.183
2025-01-23,1.205
2025-01-24,1.192
2025-01-25,1.224
2025-01-26,1.192
2025-01-27,1.191
2025-01-28,1.074
2025-01-29,1.081
2025-01-30,1.12
2025-01-31,1.128
2025-02-01,1.015
2025-02-02,0.8842
2025-02-03,0.8925
2025-02-04,0.8256
2025-02-05,0.8002
2025-02-06,0.7632
2025-02-07,0.7639
2025-02-08,0.8021
2025-02-09,0.8144
2025-02-10,0.8085
2025-02-11,0.7799
2025-02-12,0.8322
2025-02-13,0.8006
2025-02-14,0.8208
2025-02-15,0.7932
2025-02-16,0.7979
2025-02-17,0.8089
2025-02-18,0.745
2025-02-19,0.7316
2025-02-20,0.7385
2025-02-21,0.6997
2025-02-22,0.7242
2025-02-23,0.6966
2025-02-24,0.633
2025-02-25,0.6847
2025-02-26,0.7049
2025-02-27,0.7046
2025-02-28,0.7202
2025-03-01,0.6955
2025-03-02,0.7518
2025-03-03,0.6347
2025-03-04,0.6133
2025-03-05,0.657
2025-03-06,0.6244
2025-03-07,0.6012
2025-03-08,0.5775
2025-03-09,0.5139
2025-03-10,0.4902
2025-03-11,0.5187
2025-03-12,0.5429
2025-03-13,0.5174
2025-03-14,0.5488
2025-03-15,0.5682
2025-03-16,0.5497
2025-03-17,0.5698
2025-03-18,0.567
2025-03-19,0.5986
2025-03-20,0.5633
2025-03-21,0.5357
2025-03-22,0.5992
2025-03-23,0.5828
2025-03-24,0.628
2025-03-25,0.7084
2025-03-26,0.6435
2025-03-27,0.6302
2025-03-28,0.5825
2025-03-29,0.549
2025-03-30,0.5337
2025-03-31,0.528
2025-04-01,0.5257
2025-04-02,0.4764
2025-04-03,0.4734
2025-04-04,0.4454
2025-04-05,0.4239
2025-04-06,0.3824
2025-04-07,0.3982
2025-04-08,0.3749
2025-04-09,0.4195
2025-04-10,0.3942
2025-04-11,0.4196
2025-04-12,0.435
2025-04-13,0.4116
2025-04-14,0.4162
2025-04-15,0.4022
2025-04-16,0.4086
2025-04-17,0.4223
2025-04-18,0.4387
2025-04-19,0.4793
2025-04-20,0.4772
2025-04-21,0.4663
2025-04-22,0.5599
2025-04-23,0.5872
2025-04-24,0.6058
2025-04-25,0.5971
2025-04-26,0.6239
2025-04-27,0.5749
