date,price
2023-09-14,7.034
2023-09-15,7.25
2023-09-16,7.203
2023-09-17,7.058
2023-09-18,7.343
2023-09-19,7.54
2023-09-20,7.446
2023-09-21,7.103
2023-09-22,7.197
2023-09-23,7.025
2023-09-24,6.929
2023-09-25,7.101
2023-09-26,7.146
2023-09-27,7.126
2023-09-28,7.289
2023-09-29,7.594
2023-09-30,7.699
2023-10-01,7.96
2023-10-02,7.584
2023-10-03,7.381
2023-10-04,7.598
2023-10-05,7.412
2023-10-06,7.848
2023-10-07,7.81
2023-10-08,7.77
2023-10-09,7.51
2023-10-10,7.347
2023-10-11,7.382
2023-10-12,7.321
2023-10-13,7.569
2023-10-14,7.604
2023-10-15,7.817
2023-10-16,7.806
2023-10-17,7.934
2023-10-18,8.121
2023-10-19,8.471
2023-10-20,8.443
2023-10-21,8.856
2023-10-22,9.276
2023-10-23,11.04
2023-10-24,11.79
2023-10-25,12.13
2023-10-26,12.15
2023-10-27,13.57
2023-10-28,13.38
2023-10-29,13.93
2023-10-30,13.21
2023-10-31,14.17
2023-11-01,14.88
2023-11-02,14.37
2023-11-03,14.73
2023-11-04,15.24
2023-11-05,16.14
2023-11-06,16.96
2023-11-07,17.01
2023-11-08,16.98
2023-11-09,16.49
2023-11-10,18.04
2023-11-11,17.7
2023-11-12,17.27
2023-11-13,15.42
2023-11-14,15.63
2023-11-15,17.02
2023-11-16,15.9
2023-11-17,16.21
2023-11-18,16.0
2023-11-19,16.76
2023-11-20,15.89
2023-11-21,14.2
2023-11-22,16.06
2023-11-23,15.13
2023-11-24,15.61
2023-11-25,17.14
2023-11-26,17.1
2023-11-27,16.7
2023-11-28,16.59
2023-11-29,16.75
2023-11-30,18.44
2023-12-01,17.99
2023-12-02,17.82
2023-12-03,17.44
2023-12-04,16.86
2023-12-05,17.2
2023-12-06,16.98
2023-12-07,18.27
2023-12-08,19.28
2023-12-09,18.63
2023-12-10,21.27
2023-12-11,24.05
2023-12-12,25.61
2023-12-13,29.3
2023-12-14,30.65
2023-12-15,29.75
2023-12-16,29.57
2023-12-17,30.63
2023-12-18,36.84
2023-12-19,36.42
2023-12-20,42.63
2023-12-21,40.35
2023-12-22,38.61
2023-12-23,42.2
2023-12-24,40.58
2023-12-25,43.35
2023-12-26,38.8
2023-12-27,39.27
2023-12-28,35.55
2023-12-29,35.84
2023-12-30,37.34
2023-12-31,35.72
2024-01-01,39.75
2024-01-02,37.07
2024-01-03,34.19
2024-01-04,38.48
2024-01-05,38.57
2024-01-06,40.04
2024-01-07,36.54
2024-01-08,42.29
2024-01-09,39.85
2024-01-10,41.03
2024-01-11,38.66
2024-01-12,36.77
2024-01-13,39.0
2024-01-14,36.86
2024-01-15,41.09
2024-01-16,40.76
2024-01-17,39.14
2024-01-18,36.0
2024-01-19,36.15
2024-01-20,35.43
2024-01-21,35.94
2024-01-22,33.86
2024-01-23,33.02
2024-01-24,33.05
2024-01-25,31.79
2024-01-26,33.75
2024-01-27,35.04
2024-01-28,36.45
2024-01-29,37.54
2024-01-30,35.43
2024-01-31,33.87
2024-02-01,33.91
2024-02-02,34.69
2024-02-03,33.08
2024-02-04,32.36
2024-02-05,31.94
2024-02-06,31.21
2024-02-07,33.0
2024-02-08,32.8
2024-02-09,34.87
2024-02-10,35.03
2024-02-11,35.19
2024-02-12,36.89
2024-02-13,34.75
2024-02-14,35.47
2024-02-15,34.16
2024-02-16,34.61
2024-02-17,37.85
2024-02-18,38.91
2024-02-19,37.58
2024-02-20,36.46
2024-02-21,35.09
2024-02-22,34.1
2024-02-23,32.91
2024-02-24,34.65
2024-02-25,35.82
2024-02-26,36.68
2024-02-27,40.11
2024-02-28,43.26
2024-02-29,40.92
2024-03-01,45.29
2024-03-02,42.76
2024-03-03,40.7
2024-03-04,40.61
2024-03-05,38.06
2024-03-06,38.91
2024-03-07,42.93
2024-03-08,41.55
2024-03-09,40.95
2024-03-10,40.16
2024-03-11,42.59
2024-03-12,51.96
2024-03-13,48.36
2024-03-14,47.92
2024-03-15,44.48
2024-03-16,40.7
2024-03-17,42.8
2024-03-18,38.42
2024-03-19,36.02
2024-03-20,39.18
2024-03-21,37.11
2024-03-22,35.26
2024-03-23,35.02
2024-03-24,36.51
2024-03-25,37.85
2024-03-26,39.03
2024-03-27,37.91
2024-03-28,38.43
2024-03-29,36.68
2024-03-30,35.83
2024-03-31,36.8
2024-04-01,34.22
2024-04-02,32.58
2024-04-03,32.9
2024-04-04,32.8
2024-04-05,34.31
2024-04-06,34.89
2024-04-07,35.26
2024-04-08,35.67
2024-04-09,33.23
2024-04-10,33.24
2024-04-11,31.96
2024-04-12,26.83
2024-04-13,23.38
2024-04-14,26.13
2024-04-15,24.54
2024-04-16,25.06
2024-04-17,26.04
2024-04-18,27.65
2024-04-19,28.19
2024-04-20,29.76
2024-04-21,28.28
2024-04-22,28.72
2024-04-23,28.05
2024-04-24,26.43
2024-04-25,26.52
2024-04-26,25.52
2024-04-27,25.92
2024-04-28,25.77
2024-04-29,25.84
2024-04-30,23.76
2024-05-01,23.7
2024-05-02,23.45
2024-05-03,25.03
2024-05-04,24.65
2024-05-05,24.22
2024-05-06,25.6
2024-05-07,24.71
2024-05-08,23.29
2024-05-09,23.99
2024-05-10,24.85
2024-05-11,23.75
2024-05-12,23.48
2024-05-13,22.63
2024-05-14,21.36
2024-05-15,23.65
2024-05-16,23.42
2024-05-17,24.76
2024-05-18,25.01
2024-05-19,24.13
2024-05-20,28.24
2024-05-21,27.65
2024-05-22,27.3
2024-05-23,26.11
2024-05-24,25.8
2024-05-25,25.35
2024-05-26,24.8
2024-05-27,25.75
2024-05-28,26.28
2024-05-29,26.44
2024-05-30,24.91
2024-05-31,24.38
2024-06-01,24.51
2024-06-02,24.23
2024-06-03,24.99
2024-06-04,25.25
2024-06-05,26.8
2024-06-06,28.07
2024-06-07,27.94
2024-06-08,26.8
2024-06-09,27.85
2024-06-10,29.32
2024-06-11,27.2
2024-06-12,31.25
2024-06-13,28.82
2024-06-14,26.19
2024-06-15,25.37
2024-06-16,25.05
2024-06-17,21.6
2024-06-18,20.48
2024-06-19,21.21
2024-06-20,20.76
2024-06-21,21.31
2024-06-22,20.99
2024-06-23,20.26
2024-06-24,22.73
2024-06-25,23.43
2024-06-26,23.02
2024-06-27,23.22
2024-06-28,23.02
2024-06-29,22.8
2024-06-30,23.47
2024-07-01,22.53
2024-07-02,23.33
2024-07-03,21.5
2024-07-04,19.85
2024-07-05,18.96
2024-07-06,20.18
2024-07-07,18.63
2024-07-08,19.77
2024-07-09,20.9
2024-07-10,20.58
2024-07-11,19.58
2024-07-12,19.77
2024-07-13,20.29
2024-07-14,21.68
2024-07-15,23.06
2024-07-16,24.93
2024-07-17,25.68
2024-07-18,27.01
2024-07-19,26.61
2024-07-20,27.73
2024-07-21,27.53
2024-07-22,25.86
2024-07-23,24.21
2024-07-24,23.99
2024-07-25,23.86
2024-07-26,25.81
2024-07-27,25.32
2024-07-28,24.23
2024-07-29,24.15
2024-07-30,23.17
2024-07-31,21.97
2024-08-01,21.65
2024-08-02,19.74
2024-08-03,18.48
2024-08-04,17.63
2024-08-05,15.32
2024-08-06,16.05
2024-08-07,14.94
2024-08-08,18.41
2024-08-09,18.2
2024-08-10,19.27
2024-08-11,17.66
2024-08-12,18.55
2024-08-13,19.47
2024-08-14,18.67
2024-08-15,18.14
2024-08-16,17.88
2024-08-17,18.62
2024-08-18,17.84
2024-08-19,18.18
2024-08-20,18.41
2024-08-21,19.68
2024-08-22,20.06
2024-08-23,22.19
2024-08-24,22.19
2024-08-25,22.42
2024-08-26,20.66
2024-08-27,18.99
2024-08-28,17.95
2024-08-29,17.46
2024-08-30,17.4
2024-08-31,17.27
2024-09-01,16.43
2024-09-02,17.17
2024-09-03,15.86
2024-09-04,17.31
2024-09-05,17.0
2024-09-06,16.2
2024-09-07,16.01
2024-09-08,16.24
2024-09-09,17.3
2024-09-10,18.19
2024-09-11,18.72
2024-09-12,19.39
2024-09-13,19.83
2024-09-14,19.63
2024-09-15,18.67
2024-09-16,18.01
2024-09-17,19.5
2024-09-18,19.81
2024-09-19,20.45
2024-09-20,21.07
2024-09-21,21.19
2024-09-22,21.68
2024-09-23,22.45
2024-09-24,21.84
2024-09-25,22.47
2024-09-26,23.07
2024-09-27,23.63
2024-09-28,22.85
2024-09-29,23.26
2024-09-30,22.89
2024-10-01,20.71
2024-10-02,20.18
2024-10-03,19.05
2024-10-04,20.37
2024-10-05,19.9
2024-10-06,20.75
2024-10-07,20.54
2024-10-08,19.49
2024-10-09,19.3
2024-10-10,19.22
2024-10-11,20.43
2024-10-12,20.39
2024-10-13,20.3
2024-10-14,21.73
2024-10-15,21.41
2024-10-16,20.91
2024-10-17,21.34
2024-10-18,22.1
2024-10-19,22.24
2024-10-20,22.17
2024-10-21,21.28
2024-10-22,20.94
2024-10-23,20.15
2024-10-24,20.39
2024-10-25,18.21
2024-10-26,18.37
2024-10-27,18.97
2024-10-28,19.2
2024-10-29,20.3
2024-10-30,19.87
2024-10-31,19.04
2024-11-01,18.72
2024-11-02,17.96
2024-11-03,16.88
2024-11-04,16.37
2024-11-05,17.3
2024-11-06,21.27
2024-11-07,21.64
2024-11-08,22.45
2024-11-09,23.81
2024-11-10,25.77
2024-11-11,26.92
2024-11-12,24.51
2024-11-13,24.19
2024-11-14,23.27
2024-11-15,24.66
2024-11-16,25.89
2024-11-17,24.56
2024-11-18,25.7
2024-11-19,24.44
2024-11-20,23.24
2024-11-21,25.07
2024-11-22,26.6
2024-11-23,27.86
2024-11-24,28.49
2024-11-25,26.93
2024-11-26,30.87
2024-11-27,29.79
2024-11-28,29.38
2024-11-29,30.31
2024-11-30,31.2
2024-12-01,29.98
2024-12-02,31.85
2024-12-03,33.44
2024-12-04,31.9
2024-12-05,32.27
2024-12-06,34.18
2024-12-07,33.02
2024-12-08,33.32
2024-12-09,28.09
2024-12-10,27.06
2024-12-11,28.81
2024-12-12,29.08
2024-12-13,29.24
2024-12-14,27.45
2024-12-15,28.56
2024-12-16,28.51
2024-12-17,26.88
2024-12-18,24.47
2024-12-19,21.84
2024-12-20,22.16
2024-12-21,20.53
2024-12-22,20.43
2024-12-23,23.1
2024-12-24,23.33
2024-12-25,22.61
2024-12-26,21.18
2024-12-27,20.76
2024-12-28,21.27
2024-12-29,20.28
2024-12-30,20.02
2024-12-31,19.58
2025-01-01,20.5
2025-01-02,21.73
2025-01-03,23.06
2025-01-04,23.63
2025-01-05,25.44
2025-01-06,25.96
2025-01-07,23.79
2025-01-08,21.89
2025-01-09,21.09
2025-01-10,21.58
2025-01-11,21.33
2025-01-12,20.85
2025-01-13,20.1
2025-01-14,21.22
2025-01-15,23.12
2025-01-16,22.71
2025-01-17,24.75
2025-01-18,23.91
2025-01-19,20.65
2025-01-20,21.61
2025-01-21,22.82
2025-01-22,21.45
2025-01-23,20.84
2025-01-24,20.77
2025-01-25,20.65
2025-01-26,20.13
2025-01-27,19.17
2025-01-28,17.58
2025-01-29,18.38
2025-01-30,19.93
2025-01-31,20.27
2025-02-01,18.29
2025-02-02,15.53
2025-02-03,16.09
2025-02-04,14.37
2025-02-05,14.0
2025-02-06,13.12
2025-02-07,13.49
2025-02-08,13.82
2025-02-09,13.74
2025-02-10,14.56
2025-02-11,14.24
2025-02-12,14.93
2025-02-13,15.16
2025-02-14,15.38
2025-02-15,15.3
2025-02-16,14.9
2025-02-17,14.98
2025-02-18,13.9
2025-02-19,14.92
2025-02-20,15.71
2025-02-21,15.24
2025-02-22,15.28
2025-02-23,16.14
2025-02-24,13.84
2025-02-25,13.52
2025-02-26,12.96
2025-02-27,13.55
