date,price
2021-11-01,6.06
2021-11-02,6.179
2021-11-03,6.043
2021-11-04,5.909
2021-11-05,5.799
2021-11-06,5.721
2021-11-07,5.769
2021-11-08,5.911
2021-11-09,5.932
2021-11-10,5.495
2021-11-11,5.594
2021-11-12,5.599
2021-11-13,5.67
2021-11-14,5.657
2021-11-15,5.609
2021-11-16,5.197
2021-11-17,5.41
2021-11-18,4.918
2021-11-19,5.168
2021-11-20,5.25
2021-11-21,5.238
2021-11-22,5.062
2021-11-23,5.367
2021-11-24,5.258
2021-11-25,5.367
2021-11-26,4.872
2021-11-27,4.98
2021-11-28,4.948
2021-11-29,5.005
2021-11-30,5.004
2021-12-01,5.179
2021-12-02,5.162
2021-12-03,4.82
2021-12-04,4.046
2021-12-05,3.82
2021-12-06,3.924
2021-12-07,3.958
2021-12-08,4.046
2021-12-09,3.597
2021-12-10,3.416
2021-12-11,3.592
2021-12-12,3.615
2021-12-13,3.226
2021-12-14,3.387
2021-12-15,3.46
2021-12-16,3.689
2021-12-17,3.552
2021-12-18,3.782
2021-12-19,3.595
2021-12-20,3.49
2021-12-21,3.578
2021-12-22,3.62
2021-12-23,3.92
2021-12-24,4.011
2021-12-25,3.968
2021-12-26,4.073
2021-12-27,4.142
2021-12-28,3.715
2021-12-29,3.548
2021-12-30,3.804
2021-12-31,3.949
2022-01-01,4.488
2022-01-02,4.286
2022-01-03,4.53
2022-01-04,5.017
2022-01-05,4.379
2022-01-06,4.21
2022-01-07,4.496
2022-01-08,4.696
2022-01-09,4.588
2022-01-10,4.284
2022-01-11,4.86
2022-01-12,4.969
2022-01-13,4.665
2022-01-14,5.474
2022-01-15,5.261
2022-01-16,5.608
2022-01-17,5.324
2022-01-18,5.027
2022-01-19,4.521
2022-01-20,4.245
2022-01-21,3.788
2022-01-22,3.465
2022-01-23,3.456
2022-01-24,3.231
2022-01-25,3.184
2022-01-26,3.196
2022-01-27,3.167
2022-01-28,3.207
2022-01-29,3.251
2022-01-30,3.233
2022-01-31,3.277
2022-02-01,3.304
2022-02-02,3.163
2022-02-03,3.334
2022-02-04,3.616
2022-02-05,3.785
2022-02-06,3.781
2022-02-07,3.909
2022-02-08,3.797
2022-02-09,3.801
2022-02-10,3.657
2022-02-11,3.377
2022-02-12,3.318
2022-02-13,3.265
2022-02-14,3.292
2022-02-15,3.494
2022-02-16,3.627
2022-02-17,3.354
