date,price
2024-10-02,10.65
2024-10-03,10.66
2024-10-04,11.07
2024-10-05,11.26
2024-10-06,11.28
2024-10-07,11.16
2024-10-08,10.83
2024-10-09,10.53
2024-10-10,10.55
2024-10-11,10.9
2024-10-12,11.0
2024-10-13,10.74
2024-10-14,11.28
2024-10-15,11.45
2024-10-16,11.24
2024-10-17,11.02
2024-10-18,11.48
2024-10-19,11.42
2024-10-20,11.97
2024-10-21,11.7
2024-10-22,11.97
2024-10-23,11.32
2024-10-24,11.6
2024-10-25,11.12
2024-10-26,10.99
2024-10-27,10.97
2024-10-28,11.18
2024-10-29,11.79
2024-10-30,12.39
2024-10-31,11.4
2024-11-01,11.25
2024-11-02,11.18
2024-11-03,10.76
2024-11-04,10.25
2024-11-05,10.83
2024-11-06,12.18
2024-11-07,12.6
2024-11-08,13.7
2024-11-09,13.78
2024-11-10,14.27
2024-11-11,14.93
2024-11-12,13.97
2024-11-13,13.5
2024-11-14,12.99
2024-11-15,13.84
2024-11-16,14.53
2024-11-17,13.79
2024-11-18,15.28
2024-11-19,14.64
2024-11-20,14.25
2024-11-21,14.91
2024-11-22,16.58
2024-11-23,17.4
2024-11-24,17.92
2024-11-25,17.34
2024-11-26,17.33
2024-11-27,18.67
2024-11-28,17.94
2024-11-29,18.26
2024-11-30,19.01
2024-12-01,18.94
2024-12-02,25.24
2024-12-03,24.12
2024-12-04,24.11
2024-12-05,23.17
2024-12-06,25.91
2024-12-07,24.81
2024-12-08,26.11
2024-12-09,22.29
2024-12-10,22.13
2024-12-11,24.09
2024-12-12,29.11
2024-12-13,29.0
2024-12-14,29.12
2024-12-15,29.25
2024-12-16,28.75
2024-12-17,27.85
2024-12-18,24.85
2024-12-19,22.79
2024-12-20,23.38
2024-12-21,22.11
2024-12-22,22.06
2024-12-23,24.51
2024-12-24,25.41
2024-12-25,24.42
2024-12-26,22.65
2024-12-27,21.53
2024-12-28,21.95
2024-12-29,20.91
2024-12-30,20.55
2024-12-31,19.97
2025-01-01,21.69
2025-01-02,22.04
2025-01-03,23.47
2025-01-04,23.59
2025-01-05,23.58
2025-01-06,23.85
2025-01-07,21.39
2025-01-08,20.44
2025-01-09,19.64
2025-01-10,20.25
2025-01-11,20.21
2025-01-12,19.83
2025-01-13,19.36
2025-01-14,20.31
2025-01-15,22.09
2025-01-16,23.02
2025-01-17,25.1
2025-01-18,24.08
2025-01-19,24.31
2025-01-20,25.05
2025-01-21,26.68
2025-01-22,25.27
2025-01-23,25.67
2025-01-24,25.19
2025-01-25,24.92
2025-01-26,24.86
2025-01-27,24.2
2025-01-28,22.61
2025-01-29,23.66
2025-01-30,24.46
2025-01-31,25.15
