date,price
2021-08-25,177.9
2021-08-26,167.82
2021-08-27,176.3
2021-08-28,175.68
2021-08-29,174.44
2021-08-30,167.39
2021-08-31,171.7
2021-09-01,180.89
2021-09-02,183.45
2021-09-03,213.18
2021-09-04,211.99
2021-09-05,232.34
2021-09-06,219.42
2021-09-07,178.17
2021-09-08,179.62
2021-09-09,180.32
2021-09-10,174.12
2021-09-11,178.5
2021-09-12,183.03
2021-09-13,179.32
2021-09-14,182.98
2021-09-15,189.21
2021-09-16,185.37
2021-09-17,179.86
2021-09-18,181.4
2021-09-19,175.68
2021-09-20,156.69
2021-09-21,148.38
2021-09-22,161.48
2021-09-23,163.94
2021-09-24,152.28
2021-09-25,151.06
2021-09-26,150.76
2021-09-27,145.17
2021-09-28,140.57
2021-09-29,144.79
2021-09-30,153.27
2021-10-01,166.23
2021-10-02,169.1
2021-10-03,170.64
2021-10-04,167.73
2021-10-05,173.82
2021-10-06,178.5
2021-10-07,178.57
2021-10-08,175.85
2021-10-09,179.88
2021-10-10,174.93
2021-10-11,179.29
2021-10-12,172.59
2021-10-13,177.6
2021-10-14,181.3
2021-10-15,189.63
2021-10-16,185.9
2021-10-17,183.71
2021-10-18,185.62
2021-10-19,188.83
2021-10-20,207.32
2021-10-21,196.89
2021-10-22,190.95
2021-10-23,196.39
2021-10-24,190.52
2021-10-25,195.38
2021-10-26,197.48
2021-10-27,179.22
2021-10-28,189.9
2021-10-29,196.47
2021-10-30,190.33
2021-10-31,191.97
2021-11-01,197.72
2021-11-02,200.87
2021-11-03,207.22
2021-11-04,202.91
2021-11-05,199.21
2021-11-06,197.79
2021-11-07,202.13
2021-11-08,228.91
2021-11-09,262.1
2021-11-10,260.38
2021-11-11,262.5
2021-11-12,251.24
2021-11-13,257.84
2021-11-14,279.22
2021-11-15,263.11
2021-11-16,230.42
2021-11-17,229.7
2021-11-18,204.44
2021-11-19,218.24
2021-11-20,227.2
2021-11-21,221.86
2021-11-22,209.34
2021-11-23,216.34
2021-11-24,212.42
2021-11-25,223.04
2021-11-26,195.52
2021-11-27,195.45
2021-11-28,199.64
2021-11-29,205.8
2021-11-30,207.82
2021-12-01,208.96
2021-12-02,203.62
2021-12-03,187.98
2021-12-04,163.09
2021-12-05,156.58
2021-12-06,161.81
2021-12-07,162.06
2021-12-08,165.22
2021-12-09,151.5
2021-12-10,148.53
2021-12-11,158.0
2021-12-12,159.1
2021-12-13,144.66
2021-12-14,150.55
2021-12-15,153.58
2021-12-16,148.81
2021-12-17,144.12
2021-12-18,148.74
2021-12-19,153.21
2021-12-20,152.7
2021-12-21,154.8
2021-12-22,155.44
2021-12-23,163.67
2021-12-24,161.25
2021-12-25,157.77
2021-12-26,155.91
2021-12-27,155.85
2021-12-28,145.69
2021-12-29,145.54
2021-12-30,148.01
2021-12-31,146.16
2022-01-01,150.82
2022-01-02,151.18
2022-01-03,148.42
2022-01-04,146.51
2022-01-05,135.27
2022-01-06,135.97
2022-01-07,131.28
2022-01-08,129.48
2022-01-09,130.89
2022-01-10,126.54
2022-01-11,131.62
2022-01-12,141.98
2022-01-13,136.75
2022-01-14,144.71
2022-01-15,147.72
2022-01-16,146.47
2022-01-17,151.23
2022-01-18,141.53
2022-01-19,136.23
2022-01-20,129.79
2022-01-21,114.72
2022-01-22,108.31
2022-01-23,112.32
2022-01-24,109.64
2022-01-25,107.85
2022-01-26,106.99
2022-01-27,106.95
2022-01-28,109.49
2022-01-29,110.83
2022-01-30,108.64
2022-01-31,109.57
2022-02-01,115.11
2022-02-02,108.36
2022-02-03,111.01
2022-02-04,121.36
2022-02-05,121.84
2022-02-06,127.7
2022-02-07,137.33
2022-02-08,133.64
2022-02-09,140.14
2022-02-10,134.64
2022-02-11,125.74
2022-02-12,126.78
2022-02-13,125.7
2022-02-14,124.62
2022-02-15,131.73
2022-02-16,127.8
2022-02-17,116.41
2022-02-18,114.9
2022-02-19,115.64
2022-02-20,110.68
2022-02-21,102.78
2022-02-22,107.52
2022-02-23,105.44
2022-02-24,104.27
2022-02-25,109.3
2022-02-26,108.27
2022-02-27,103.02
2022-02-28,113.81
2022-03-01,112.61
2022-03-02,110.36
2022-03-03,111.43
2022-03-04,101.07
2022-03-05,104.92
2022-03-06,101.09
2022-03-07,98.54
2022-03-08,100.73
2022-03-09,106.88
2022-03-10,102.58
2022-03-11,104.8
2022-03-12,105.45
2022-03-13,101.71
2022-03-14,105.61
2022-03-15,106.96
2022-03-16,111.42
2022-03-17,110.25
2022-03-18,111.96
2022-03-19,116.95
2022-03-20,114.85
2022-03-21,116.2
2022-03-22,122.84
2022-03-23,122.51
2022-03-24,126.54
2022-03-25,124.01
2022-03-26,124.86
2022-03-27,129.67
2022-03-28,127.59
2022-03-29,130.08
2022-03-30,131.11
2022-03-31,123.85
2022-04-01,124.88
2022-04-02,124.85
2022-04-03,128.78
2022-04-04,124.77
2022-04-05,122.78
2022-04-06,111.71
2022-04-07,114.18
2022-04-08,110.77
2022-04-09,112.71
2022-04-10,110.28
2022-04-11,102.52
2022-04-12,104.85
2022-04-13,110.57
2022-04-14,107.39
2022-04-15,111.01
2022-04-16,114.33
2022-04-17,108.84
2022-04-18,111.24
2022-04-19,113.83
2022-04-20,111.88
2022-04-21,106.71
2022-04-22,105.36
2022-04-23,105.16
2022-04-24,104.59
2022-04-25,104.58
2022-04-26,98.57
2022-04-27,100.62
2022-04-28,103.33
2022-04-29,100.37
2022-04-30,95.91
2022-05-01,99.31
2022-05-02,100.64
2022-05-03,99.35
2022-05-04,106.26
2022-05-05,96.88
2022-05-06,96.7
2022-05-07,94.27
2022-05-08,93.88
2022-05-09,76.23
2022-05-10,80.19
2022-05-11,66.31
2022-05-12,64.22
2022-05-13,67.77
2022-05-14,68.81
2022-05-15,71.5
2022-05-16,67.12
2022-05-17,73.04
2022-05-18,65.83
2022-05-19,72.04
2022-05-20,68.51
2022-05-21,69.78
2022-05-22,71.62
2022-05-23,68.95
2022-05-24,70.2
2022-05-25,68.18
2022-05-26,63.41
2022-05-27,61.5
2022-05-28,63.01
2022-05-29,63.6
2022-05-30,69.04
2022-05-31,68.33
2022-06-01,62.64
2022-06-02,64.42
2022-06-03,62.55
2022-06-04,63.71
2022-06-05,63.1
2022-06-06,64.4
2022-06-07,63.79
2022-06-08,61.35
2022-06-09,60.18
2022-06-10,56.65
2022-06-11,52.11
2022-06-12,47.91
2022-06-13,43.45
2022-06-14,46.14
2022-06-15,50.61
2022-06-16,44.74
2022-06-17,47.54
2022-06-18,47.17
2022-06-19,54.23
2022-06-20,52.71
2022-06-21,53.48
2022-06-22,52.07
2022-06-23,55.7
2022-06-24,55.79
2022-06-25,58.83
2022-06-26,56.63
2022-06-27,55.84
2022-06-28,52.65
2022-06-29,53.57
2022-06-30,53.81
