date,price
2023-09-14,0.29
2023-09-15,0.296
2023-09-16,0.3012
2023-09-17,0.2891
2023-09-18,0.2921
2023-09-19,0.2983
2023-09-20,0.3001
2023-09-21,0.2935
2023-09-22,0.2941
2023-09-23,0.2934
2023-09-24,0.2932
2023-09-25,0.2985
2023-09-26,0.297
2023-09-27,0.2933
2023-09-28,0.299
2023-09-29,0.3157
2023-09-30,0.3091
2023-10-01,0.3237
2023-10-02,0.3114
2023-10-03,0.3017
2023-10-04,0.2975
2023-10-05,0.293
2023-10-06,0.3008
2023-10-07,0.2991
2023-10-08,0.2974
2023-10-09,0.2815
2023-10-10,0.2779
2023-10-11,0.2785
2023-10-12,0.2786
2023-10-13,0.2809
2023-10-14,0.2836
2023-10-15,0.2851
2023-10-16,0.2883
2023-10-17,0.281
2023-10-18,0.2766
2023-10-19,0.2783
2023-10-20,0.2868
2023-10-21,0.2986
2023-10-22,0.305
2023-10-23,0.3263
2023-10-24,0.3507
2023-10-25,0.3472
2023-10-26,0.3525
2023-10-27,0.3399
2023-10-28,0.3512
2023-10-29,0.3794
2023-10-30,0.3781
2023-10-31,0.3637
2023-11-01,0.3803
2023-11-02,0.4031
2023-11-03,0.3997
2023-11-04,0.407
2023-11-05,0.404
2023-11-06,0.4236
2023-11-07,0.4167
2023-11-08,0.427
2023-11-09,0.4183
2023-11-10,0.4348
2023-11-11,0.4702
2023-11-12,0.4663
2023-11-13,0.4445
2023-11-14,0.4262
2023-11-15,0.4518
2023-11-16,0.4305
2023-11-17,0.4267
2023-11-18,0.4174
2023-11-19,0.4301
2023-11-20,0.4204
2023-11-21,0.3771
2023-11-22,0.4051
2023-11-23,0.4054
2023-11-24,0.4136
2023-11-25,0.4646
2023-11-26,0.4504
2023-11-27,0.4408
2023-11-28,0.4443
2023-11-29,0.4402
2023-11-30,0.432
2023-12-01,0.4395
2023-12-02,0.458
2023-12-03,0.4502
2023-12-04,0.4517
2023-12-05,0.4698
2023-12-06,0.4731
2023-12-07,0.5029
2023-12-08,0.5202
2023-12-09,0.5342
2023-12-10,0.5326
2023-12-11,0.4895
2023-12-12,0.4949
2023-12-13,0.5025
2023-12-14,0.5137
2023-12-15,0.4842
2023-12-16,0.5026
2023-12-17,0.4816
2023-12-18,0.4756
2023-12-19,0.4753
2023-12-20,0.5015
2023-12-21,0.5216
2023-12-22,0.5277
2023-12-23,0.5147
2023-12-24,0.5408
2023-12-25,0.561
2023-12-26,0.5592
2023-12-27,0.5552
2023-12-28,0.5298
2023-12-29,0.5148
2023-12-30,0.5153
2023-12-31,0.5207
2024-01-01,0.5398
2024-01-02,0.5284
2024-01-03,0.4678
2024-01-04,0.4761
2024-01-05,0.4616
2024-01-06,0.4536
2024-01-07,0.4269
2024-01-08,0.4538
2024-01-09,0.4338
2024-01-10,0.465
2024-01-11,0.4855
2024-01-12,0.4617
2024-01-13,0.4678
2024-01-14,0.4453
2024-01-15,0.4518
