date,price
2023-09-14,1.108
2023-09-15,1.129
2023-09-16,1.128
2023-09-17,1.095
2023-09-18,1.1
2023-09-19,1.123
2023-09-20,1.121
2023-09-21,1.125
2023-09-22,1.122
2023-09-23,1.116
2023-09-24,1.095
2023-09-25,1.101
2023-09-26,1.08
2023-09-27,1.076
2023-09-28,1.108
2023-09-29,1.121
2023-09-30,1.135
2023-10-01,1.16
2023-10-02,1.114
2023-10-03,1.098
2023-10-04,1.097
2023-10-05,1.073
2023-10-06,1.092
2023-10-07,1.092
2023-10-08,1.094
2023-10-09,1.04
2023-10-10,1.043
2023-10-11,1.027
2023-10-12,1.012
2023-10-13,1.007
2023-10-14,1.012
2023-10-15,1.025
2023-10-16,1.033
2023-10-17,1.01
2023-10-18,0.9979
2023-10-19,0.9862
2023-10-20,1.005
2023-10-21,1.039
2023-10-22,1.058
2023-10-23,1.1
2023-10-24,1.135
2023-10-25,1.143
2023-10-26,1.191
2023-10-27,1.221
2023-10-28,1.22
2023-10-29,1.276
2023-10-30,1.323
2023-10-31,1.334
2023-11-01,1.529
2023-11-02,1.524
2023-11-03,1.476
2023-11-04,1.513
2023-11-05,1.637
2023-11-06,1.583
2023-11-07,1.448
2023-11-08,1.469
2023-11-09,1.437
2023-11-10,1.554
2023-11-11,1.598
2023-11-12,1.702
2023-11-13,1.59
2023-11-14,1.536
2023-11-15,1.7
2023-11-16,1.725
2023-11-17,1.869
2023-11-18,1.771
2023-11-19,1.991
2023-11-20,1.998
2023-11-21,1.755
2023-11-22,1.826
2023-11-23,1.806
2023-11-24,1.836
2023-11-25,1.887
2023-11-26,1.824
2023-11-27,1.781
2023-11-28,1.82
2023-11-29,1.798
2023-11-30,1.88
2023-12-01,1.892
2023-12-02,2.009
2023-12-03,1.982
2023-12-04,2.149
2023-12-05,2.256
2023-12-06,2.287
2023-12-07,2.267
2023-12-08,2.378
2023-12-09,2.422
2023-12-10,2.518
2023-12-11,2.24
2023-12-12,2.303
2023-12-13,2.327
2023-12-14,2.322
2023-12-15,2.188
2023-12-16,2.388
2023-12-17,2.265
2023-12-18,2.289
2023-12-19,2.436
2023-12-20,2.841
2023-12-21,3.542
2023-12-22,3.361
2023-12-23,3.901
2023-12-24,3.797
2023-12-25,4.251
2023-12-26,4.307
2023-12-27,4.085
2023-12-28,3.761
2023-12-29,3.62
2023-12-30,3.673
2023-12-31,3.647
2024-01-01,3.797
2024-01-02,3.926
2024-01-03,3.774
2024-01-04,3.913
2024-01-05,3.549
2024-01-06,3.483
2024-01-07,3.215
2024-01-08,3.416
2024-01-09,3.225
2024-01-10,3.602
2024-01-11,3.613
2024-01-12,3.45
2024-01-13,3.403
2024-01-14,3.306
2024-01-15,3.302
2024-01-16,3.237
2024-01-17,3.302
2024-01-18,3.074
2024-01-19,3.007
2024-01-20,2.966
2024-01-21,2.921
2024-01-22,2.645
2024-01-23,2.648
2024-01-24,2.683
2024-01-25,2.693
2024-01-26,2.921
2024-01-27,2.911
2024-01-28,2.88
2024-01-29,3.008
2024-01-30,3.007
2024-01-31,2.82
2024-02-01,2.852
2024-02-02,2.899
2024-02-03,2.813
2024-02-04,2.75
2024-02-05,2.746
2024-02-06,2.735
2024-02-07,2.868
2024-02-08,2.922
2024-02-09,2.993
2024-02-10,3.044
2024-02-11,3.126
2024-02-12,3.382
2024-02-13,3.218
2024-02-14,3.336
2024-02-15,3.399
2024-02-16,3.279
2024-02-17,3.332
2024-02-18,3.52
2024-02-19,3.529
2024-02-20,3.397
2024-02-21,3.239
2024-02-22,3.251
2024-02-23,3.361
2024-02-24,3.863
2024-02-25,3.706
2024-02-26,4.099
2024-02-27,3.944
2024-02-28,3.899
2024-02-29,3.875
2024-03-01,3.961
2024-03-02,4.487
2024-03-03,4.436
2024-03-04,4.338
2024-03-05,4.255
2024-03-06,5.899
2024-03-07,5.533
2024-03-08,5.755
2024-03-09,6.202
2024-03-10,5.956
2024-03-11,6.69
2024-03-12,8.083
2024-03-13,7.776
2024-03-14,8.858
2024-03-15,7.478
2024-03-16,6.725
2024-03-17,8.233
2024-03-18,7.023
2024-03-19,6.359
2024-03-20,6.905
2024-03-21,6.443
2024-03-22,6.491
2024-03-23,6.617
2024-03-24,7.0
2024-03-25,7.453
2024-03-26,7.66
2024-03-27,7.249
2024-03-28,7.188
2024-03-29,6.976
2024-03-30,6.94
2024-03-31,7.298
2024-04-01,6.739
2024-04-02,6.214
2024-04-03,6.595
2024-04-04,6.728
2024-04-05,7.221
2024-04-06,7.017
2024-04-07,6.915
2024-04-08,7.363
2024-04-09,7.223
2024-04-10,6.988
2024-04-11,6.798
2024-04-12,5.813
2024-04-13,5.232
2024-04-14,5.728
2024-04-15,5.222
2024-04-16,5.495
2024-04-17,5.413
2024-04-18,5.709
2024-04-19,5.589
2024-04-20,6.227
2024-04-21,6.448
2024-04-22,7.034
2024-04-23,6.891
2024-04-24,6.858
2024-04-25,7.129
2024-04-26,6.925
2024-04-27,7.133
2024-04-28,7.041
2024-04-29,6.86
2024-04-30,6.188
2024-05-01,6.137
2024-05-02,6.087
2024-05-03,6.88
2024-05-04,6.866
2024-05-05,7.495
2024-05-06,7.309
2024-05-07,7.122
2024-05-08,6.805
2024-05-09,7.479
2024-05-10,7.253
2024-05-11,7.021
2024-05-12,6.886
2024-05-13,7.292
2024-05-14,7.019
2024-05-15,8.059
2024-05-16,8.019
2024-05-17,8.042
2024-05-18,7.921
2024-05-19,7.784
2024-05-20,8.291
2024-05-21,7.779
2024-05-22,7.986
2024-05-23,7.69
2024-05-24,7.909
2024-05-25,8.234
2024-05-26,7.811
2024-05-27,7.822
2024-05-28,7.701
2024-05-29,7.575
2024-05-30,7.282
2024-05-31,7.236
2024-06-01,7.372
2024-06-02,7.186
2024-06-03,7.118
2024-06-04,7.422
2024-06-05,7.659
2024-06-06,7.325
2024-06-07,6.878
2024-06-08,6.567
2024-06-09,6.588
2024-06-10,6.39
2024-06-11,6.062
2024-06-12,6.401
2024-06-13,5.92
2024-06-14,5.587
2024-06-15,5.602
2024-06-16,5.634
2024-06-17,5.167
2024-06-18,4.728
2024-06-19,4.964
2024-06-20,5.16
2024-06-21,5.403
2024-06-22,5.182
2024-06-23,5.188
2024-06-24,5.372
2024-06-25,5.426
2024-06-26,5.173
2024-06-27,5.217
2024-06-28,4.949
2024-06-29,4.955
2024-06-30,5.297
2024-07-01,5.263
2024-07-02,5.512
2024-07-03,5.028
2024-07-04,4.617
2024-07-05,4.418
2024-07-06,4.813
2024-07-07,4.401
2024-07-08,4.469
2024-07-09,4.534
2024-07-10,4.626
2024-07-11,4.933
2024-07-12,5.189
2024-07-13,5.202
2024-07-14,5.404
2024-07-15,5.925
2024-07-16,6.25
2024-07-17,6.068
2024-07-18,6.038
2024-07-19,6.438
2024-07-20,6.29
2024-07-21,6.34
2024-07-22,6.034
2024-07-23,5.764
2024-07-24,5.622
2024-07-25,5.418
2024-07-26,5.72
2024-07-27,5.68
2024-07-28,5.443
2024-07-29,5.27
2024-07-30,5.148
2024-07-31,4.987
2024-08-01,4.978
2024-08-02,4.6
2024-08-03,4.366
2024-08-04,4.131
2024-08-05,3.525
2024-08-06,3.679
2024-08-07,3.568
2024-08-08,4.065
2024-08-09,4.056
2024-08-10,4.163
2024-08-11,3.869
2024-08-12,4.111
2024-08-13,4.306
2024-08-14,4.168
2024-08-15,4.026
2024-08-16,3.968
2024-08-17,3.991
2024-08-18,3.897
2024-08-19,4.002
2024-08-20,4.0
2024-08-21,4.244
2024-08-22,4.304
2024-08-23,4.838
2024-08-24,5.046
2024-08-25,4.921
2024-08-26,4.782
2024-08-27,4.534
2024-08-28,4.344
2024-08-29,4.213
2024-08-30,4.113
2024-08-31,4.03
2024-09-01,3.849
2024-09-02,3.988
2024-09-03,3.724
2024-09-04,3.886
2024-09-05,3.709
2024-09-06,3.547
2024-09-07,3.665
2024-09-08,3.754
2024-09-09,4.016
2024-09-10,4.032
2024-09-11,3.968
2024-09-12,4.247
2024-09-13,4.288
2024-09-14,4.192
2024-09-15,4.017
2024-09-16,3.88
2024-09-17,4.133
2024-09-18,4.251
2024-09-19,4.364
2024-09-20,4.385
2024-09-21,4.67
2024-09-22,4.527
2024-09-23,5.172
2024-09-24,5.344
2024-09-25,5.144
2024-09-26,5.551
2024-09-27,5.454
2024-09-28,5.562
2024-09-29,5.5
2024-09-30,5.289
2024-10-01,4.837
2024-10-02,4.627
2024-10-03,4.638
2024-10-04,4.83
2024-10-05,4.776
2024-10-06,4.952
2024-10-07,5.041
2024-10-08,4.89
2024-10-09,4.601
2024-10-10,4.59
2024-10-11,4.733
2024-10-12,4.842
2024-10-13,4.701
2024-10-14,5.023
2024-10-15,5.065
2024-10-16,4.945
2024-10-17,4.765
2024-10-18,4.894
2024-10-19,4.818
2024-10-20,4.977
2024-10-21,4.78
2024-10-22,4.676
2024-10-23,4.648
2024-10-24,4.715
2024-10-25,4.173
2024-10-26,4.232
2024-10-27,4.302
2024-10-28,4.296
2024-10-29,4.436
2024-10-30,4.308
2024-10-31,4.047
2024-11-01,3.927
2024-11-02,3.809
2024-11-03,3.687
2024-11-04,3.618
2024-11-05,3.811
2024-11-06,4.235
2024-11-07,4.232
2024-11-08,4.333
2024-11-09,4.639
2024-11-10,4.726
2024-11-11,5.569
2024-11-12,5.342
2024-11-13,5.173
2024-11-14,5.411
2024-11-15,5.559
2024-11-16,5.951
2024-11-17,5.703
2024-11-18,6.026
2024-11-19,5.788
2024-11-20,5.478
2024-11-21,5.795
2024-11-22,6.137
2024-11-23,6.195
2024-11-24,6.879
2024-11-25,6.457
2024-11-26,6.519
2024-11-27,6.823
2024-11-28,7.016
2024-11-29,6.965
2024-11-30,7.011
2024-12-01,6.922
2024-12-02,7.493
2024-12-03,7.392
2024-12-04,7.482
2024-12-05,7.624
2024-12-06,8.032
2024-12-07,7.733
2024-12-08,7.836
2024-12-09,6.516
2024-12-10,6.428
2024-12-11,6.855
2024-12-12,6.911
2024-12-13,6.937
2024-12-14,6.683
2024-12-15,6.853
2024-12-16,6.621
2024-12-17,6.379
2024-12-18,5.691
2024-12-19,5.198
2024-12-20,5.352
2024-12-21,5.021
2024-12-22,5.034
2024-12-23,5.433
2024-12-24,5.549
2024-12-25,5.441
2024-12-26,5.08
2024-12-27,5.109
2024-12-28,5.334
2024-12-29,5.12
2024-12-30,5.037
2024-12-31,4.902
2025-01-01,5.274
2025-01-02,5.44
2025-01-03,5.815
2025-01-04,5.788
2025-01-05,5.906
2025-01-06,6.016
2025-01-07,5.364
2025-01-08,5.154
2025-01-09,4.976
2025-01-10,5.084
2025-01-11,5.082
2025-01-12,4.969
2025-01-13,4.752
2025-01-14,5.05
2025-01-15,5.316
2025-01-16,5.158
2025-01-17,5.755
2025-01-18,5.439
2025-01-19,4.975
2025-01-20,5.089
2025-01-21,5.253
2025-01-22,5.092
2025-01-23,4.98
2025-01-24,5.0
2025-01-25,4.926
2025-01-26,4.758
2025-01-27,4.637
2025-01-28,4.281
2025-01-29,4.417
2025-01-30,4.603
2025-01-31,4.619
2025-02-01,4.258
2025-02-02,3.75
2025-02-03,3.779
2025-02-04,3.396
2025-02-05,3.28
2025-02-06,3.144
2025-02-07,3.206
2025-02-08,3.285
2025-02-09,3.181
2025-02-10,3.208
2025-02-11,3.201
2025-02-12,3.43
2025-02-13,3.376
2025-02-14,3.55
2025-02-15,3.405
2025-02-16,3.417
2025-02-17,3.257
2025-02-18,3.136
2025-02-19,3.158
2025-02-20,3.47
2025-02-21,3.308
2025-02-22,3.469
2025-02-23,3.433
2025-02-24,3.063
2025-02-25,3.006
2025-02-26,3.017
2025-02-27,3.055
2025-02-28,3.066
2025-03-01,3.27
2025-03-02,3.554
2025-03-03,2.971
2025-03-04,2.812
2025-03-05,2.99
2025-03-06,3.055
2025-03-07,2.939
2025-03-08,2.885
2025-03-09,2.551
2025-03-10,2.283
2025-03-11,2.448
2025-03-12,2.555
2025-03-13,2.571
2025-03-14,2.608
2025-03-15,2.642
2025-03-16,2.517
2025-03-17,2.638
2025-03-18,2.585
2025-03-19,2.793
2025-03-20,2.739
2025-03-21,2.714
2025-03-22,2.731
2025-03-23,2.779
2025-03-24,2.923
2025-03-25,3.027
2025-03-26,2.986
2025-03-27,3.011
2025-03-28,2.732
2025-03-29,2.565
2025-03-30,2.591
2025-03-31,2.509
2025-04-01,2.65
2025-04-02,2.448
2025-04-03,2.507
2025-04-04,2.507
2025-04-05,2.44
2025-04-06,2.159
2025-04-07,2.12
2025-04-08,1.906
2025-04-09,2.101
2025-04-10,2.004
2025-04-11,2.087
2025-04-12,2.212
2025-04-13,2.094
2025-04-14,2.112
2025-04-15,2.04
2025-04-16,1.966
2025-04-17,2.051
2025-04-18,2.055
2025-04-19,2.182
2025-04-20,2.243
2025-04-21,2.217
2025-04-22,2.406
2025-04-23,2.47
2025-04-24,2.543
2025-04-25,2.62
2025-04-26,2.623
2025-04-27,2.489
2025-04-28,2.585
2025-04-29,2.53
2025-04-30,2.463
2025-05-01,2.543
2025-05-02,2.51
2025-05-03,2.424
2025-05-04,2.321
2025-05-05,2.314
2025-05-06,2.328
2025-05-07,2.284
2025-05-08,2.736
2025-05-09,2.902
2025-05-10,3.349
2025-05-11,3.14
2025-05-12,3.188
2025-05-13,3.21
2025-05-14,3.052
2025-05-15,2.882
2025-05-16,2.796
2025-05-17,2.694
2025-05-18,2.868
2025-05-19,2.77
2025-05-20,2.813
2025-05-21,2.866
2025-05-22,3.076
2025-05-23,2.8
2025-05-24,2.776
2025-05-25,2.798
