date,price
2021-11-02,22.22
2021-11-03,22.41
2021-11-04,22.02
2021-11-05,24.37
2021-11-06,25.71
2021-11-07,27.79
2021-11-08,31.11
2021-11-09,30.32
2021-11-10,22.61
2021-11-11,28.2
2021-11-12,26.98
2021-11-13,27.07
2021-11-14,27.09
2021-11-15,26.52
2021-11-16,24.98
2021-11-17,25.63
2021-11-18,23.65
2021-11-19,24.74
2021-11-20,25.52
2021-11-21,24.2
2021-11-22,23.41
2021-11-23,24.23
2021-11-24,23.32
2021-11-25,27.17
2021-11-26,23.87
2021-11-27,23.49
2021-11-28,23.55
2021-11-29,24.12
2021-11-30,24.17
2021-12-01,25.04
2021-12-02,27.35
2021-12-03,19.99
2021-12-04,24.39
2021-12-05,23.96
2021-12-06,25.92
2021-12-07,27.97
2021-12-08,27.11
2021-12-09,25.52
2021-12-10,23.45
2021-12-11,26.54
2021-12-12,27.06
2021-12-13,24.45
2021-12-14,29.18
2021-12-15,31.7
2021-12-16,30.48
2021-12-17,31.33
2021-12-18,30.94
2021-12-19,32.74
2021-12-20,32.09
2021-12-21,31.98
2021-12-22,32.04
2021-12-23,30.53
2021-12-24,29.55
2021-12-25,29.24
2021-12-26,29.74
2021-12-27,30.49
2021-12-28,29.99
2021-12-29,16.44
2021-12-30,27.24
2021-12-31,28.81
2022-01-01,29.3
2022-01-02,29.26
2022-01-03,28.81
2022-01-04,27.75
2022-01-05,25.98
2022-01-06,24.82
2022-01-07,25.13
2022-01-08,24.9
2022-01-09,24.1
2022-01-10,23.84
2022-01-11,24.86
2022-01-12,26.16
2022-01-13,25.48
2022-01-14,25.09
2022-01-15,25.55
2022-01-16,27.03
2022-01-17,25.9
2022-01-18,24.97
2022-01-19,24.56
2022-01-20,24.72
2022-01-21,21.73
2022-01-22,20.2
2022-01-23,21.01
2022-01-24,20.96
2022-01-25,22.66
2022-01-26,21.8
2022-01-27,21.06
2022-01-28,21.11
2022-01-29,20.87
2022-01-30,21.06
2022-01-31,21.64
2022-02-01,22.01
2022-02-02,20.92
2022-02-03,20.89
2022-02-04,22.06
2022-02-05,22.22
2022-02-06,22.25
2022-02-07,23.03
2022-02-08,23.6
2022-02-09,23.45
2022-02-10,22.21
2022-02-11,21.6
2022-02-12,21.05
2022-02-13,20.67
2022-02-14,20.66
2022-02-15,21.67
2022-02-16,21.4
2022-02-17,20.39
2022-02-18,19.82
2022-02-19,19.7
2022-02-20,18.92
2022-02-21,18.17
2022-02-22,17.9
2022-02-23,16.93
2022-02-24,17.0
2022-02-25,17.6
2022-02-26,17.73
2022-02-27,16.81
2022-02-28,17.96
2022-03-01,18.34
2022-03-02,18.3
2022-03-03,19.18
2022-03-04,18.1
2022-03-05,18.18
2022-03-06,17.97
2022-03-07,17.68
2022-03-08,17.8
2022-03-09,18.59
2022-03-10,17.91
2022-03-11,17.76
2022-03-12,17.62
