date,price
2024-10-02,1.585
2024-10-03,1.519
2024-10-04,1.606
2024-10-05,1.595
2024-10-06,1.683
2024-10-07,1.662
2024-10-08,1.636
2024-10-09,1.531
2024-10-10,1.554
2024-10-11,1.694
2024-10-12,1.716
2024-10-13,1.713
2024-10-14,1.78
2024-10-15,1.734
2024-10-16,1.745
2024-10-17,1.674
2024-10-18,1.717
2024-10-19,1.691
2024-10-20,1.809
2024-10-21,1.715
2024-10-22,1.699
2024-10-23,1.721
2024-10-24,1.708
2024-10-25,1.558
2024-10-26,1.563
2024-10-27,1.593
2024-10-28,1.618
2024-10-29,1.703
2024-10-30,1.719
2024-10-31,1.609
2024-11-01,1.52
2024-11-02,1.457
2024-11-03,1.431
2024-11-04,1.342
2024-11-05,1.416
2024-11-06,1.602
2024-11-07,1.603
2024-11-08,1.58
2024-11-09,1.647
2024-11-10,1.643
2024-11-11,1.823
2024-11-12,1.668
2024-11-13,1.623
2024-11-14,1.513
2024-11-15,1.584
2024-11-16,1.776
2024-11-17,1.677
2024-11-18,1.831
2024-11-19,1.763
2024-11-20,1.65
2024-11-21,2.084
2024-11-22,2.211
2024-11-23,2.207
2024-11-24,2.203
2024-11-25,2.3
2024-11-26,2.204
2024-11-27,2.511
2024-11-28,2.361
2024-11-29,2.384
2024-11-30,2.45
2024-12-01,2.469
2024-12-02,2.561
2024-12-03,2.554
2024-12-04,2.552
2024-12-05,2.499
2024-12-06,2.669
2024-12-07,2.677
2024-12-08,2.672
2024-12-09,2.242
2024-12-10,2.206
2024-12-11,2.337
2024-12-12,2.55
2024-12-13,2.566
2024-12-14,2.439
2024-12-15,2.536
2024-12-16,2.498
2024-12-17,2.337
2024-12-18,2.156
2024-12-19,1.905
2024-12-20,1.888
2024-12-21,1.745
2024-12-22,1.759
2024-12-23,1.924
2024-12-24,1.949
2024-12-25,1.918
2024-12-26,1.776
2024-12-27,1.854
2024-12-28,1.891
2024-12-29,1.806
2024-12-30,1.821
2024-12-31,1.75
2025-01-01,1.814
2025-01-02,1.878
2025-01-03,2.016
2025-01-04,2.061
2025-01-05,2.093
2025-01-06,2.112
2025-01-07,1.893
2025-01-08,1.805
2025-01-09,1.75
2025-01-10,1.79
2025-01-11,1.793
2025-01-12,1.783
2025-01-13,1.726
2025-01-14,1.788
2025-01-15,1.901
2025-01-16,1.837
2025-01-17,1.964
2025-01-18,1.827
2025-01-19,1.705
2025-01-20,1.701
2025-01-21,1.75
2025-01-22,1.712
2025-01-23,1.723
2025-01-24,1.718
2025-01-25,1.633
2025-01-26,1.561
2025-01-27,1.456
2025-01-28,1.37
2025-01-29,1.434
2025-01-30,1.453
2025-01-31,1.427
2025-02-01,1.336
2025-02-02,1.117
2025-02-03,1.189
2025-02-04,1.112
2025-02-05,1.089
2025-02-06,1.039
2025-02-07,1.02
2025-02-08,1.063
2025-02-09,1.078
2025-02-10,1.098
2025-02-11,1.071
2025-02-12,1.122
2025-02-13,1.123
2025-02-14,1.158
2025-02-15,1.13
2025-02-16,1.118
2025-02-17,1.205
2025-02-18,1.087
2025-02-19,1.125
2025-02-20,1.163
2025-02-21,1.089
2025-02-22,1.144
2025-02-23,1.18
2025-02-24,1.003
2025-02-25,1.078
2025-02-26,1.155
2025-02-27,1.105
2025-02-28,1.08
2025-03-01,1.042
2025-03-02,1.168
2025-03-03,0.9834
2025-03-04,0.9423
2025-03-05,0.9872
2025-03-06,0.9561
2025-03-07,0.9559
2025-03-08,0.935
2025-03-09,0.848
2025-03-10,0.8013
2025-03-11,0.8501
2025-03-12,0.8788
2025-03-13,0.8361
2025-03-14,0.8666
2025-03-15,0.887
2025-03-16,0.8309
2025-03-17,0.887
2025-03-18,0.873
2025-03-19,0.921
2025-03-20,0.88
2025-03-21,0.8461
2025-03-22,0.8609
2025-03-23,0.8579
2025-03-24,0.906
2025-03-25,0.9039
2025-03-26,0.886
