date,price
2021-11-01,0.05669
2021-11-02,0.05883
2021-11-03,0.05412
2021-11-04,0.04916
2021-11-05,0.05736
2021-11-06,0.05415
2021-11-07,0.05254
2021-11-08,0.05471
2021-11-09,0.06895
2021-11-10,0.06558
2021-11-11,0.06028
2021-11-12,0.05967
2021-11-13,0.06312
2021-11-14,0.05961
2021-11-15,0.05916
2021-11-16,0.05229
2021-11-17,0.05071
2021-11-18,0.04725
2021-11-19,0.04709
2021-11-20,0.04782
2021-11-21,0.04344
2021-11-22,0.03716
2021-11-23,0.03569
2021-11-24,0.03545
2021-11-25,0.03833
2021-11-26,0.03389
2021-11-27,0.03398
2021-11-28,0.03956
2021-11-29,0.03817
2021-11-30,0.0376
2021-12-01,0.0372
2021-12-02,0.03504
2021-12-03,0.03488
2021-12-04,0.03102
2021-12-05,0.03116
2021-12-06,0.03235
2021-12-07,0.03241
2021-12-08,0.03283
2021-12-09,0.03046
2021-12-10,0.02926
2021-12-11,0.02964
2021-12-12,0.02956
2021-12-13,0.02617
2021-12-14,0.02613
2021-12-15,0.02786
2021-12-16,0.02572
2021-12-17,0.02493
2021-12-18,0.02531
2021-12-19,0.02382
2021-12-20,0.0244
2021-12-21,0.02397
2021-12-22,0.02188
2021-12-23,0.02592
2021-12-24,0.02593
2021-12-25,0.02522
2021-12-26,0.0254
2021-12-27,0.02434
2021-12-28,0.02377
2021-12-29,0.0237
2021-12-30,0.02215
2021-12-31,0.02079
2022-01-01,0.02291
2022-01-02,0.02507
2022-01-03,0.02462
2022-01-04,0.02475
2022-01-05,0.02345
2022-01-06,0.0237
2022-01-07,0.027
2022-01-08,0.02626
2022-01-09,0.0268
2022-01-10,0.02719
2022-01-11,0.03419
2022-01-12,0.03601
2022-01-13,0.03917
2022-01-14,0.0418
2022-01-15,0.0711
2022-01-16,0.0556
2022-01-17,0.05405
2022-01-18,0.04703
2022-01-19,0.04209
2022-01-20,0.03907
2022-01-21,0.03246
2022-01-22,0.02736
2022-01-23,0.0352
2022-01-24,0.03156
2022-01-25,0.0318
2022-01-26,0.02504
2022-01-27,0.01971
2022-01-28,0.02567
2022-01-29,0.03208
2022-01-30,0.02388
2022-01-31,0.03003
2022-02-01,0.03291
2022-02-02,0.02917
2022-02-03,0.02837
2022-02-04,0.0341
2022-02-05,0.03355
2022-02-06,0.03478
2022-02-07,0.03684
2022-02-08,0.0335
2022-02-09,0.03376
2022-02-10,0.03395
2022-02-11,0.03392
2022-02-12,0.03421
2022-02-13,0.03534
2022-02-14,0.03447
2022-02-15,0.03432
2022-02-16,0.03687
2022-02-17,0.03365
2022-02-18,0.0348
2022-02-19,0.0357
2022-02-20,0.03379
2022-02-21,0.03259
2022-02-22,0.03368
2022-02-23,0.03205
2022-02-24,0.03452
2022-02-25,0.03924
2022-02-26,0.0407
2022-02-27,0.03885
2022-02-28,0.03887
2022-03-01,0.04443
2022-03-02,0.04525
2022-03-03,0.03908
2022-03-04,0.03994
2022-03-05,0.04335
2022-03-06,0.03997
2022-03-07,0.03879
2022-03-08,0.03991
2022-03-09,0.04364
2022-03-10,0.04063
2022-03-11,0.03603
2022-03-12,0.04036
2022-03-13,0.03628
2022-03-14,0.03771
2022-03-15,0.03735
2022-03-16,0.04196
2022-03-17,0.04137
2022-03-18,0.04054
2022-03-19,0.04266
2022-03-20,0.04166
2022-03-21,0.04145
2022-03-22,0.0428
2022-03-23,0.04333
2022-03-24,0.04445
2022-03-25,0.04344
2022-03-26,0.04499
2022-03-27,0.05153
2022-03-28,0.05231
2022-03-29,0.05219
2022-03-30,0.05929
2022-03-31,0.05963
2022-04-01,0.0588
2022-04-02,0.06003
2022-04-03,0.0622
2022-04-04,0.05873
2022-04-05,0.05733
2022-04-06,0.0462
2022-04-07,0.04999
2022-04-08,0.05284
2022-04-09,0.05346
2022-04-10,0.06239
2022-04-11,0.05496
2022-04-12,0.05572
2022-04-13,0.0572
2022-04-14,0.05633
2022-04-15,0.05719
2022-04-16,0.05291
2022-04-17,0.05199
2022-04-18,0.04897
2022-04-19,0.05105
2022-04-20,0.0542
2022-04-21,0.05304
2022-04-22,0.05163
2022-04-23,0.05128
2022-04-24,0.05131
2022-04-25,0.05459
2022-04-26,0.05108
2022-04-27,0.0526
2022-04-28,0.05048
2022-04-29,0.04747
2022-04-30,0.04782
2022-05-01,0.05002
2022-05-02,0.04236
2022-05-03,0.04338
2022-05-04,0.04563
2022-05-05,0.04239
2022-05-06,0.04141
2022-05-07,0.04043
2022-05-08,0.03982
2022-05-09,0.03489
2022-05-10,0.03629
2022-05-11,0.03511
2022-05-12,0.03152
2022-05-13,0.03188
2022-05-14,0.03275
2022-05-15,0.03286
2022-05-16,0.04028
2022-05-17,0.04106
2022-05-18,0.03784
2022-05-19,0.03785
2022-05-20,0.03792
2022-05-21,0.03676
2022-05-22,0.03844
2022-05-23,0.03693
2022-05-24,0.03763
2022-05-25,0.03807
2022-05-26,0.03824
2022-05-27,0.03632
2022-05-28,0.03598
2022-05-29,0.03888
2022-05-30,0.0425
2022-05-31,0.04227
2022-06-01,0.03992
2022-06-02,0.04079
2022-06-03,0.03977
2022-06-06,0.04201
2022-06-07,0.04169
2022-06-08,0.04045
2022-06-10,0.03895
2022-06-11,0.03804
2022-06-12,0.03563
2022-06-13,0.03011
2022-06-14,0.02964
2022-06-15,0.03047
2022-06-16,0.02608
2022-06-17,0.02738
2022-06-18,0.0254
2022-06-19,0.02795
2022-06-20,0.02774
2022-06-21,0.04533
2022-06-22,0.0447
2022-06-23,0.03249
2022-06-24,0.03268
2022-06-25,0.02663
2022-06-26,0.03092
2022-06-27,0.03377
2022-06-28,0.03058
2022-06-29,0.03275
2022-06-30,0.02907
2022-07-01,0.0281
2022-07-02,0.02807
2022-07-03,0.02354
2022-07-04,0.02951
2022-07-05,0.02459
2022-07-06,0.02732
2022-07-07,0.02961
2022-07-08,0.03282
2022-07-09,0.03302
2022-07-10,0.03169
2022-07-11,0.03032
2022-07-12,0.02896
2022-07-13,0.03035
2022-07-14,0.03066
2022-07-15,0.03103
2022-07-16,0.0318
2022-07-18,0.03367
2022-07-19,0.0351
2022-07-20,0.03483
2022-07-21,0.03473
2022-07-22,0.0338
2022-07-23,0.03368
2022-07-24,0.02959
2022-07-25,0.02919
2022-07-26,0.02912
2022-07-27,0.03146
2022-07-28,0.03244
2022-07-29,0.029
2022-07-30,0.03192
2022-07-31,0.03123
2022-08-01,0.03118
2022-08-02,0.0315
2022-08-03,0.03127
2022-08-04,0.03099
2022-08-05,0.03195
2022-08-06,0.03145
2022-08-08,0.03144
2022-08-09,0.0345
2022-08-10,0.03546
2022-08-11,0.03568
2022-08-12,0.03637
2022-08-13,0.03643
2022-08-15,0.03543
2022-08-16,0.03531
2022-08-17,0.03407
2022-08-18,0.03341
2022-08-19,0.03083
2022-08-20,0.03129
2022-08-21,0.03636
2022-08-22,0.03831
2022-08-23,0.03874
2022-08-24,0.03846
2022-08-25,0.03903
2022-08-26,0.03645
2022-08-27,0.03587
2022-08-28,0.04282
2022-08-29,0.04444
2022-08-30,0.03507
2022-08-31,0.03268
2022-09-01,0.03442
2022-09-02,0.03333
2022-09-03,0.03352
2022-09-04,0.03361
2022-09-05,0.03226
2022-09-06,0.03007
2022-09-07,0.03067
2022-09-08,0.03072
2022-09-09,0.0577
2022-09-10,0.06258
2022-09-11,0.06551
2022-09-12,0.06787
2022-09-13,0.06113
2022-09-14,0.06697
2022-09-15,0.05615
2022-09-16,0.06357
2022-09-18,0.04971
2022-09-19,0.0596
2022-09-20,0.06325
2022-09-21,0.053
2022-09-22,0.06443
2022-09-23,0.04958
2022-09-24,0.05867
2022-09-25,0.05775
2022-09-26,0.04942
2022-09-27,0.04427
2022-09-28,0.04038
2022-09-29,0.04056
2022-09-30,0.04643
2022-10-01,0.05891
2022-10-02,0.0566
2022-10-04,0.04639
2022-10-05,0.05222
2022-10-06,0.06549
2022-10-07,0.06387
2022-10-08,0.05049
2022-10-09,0.06202
2022-10-11,0.04765
2022-10-12,0.05861
2022-10-13,0.05852
2022-10-14,0.05831
2022-10-15,0.05759
2022-10-17,0.05689
2022-10-18,0.04852
2022-10-19,0.05546
2022-10-20,0.05142
2022-10-22,0.0534
2022-10-24,0.05393
2022-10-25,0.06769
2022-10-26,0.07459
2022-10-27,0.07448
2022-10-28,0.07725
2022-10-29,0.08057
2022-10-30,0.08005
2022-10-31,0.08197
2022-11-01,0.08827
2022-11-02,0.07919
2022-11-03,0.08083
2022-11-04,0.133
2022-11-05,0.118
2022-11-06,0.09682
2022-11-07,0.08032
2022-11-08,0.09773
2022-11-09,0.06328
2022-11-10,0.1083
2022-11-11,0.1364
2022-11-12,0.1327
2022-11-13,0.1177
2022-11-14,0.1293
2022-11-15,0.1556
2022-11-16,0.1548
2022-11-17,0.1618
2022-11-18,0.1649
2022-11-19,0.1752
2022-11-20,0.1577
2022-11-21,0.1418
2022-11-22,0.1435
2022-11-23,0.1405
2022-11-24,0.1578
2022-11-25,0.161
2022-11-26,0.1558
2022-11-27,0.1478
