date,price
2021-11-01,1.011
2021-11-02,1.4
2021-11-03,1.174
2021-11-04,1.354
2021-11-05,1.481
2021-11-06,1.471
2021-11-07,2.075
2021-11-08,2.133
2021-11-09,2.167
2021-11-10,2.206
2021-11-11,2.881
2021-11-12,3.009
2021-11-13,3.255
2021-11-14,4.132
2021-11-15,4.467
2021-11-16,4.264
2021-11-17,5.29
2021-11-18,6.257
2021-11-19,6.761
2021-11-20,8.117
2021-11-21,6.451
2021-11-22,6.357
2021-11-23,7.075
2021-11-24,6.558
2021-11-25,6.593
2021-11-26,6.175
2021-11-27,7.503
2021-11-28,6.937
2021-11-29,6.894
2021-11-30,6.239
2021-12-01,5.333
2021-12-02,5.575
2021-12-03,5.029
2021-12-04,5.446
2021-12-05,4.568
2021-12-06,4.776
2021-12-07,4.673
2021-12-08,4.32
2021-12-09,3.981
2021-12-10,3.522
2021-12-11,3.767
2021-12-12,5.016
2021-12-13,4.039
2021-12-14,4.032
2021-12-15,4.435
2021-12-16,4.403
2021-12-17,4.016
2021-12-18,4.531
2021-12-19,4.688
2021-12-20,4.52
2021-12-21,5.601
2021-12-22,5.683
2021-12-23,6.252
2021-12-24,5.735
2021-12-25,5.593
2021-12-26,5.384
2021-12-27,5.224
2021-12-28,5.006
2021-12-29,4.565
2021-12-30,4.608
2021-12-31,4.595
2022-01-01,4.76
2022-01-02,4.612
2022-01-03,5.212
2022-01-04,4.807
2022-01-05,4.196
2022-01-06,4.17
2022-01-07,3.692
2022-01-08,3.583
2022-01-09,3.758
2022-01-10,3.501
2022-01-11,3.481
2022-01-12,3.971
2022-01-13,3.536
2022-01-14,3.537
2022-01-15,3.639
2022-01-16,3.6
2022-01-17,3.202
2022-01-18,2.996
2022-01-19,2.97
2022-01-20,2.834
2022-01-21,2.407
2022-01-22,2.139
2022-01-23,2.247
2022-01-24,2.284
2022-01-25,2.309
2022-01-26,2.489
2022-01-27,2.488
2022-01-28,2.833
2022-01-29,3.185
2022-01-30,3.091
2022-01-31,3.507
2022-02-01,3.748
2022-02-02,3.264
2022-02-03,3.369
2022-02-04,3.607
2022-02-05,3.709
2022-02-06,3.583
2022-02-07,3.643
2022-02-08,3.39
2022-02-09,3.335
2022-02-10,3.072
2022-02-11,2.674
2022-02-12,2.694
2022-02-13,2.564
2022-02-14,2.836
2022-02-15,3.243
2022-02-16,3.204
2022-02-17,2.792
2022-02-18,2.694
2022-02-19,2.612
2022-02-20,2.462
2022-02-21,2.356
2022-02-22,2.465
2022-02-23,2.35
2022-02-24,2.337
2022-02-25,2.585
2022-02-26,2.458
2022-02-27,2.385
2022-02-28,2.675
2022-03-01,2.973
2022-03-02,2.891
2022-03-03,2.75
2022-03-04,2.498
2022-03-05,2.627
2022-03-06,2.531
2022-03-07,2.485
2022-03-08,2.508
2022-03-09,2.648
2022-03-10,2.506
2022-03-11,2.39
2022-03-12,2.359
2022-03-13,2.269
2022-03-14,2.314
2022-03-15,2.332
2022-03-16,2.494
2022-03-17,2.421
2022-03-18,2.55
2022-03-19,2.709
2022-03-20,2.603
2022-03-21,2.662
2022-03-22,2.819
2022-03-23,2.818
2022-03-24,2.84
2022-03-25,2.741
2022-03-26,2.704
2022-03-27,2.796
2022-03-28,2.934
2022-03-29,2.934
2022-03-30,3.001
2022-03-31,2.93
2022-04-01,2.956
2022-04-02,3.046
2022-04-03,3.053
2022-04-04,2.903
2022-04-05,2.804
2022-04-06,2.494
2022-04-07,2.587
2022-04-08,2.441
2022-04-09,2.504
2022-04-10,2.459
2022-04-11,2.068
2022-04-12,2.048
2022-04-13,2.106
2022-04-14,2.016
2022-04-15,2.036
2022-04-16,2.009
2022-04-17,2.002
2022-04-18,2.004
2022-04-19,2.143
2022-04-20,2.052
2022-04-21,1.916
2022-04-22,1.932
2022-04-23,1.865
2022-04-24,1.776
2022-04-25,1.729
2022-04-26,1.497
2022-04-27,1.482
2022-04-28,1.563
2022-04-29,1.391
2022-04-30,1.21
2022-05-01,1.599
2022-05-02,1.707
2022-05-03,1.498
2022-05-04,1.738
2022-05-05,1.609
2022-05-06,1.509
2022-05-07,1.335
2022-05-08,1.294
2022-05-09,1.122
2022-05-10,1.162
2022-05-11,0.8195
2022-05-12,0.7811
2022-05-13,0.853
2022-05-14,0.8595
2022-05-15,0.9483
2022-05-16,0.9602
2022-05-17,0.9799
2022-05-18,0.8283
2022-05-19,0.9286
2022-05-20,0.872
2022-05-21,0.8996
2022-05-22,0.907
2022-05-23,0.8531
2022-05-24,0.9126
2022-05-25,0.8671
2022-05-26,0.7478
2022-05-27,0.699
2022-05-28,0.7101
2022-05-29,0.7175
2022-05-30,0.833
2022-05-31,0.8497
2022-06-01,0.7407
2022-06-02,0.7697
2022-06-03,0.7184
2022-06-04,0.7263
2022-06-05,0.7128
2022-06-06,0.7054
2022-06-07,0.7032
2022-06-08,0.6868
2022-06-09,0.6906
2022-06-10,0.6194
2022-06-11,0.5599
2022-06-12,0.5032
2022-06-13,0.4002
2022-06-14,0.382
2022-06-15,0.4098
2022-06-16,0.3409
2022-06-17,0.3409
2022-06-18,0.3268
2022-06-19,0.4302
2022-06-20,0.431
2022-06-21,0.4385
2022-06-22,0.4962
2022-06-23,0.5516
2022-06-24,0.5537
2022-06-25,0.5444
2022-06-26,0.4785
2022-06-27,0.4835
2022-06-28,0.6059
2022-06-29,0.5791
2022-06-30,0.5297
2022-07-01,0.4885
2022-07-02,0.5099
2022-07-03,0.5117
2022-07-04,0.5268
2022-07-05,0.5025
2022-07-06,0.5147
2022-07-07,0.552
2022-07-08,0.513
2022-07-09,0.5221
2022-07-10,0.5005
2022-07-11,0.4966
2022-07-12,0.4649
2022-07-13,0.5011
2022-07-14,0.5071
2022-07-15,0.5194
2022-07-16,0.5283
2022-07-17,0.5151
2022-07-18,0.5878
2022-07-19,0.6189
2022-07-20,0.5612
2022-07-21,0.5674
2022-07-22,0.5468
2022-07-23,0.562
2022-07-24,0.6035
2022-07-25,0.5491
2022-07-26,0.5387
2022-07-27,0.5779
2022-07-28,0.5968
2022-07-29,0.6072
2022-07-30,0.5993
2022-07-31,0.7263
2022-08-01,0.7073
