date,price
2023-09-14,1.642
2023-09-15,1.816
2023-09-16,1.935
2023-09-17,1.826
2023-09-18,1.871
2023-09-19,1.91
2023-09-20,1.787
2023-09-21,1.771
2023-09-22,1.74
2023-09-23,1.716
2023-09-24,1.671
2023-09-25,1.711
2023-09-26,1.742
2023-09-27,1.727
2023-09-28,1.924
2023-09-29,2.006
2023-09-30,1.922
2023-10-01,2.143
2023-10-02,2.031
2023-10-03,1.998
2023-10-04,2.059
2023-10-05,2.025
2023-10-06,1.76
2023-10-07,1.747
2023-10-08,1.736
2023-10-09,1.617
2023-10-10,1.686
2023-10-11,1.633
2023-10-12,1.644
2023-10-13,1.664
2023-10-14,1.636
2023-10-15,1.659
2023-10-16,1.641
2023-10-17,1.538
2023-10-18,1.573
2023-10-19,1.523
2023-10-20,1.639
2023-10-21,1.752
2023-10-22,1.832
2023-10-23,2.147
2023-10-24,2.177
2023-10-25,2.205
2023-10-26,2.373
2023-10-27,2.416
2023-10-28,2.495
2023-10-29,2.43
2023-10-30,2.751
2023-10-31,2.93
2023-11-01,2.955
2023-11-02,2.803
2023-11-03,3.341
2023-11-04,3.405
2023-11-05,3.352
2023-11-06,3.56
2023-11-07,3.383
2023-11-08,3.338
2023-11-09,3.929
2023-11-10,4.019
2023-11-11,4.713
2023-11-12,5.122
2023-11-13,4.829
2023-11-14,4.905
2023-11-15,6.085
2023-11-16,5.889
2023-11-17,6.418
2023-11-18,5.766
2023-11-19,5.561
2023-11-20,5.265
2023-11-21,4.899
2023-11-22,5.798
2023-11-23,5.473
2023-11-24,5.44
2023-11-25,5.435
2023-11-26,5.266
2023-11-27,5.447
2023-11-28,5.993
2023-11-29,6.373
2023-11-30,6.47
2023-12-01,6.455
2023-12-02,7.081
2023-12-03,6.973
2023-12-04,6.718
2023-12-05,6.556
2023-12-06,6.371
2023-12-07,6.523
2023-12-08,6.493
2023-12-09,6.134
2023-12-10,6.594
2023-12-11,5.866
2023-12-12,5.716
2023-12-13,5.845
2023-12-14,5.896
2023-12-15,5.707
2023-12-16,5.614
2023-12-17,5.504
2023-12-18,5.506
2023-12-19,5.129
2023-12-20,5.469
2023-12-21,5.404
2023-12-22,5.34
2023-12-23,5.586
2023-12-24,6.04
2023-12-25,5.853
2023-12-26,5.439
2023-12-27,5.651
2023-12-28,5.558
2023-12-29,5.328
2023-12-30,5.247
2023-12-31,5.151
2024-01-01,5.361
2024-01-02,5.713
2024-01-03,5.35
2024-01-04,5.399
2024-01-05,5.231
2024-01-06,4.913
2024-01-07,4.559
2024-01-08,4.914
2024-01-09,4.739
2024-01-10,5.035
2024-01-11,5.107
2024-01-12,4.569
2024-01-13,4.585
2024-01-14,4.455
2024-01-15,4.564
2024-01-16,4.761
2024-01-17,4.3
2024-01-18,4.059
2024-01-19,4.199
2024-01-20,4.116
2024-01-21,4.204
2024-01-22,3.926
2024-01-23,3.985
2024-01-24,4.088
2024-01-25,4.028
2024-01-26,4.335
2024-01-27,4.312
2024-01-28,4.268
2024-01-29,4.472
2024-01-30,4.73
2024-01-31,4.648
2024-02-01,4.58
2024-02-02,4.405
2024-02-03,4.346
2024-02-04,4.3
2024-02-05,4.414
2024-02-06,4.453
2024-02-07,4.572
2024-02-08,4.793
2024-02-09,5.255
2024-02-10,5.118
2024-02-11,5.175
2024-02-12,5.422
2024-02-13,5.229
2024-02-14,5.525
2024-02-15,5.721
2024-02-16,5.734
2024-02-17,5.426
2024-02-18,5.528
2024-02-19,5.455
2024-02-20,5.233
2024-02-21,5.164
2024-02-22,5.077
2024-02-23,5.173
2024-02-24,5.408
2024-02-25,5.39
2024-02-26,5.793
2024-02-27,5.98
2024-02-28,6.119
2024-02-29,5.738
2024-03-01,5.792
2024-03-02,5.763
2024-03-03,5.646
2024-03-04,5.572
2024-03-05,5.105
2024-03-06,5.289
2024-03-07,6.971
2024-03-08,7.27
2024-03-09,8.283
2024-03-10,8.579
2024-03-11,9.955
2024-03-12,10.45
2024-03-13,10.62
2024-03-14,10.29
2024-03-15,9.3
2024-03-16,8.173
2024-03-17,8.962
2024-03-18,8.227
2024-03-19,7.431
2024-03-20,9.426
2024-03-21,8.409
2024-03-22,8.086
2024-03-23,8.063
2024-03-24,8.75
2024-03-25,9.046
2024-03-26,9.528
2024-03-27,8.889
2024-03-28,9.27
2024-03-29,8.774
2024-03-30,8.383
2024-03-31,8.699
2024-04-01,8.193
2024-04-02,7.602
2024-04-03,7.328
2024-04-04,7.569
2024-04-05,7.469
2024-04-06,7.578
2024-04-07,7.429
2024-04-08,7.787
2024-04-09,7.357
2024-04-10,7.56
2024-04-11,7.184
2024-04-12,5.863
2024-04-13,4.956
2024-04-14,5.4
2024-04-15,5.178
2024-04-16,5.095
2024-04-17,4.762
2024-04-18,4.893
2024-04-19,5.403
2024-04-20,5.649
2024-04-21,5.632
2024-04-22,5.7
2024-04-23,5.688
2024-04-24,5.388
2024-04-25,5.509
2024-04-26,5.326
2024-04-27,5.129
2024-04-28,5.107
2024-04-29,5.114
2024-04-30,4.839
2024-05-01,4.848
2024-05-02,4.943
2024-05-03,5.307
2024-05-04,5.279
2024-05-05,5.236
2024-05-06,5.373
2024-05-07,5.309
2024-05-08,5.705
2024-05-09,6.292
2024-05-10,5.956
2024-05-11,5.82
2024-05-12,6.105
2024-05-13,5.799
2024-05-14,5.523
2024-05-15,6.282
2024-05-16,6.419
2024-05-17,6.828
2024-05-18,6.836
2024-05-19,6.603
2024-05-20,7.292
2024-05-21,6.813
2024-05-22,6.519
2024-05-23,6.294
2024-05-24,6.525
2024-05-25,6.65
2024-05-26,6.696
2024-05-27,6.889
2024-05-28,6.717
2024-05-29,6.622
2024-05-30,6.397
2024-05-31,6.08
2024-06-01,6.012
2024-06-02,5.915
2024-06-03,5.987
2024-06-04,6.196
2024-06-05,6.239
2024-06-06,6.015
2024-06-07,5.56
2024-06-08,5.368
2024-06-09,5.33
2024-06-10,5.203
2024-06-11,4.896
2024-06-12,5.094
2024-06-13,4.755
2024-06-14,4.674
2024-06-15,4.671
2024-06-16,4.693
2024-06-17,4.333
2024-06-18,4.053
2024-06-19,4.088
2024-06-20,4.243
2024-06-21,4.206
2024-06-22,4.198
2024-06-23,4.11
2024-06-24,4.123
2024-06-25,4.132
2024-06-26,4.05
2024-06-27,4.152
2024-06-28,3.924
2024-06-29,3.924
2024-06-30,4.152
2024-07-01,4.112
2024-07-02,4.255
2024-07-03,3.889
2024-07-04,3.504
2024-07-05,3.362
2024-07-06,3.554
2024-07-07,3.339
2024-07-08,3.507
2024-07-09,3.555
2024-07-10,3.626
2024-07-11,3.489
2024-07-12,3.606
2024-07-13,3.689
2024-07-14,3.838
2024-07-15,4.18
2024-07-16,4.1
2024-07-17,4.246
2024-07-18,4.524
2024-07-19,4.624
2024-07-20,4.885
2024-07-21,4.89
2024-07-22,4.635
2024-07-23,4.684
2024-07-24,4.527
2024-07-25,4.464
2024-07-26,4.673
2024-07-27,4.618
2024-07-28,4.542
2024-07-29,4.708
2024-07-30,4.572
2024-07-31,4.246
2024-08-01,4.007
2024-08-02,3.707
2024-08-03,3.488
2024-08-04,3.203
2024-08-05,2.937
2024-08-06,3.114
2024-08-07,2.933
2024-08-08,3.37
2024-08-09,3.24
2024-08-10,3.32
2024-08-11,3.096
2024-08-12,3.304
2024-08-13,3.674
2024-08-14,3.622
2024-08-15,3.592
2024-08-16,3.711
2024-08-17,4.035
2024-08-18,3.914
2024-08-19,3.992
2024-08-20,3.911
2024-08-21,3.913
2024-08-22,3.944
2024-08-23,4.464
2024-08-24,4.474
2024-08-25,4.407
2024-08-26,4.218
2024-08-27,3.964
2024-08-28,4.035
2024-08-29,4.17
2024-08-30,4.041
2024-08-31,3.922
2024-09-01,3.824
2024-09-02,3.907
2024-09-03,3.85
2024-09-04,3.736
2024-09-05,3.577
2024-09-06,3.445
2024-09-07,3.515
2024-09-08,3.57
2024-09-09,3.836
2024-09-10,4.043
2024-09-11,3.966
2024-09-12,3.916
2024-09-13,4.139
2024-09-14,4.003
2024-09-15,3.94
2024-09-16,3.859
2024-09-17,4.038
2024-09-18,4.305
2024-09-19,4.455
2024-09-20,4.454
2024-09-21,4.691
2024-09-22,4.514
2024-09-23,4.624
2024-09-24,4.884
2024-09-25,5.026
2024-09-26,5.381
2024-09-27,5.384
2024-09-28,5.394
2024-09-29,5.318
2024-09-30,5.073
2024-10-01,4.577
2024-10-02,4.597
2024-10-03,4.516
2024-10-04,4.802
2024-10-05,4.829
2024-10-06,4.916
2024-10-07,5.082
2024-10-08,5.049
2024-10-09,4.628
2024-10-10,4.682
2024-10-11,4.966
2024-10-12,4.991
2024-10-13,4.799
2024-10-14,5.224
2024-10-15,5.175
2024-10-16,5.101
2024-10-17,4.807
2024-10-18,5.053
2024-10-19,4.93
2024-10-20,5.183
2024-10-21,5.002
2024-10-22,5.316
2024-10-23,5.142
2024-10-24,5.421
2024-10-25,4.899
2024-10-26,5.029
2024-10-27,5.304
2024-10-28,5.968
2024-10-29,6.067
2024-10-30,5.895
2024-10-31,5.611
2024-11-01,5.702
2024-11-02,5.508
2024-11-03,5.083
2024-11-04,4.266
2024-11-05,4.668
2024-11-06,5.566
2024-11-07,5.605
2024-11-08,5.525
2024-11-09,5.683
2024-11-10,5.836
2024-11-11,6.581
2024-11-12,5.842
2024-11-13,5.621
2024-11-14,5.425
2024-11-15,5.548
2024-11-16,5.61
2024-11-17,5.317
2024-11-18,5.395
2024-11-19,5.211
2024-11-20,5.041
2024-11-21,5.379
2024-11-22,5.468
2024-11-23,5.588
2024-11-24,5.752
2024-11-25,5.426
2024-11-26,5.261
2024-11-27,5.6
2024-11-28,5.583
2024-11-29,6.176
2024-11-30,6.18
2024-12-01,6.057
2024-12-02,6.48
2024-12-03,6.933
2024-12-04,7.076
2024-12-05,6.772
2024-12-06,7.304
2024-12-07,7.134
2024-12-08,7.542
2024-12-09,6.386
2024-12-10,6.083
2024-12-11,6.353
2024-12-12,6.929
2024-12-13,6.579
2024-12-14,6.206
2024-12-15,6.429
2024-12-16,6.958
2024-12-17,6.637
2024-12-18,5.831
2024-12-19,5.21
2024-12-20,5.269
2024-12-21,4.973
2024-12-22,4.946
2024-12-23,5.235
2024-12-24,5.39
2024-12-25,5.174
2024-12-26,4.835
2024-12-27,4.713
2024-12-28,4.752
2024-12-29,4.579
2024-12-30,4.529
2024-12-31,4.469
2025-01-01,4.58
2025-01-02,4.816
2025-01-03,5.106
2025-01-04,5.164
2025-01-05,4.933
2025-01-06,4.957
2025-01-07,4.402
2025-01-08,3.987
2025-01-09,3.333
2025-01-10,3.487
2025-01-11,3.453
2025-01-12,3.366
2025-01-13,3.22
2025-01-14,3.2
2025-01-15,3.512
2025-01-16,3.458
2025-01-17,4.044
2025-01-18,3.753
2025-01-19,3.269
2025-01-20,3.293
2025-01-21,3.463
2025-01-22,3.196
2025-01-23,3.032
2025-01-24,2.098
2025-01-25,2.721
2025-01-26,2.519
2025-01-27,2.402
2025-01-28,2.055
2025-01-29,2.055
2025-01-30,2.203
2025-01-31,2.121
2025-02-01,1.167
2025-02-02,1.337
2025-02-03,1.496
2025-02-04,1.362
2025-02-05,1.315
2025-02-06,1.251
2025-02-07,1.197
2025-02-08,1.239
2025-02-09,1.253
2025-02-10,1.388
2025-02-11,1.347
2025-02-12,1.452
2025-02-13,1.449
2025-02-14,1.366
2025-02-15,1.341
2025-02-16,1.257
2025-02-17,1.21
2025-02-18,1.189
2025-02-19,1.166
2025-02-20,1.242
2025-02-21,1.2
2025-02-22,1.359
2025-02-23,1.408
2025-02-24,1.355
2025-02-25,1.465
2025-02-26,1.594
2025-02-27,1.246
2025-02-28,1.284
2025-03-01,1.24
2025-03-02,1.397
2025-03-03,1.273
2025-03-04,1.2
2025-03-05,1.285
2025-03-06,1.238
2025-03-07,1.221
2025-03-08,1.305
2025-03-09,1.214
2025-03-10,1.029
2025-03-11,1.13
2025-03-12,1.181
2025-03-13,1.098
2025-03-14,1.177
2025-03-15,1.184
2025-03-16,1.134
2025-03-17,1.197
2025-03-18,1.187
2025-03-19,1.269
2025-03-20,1.23
2025-03-21,1.203
2025-03-22,1.232
2025-03-23,1.279
2025-03-24,1.276
2025-03-25,1.25
2025-03-26,1.264
2025-03-27,1.26
2025-03-28,1.174
2025-03-29,1.127
2025-03-30,1.122
2025-03-31,1.14
2025-04-01,1.191
2025-04-02,1.117
2025-04-03,1.118
2025-04-04,1.128
2025-04-05,1.111
2025-04-06,1.045
2025-04-07,1.039
2025-04-08,0.993
2025-04-09,1.115
2025-04-10,1.073
2025-04-11,1.115
2025-04-12,1.185
2025-04-13,1.137
2025-04-14,1.144
2025-04-15,1.104
2025-04-16,1.119
2025-04-17,1.13
2025-04-18,1.141
2025-04-19,1.17
2025-04-20,1.206
2025-04-21,1.222
2025-04-22,1.312
2025-04-23,1.297
2025-04-24,1.396
2025-04-25,1.366
2025-04-26,1.388
2025-04-27,1.323
2025-04-28,1.389
2025-04-29,1.339
2025-04-30,1.335
2025-05-01,1.392
2025-05-02,1.309
2025-05-03,1.266
2025-05-04,1.257
2025-05-05,1.25
2025-05-06,1.291
2025-05-07,1.247
2025-05-08,1.377
2025-05-09,1.494
2025-05-10,1.74
2025-05-11,1.754
2025-05-12,1.934
2025-05-13,2.078
2025-05-14,1.953
2025-05-15,1.889
2025-05-16,1.777
2025-05-17,1.688
2025-05-18,1.902
2025-05-19,1.79
2025-05-20,1.793
2025-05-21,1.964
2025-05-22,2.135
2025-05-23,1.907
2025-05-24,1.871
2025-05-25,1.996
2025-05-26,1.922
2025-05-27,1.959
2025-05-28,1.922
2025-05-29,1.841
2025-05-30,1.653
2025-05-31,1.672
2025-06-01,1.71
2025-06-02,1.724
2025-06-03,1.675
2025-06-04,1.621
2025-06-05,1.537
2025-06-06,1.578
2025-06-07,1.628
2025-06-08,1.632
2025-06-09,1.736
2025-06-10,1.759
2025-06-11,1.692
2025-06-12,1.575
2025-06-13,1.515
2025-06-14,1.482
2025-06-15,1.509
2025-06-16,1.509
2025-06-17,1.439
2025-06-18,1.43
2025-06-19,1.402
2025-06-20,1.337
2025-06-21,1.28
2025-06-22,1.24
2025-06-23,1.372
2025-06-24,1.378
2025-06-25,1.334
2025-06-26,1.309
2025-06-27,1.318
2025-06-28,1.346
2025-06-29,1.411
2025-06-30,1.336
2025-07-01,1.3
2025-07-02,1.383
2025-07-03,1.395
2025-07-04,1.3
2025-07-05,1.315
