date,price
2023-09-14,0.2986
2023-09-15,0.3038
2023-09-16,0.3062
2023-09-17,0.2956
2023-09-18,0.3013
2023-09-19,0.3034
2023-09-20,0.3005
2023-09-21,0.2932
2023-09-22,0.2996
2023-09-23,0.3009
2023-09-24,0.2965
2023-09-25,0.3003
2023-09-26,0.3022
2023-09-27,0.3003
2023-09-28,0.3047
2023-09-29,0.3145
2023-09-30,0.3108
2023-10-01,0.3225
2023-10-02,0.305
2023-10-03,0.2991
2023-10-04,0.2977
2023-10-05,0.2945
2023-10-06,0.3006
2023-10-07,0.3008
2023-10-08,0.2989
2023-10-09,0.284
2023-10-10,0.2826
2023-10-11,0.282
2023-10-12,0.2821
2023-10-13,0.2849
2023-10-14,0.289
2023-10-15,0.2896
2023-10-16,0.2936
2023-10-17,0.2873
2023-10-18,0.2833
2023-10-19,0.2838
2023-10-20,0.296
2023-10-21,0.3095
2023-10-22,0.3087
2023-10-23,0.3243
2023-10-24,0.3278
2023-10-25,0.3319
2023-10-26,0.3357
2023-10-27,0.323
2023-10-28,0.3312
2023-10-29,0.3567
2023-10-30,0.3581
2023-10-31,0.3467
2023-11-01,0.3568
2023-11-02,0.3674
2023-11-03,0.363
2023-11-04,0.3736
2023-11-05,0.3751
2023-11-06,0.3924
2023-11-07,0.3882
2023-11-08,0.4019
2023-11-09,0.3955
2023-11-10,0.421
2023-11-11,0.4392
2023-11-12,0.4416
2023-11-13,0.4377
2023-11-14,0.4223
2023-11-15,0.4415
2023-11-16,0.4212
2023-11-17,0.4182
2023-11-18,0.4047
2023-11-19,0.417
2023-11-20,0.4121
2023-11-21,0.3663
2023-11-22,0.391
2023-11-23,0.3977
2023-11-24,0.4063
2023-11-25,0.4292
2023-11-26,0.4247
2023-11-27,0.4057
2023-11-28,0.4144
2023-11-29,0.4114
2023-11-30,0.4086
2023-12-01,0.4151
2023-12-02,0.4291
2023-12-03,0.4281
2023-12-04,0.4319
2023-12-05,0.4495
2023-12-06,0.4451
2023-12-07,0.464
2023-12-08,0.4942
2023-12-09,0.5325
2023-12-10,0.5574
2023-12-11,0.5135
2023-12-12,0.5101
2023-12-13,0.5206
2023-12-14,0.5313
2023-12-15,0.495
2023-12-16,0.5194
2023-12-17,0.4987
2023-12-18,0.4986
2023-12-19,0.4898
2023-12-20,0.5176
2023-12-21,0.5463
2023-12-22,0.5417
2023-12-23,0.533
2023-12-24,0.5642
2023-12-25,0.6067
2023-12-26,0.6268
2023-12-27,0.6034
2023-12-28,0.5793
2023-12-29,0.5744
2023-12-30,0.5756
2023-12-31,0.5949
2024-01-01,0.6041
2024-01-02,0.5867
2024-01-03,0.517
2024-01-04,0.5391
2024-01-05,0.5127
2024-01-06,0.4994
2024-01-07,0.469
2024-01-08,0.5031
2024-01-09,0.4773
2024-01-10,0.5205
2024-01-11,0.5379
2024-01-12,0.5038
2024-01-13,0.51
2024-01-14,0.489
2024-01-15,0.502
2024-01-16,0.5199
2024-01-17,0.5068
2024-01-18,0.4801
2024-01-19,0.4879
2024-01-20,0.4874
2024-01-21,0.4856
2024-01-22,0.4531
2024-01-23,0.4406
2024-01-24,0.445
2024-01-25,0.4379
2024-01-26,0.4526
2024-01-27,0.4548
2024-01-28,0.4504
2024-01-29,0.4642
2024-01-30,0.4546
2024-01-31,0.4366
2024-02-01,0.4401
2024-02-02,0.4431
2024-02-03,0.4387
2024-02-04,0.4269
2024-02-05,0.4306
2024-02-06,0.4333
2024-02-07,0.4455
2024-02-08,0.4517
2024-02-09,0.4718
2024-02-10,0.4719
2024-02-11,0.4675
2024-02-12,0.4819
2024-02-13,0.4661
2024-02-14,0.4801
2024-02-15,0.4937
2024-02-16,0.4949
2024-02-17,0.5066
2024-02-18,0.5104
2024-02-19,0.5282
2024-02-20,0.5149
2024-02-21,0.4919
2024-02-22,0.4997
2024-02-23,0.4966
2024-02-24,0.5211
2024-02-25,0.5194
2024-02-26,0.5409
2024-02-27,0.5608
2024-02-28,0.5562
2024-02-29,0.6062
2024-03-01,0.6647
2024-03-02,0.6915
2024-03-03,0.6736
2024-03-04,0.6899
2024-03-05,0.6455
