date,price
2023-09-14,7.36e-06
2023-09-15,7.45e-06
2023-09-16,7.39e-06
2023-09-17,7.22e-06
2023-09-18,7.25e-06
2023-09-19,7.41e-06
2023-09-20,7.44e-06
2023-09-21,7.25e-06
2023-09-22,7.3e-06
2023-09-23,7.51e-06
2023-09-24,7.31e-06
2023-09-25,7.29e-06
2023-09-26,7.26e-06
2023-09-27,7.21e-06
2023-09-28,7.31e-06
2023-09-29,7.32e-06
2023-09-30,7.33e-06
2023-10-01,7.52e-06
2023-10-02,7.32e-06
2023-10-03,7.28e-06
2023-10-04,7.24e-06
2023-10-05,7.14e-06
2023-10-06,7.24e-06
2023-10-07,7.24e-06
2023-10-08,7.19e-06
2023-10-09,6.92e-06
2023-10-10,6.91e-06
2023-10-11,6.78e-06
2023-10-12,6.79e-06
2023-10-13,6.91e-06
2023-10-14,7.03e-06
2023-10-15,6.98e-06
2023-10-16,7.1e-06
2023-10-17,6.89e-06
2023-10-18,6.77e-06
2023-10-19,6.84e-06
2023-10-20,6.9e-06
2023-10-21,7.07e-06
2023-10-22,7.13e-06
2023-10-23,7.52e-06
2023-10-24,7.4e-06
2023-10-25,7.8e-06
2023-10-26,7.91e-06
2023-10-27,7.7e-06
2023-10-28,7.96e-06
2023-10-29,8.02e-06
2023-10-30,7.97e-06
2023-10-31,7.78e-06
2023-11-01,7.98e-06
2023-11-02,7.86e-06
2023-11-03,7.82e-06
2023-11-04,7.96e-06
2023-11-05,8.13e-06
2023-11-06,8.46e-06
2023-11-07,8.19e-06
2023-11-08,8.28e-06
2023-11-09,8.22e-06
2023-11-10,8.49e-06
2023-11-11,9.09e-06
2023-11-12,8.93e-06
2023-11-13,8.54e-06
2023-11-14,8.34e-06
2023-11-15,8.79e-06
2023-11-16,8.5e-06
2023-11-17,8.82e-06
2023-11-18,8.57e-06
2023-11-19,8.69e-06
2023-11-20,8.44e-06
2023-11-21,7.74e-06
2023-11-22,8.1e-06
2023-11-23,8.12e-06
2023-11-24,8.2e-06
2023-11-25,8.47e-06
2023-11-26,8.3e-06
2023-11-27,8.2e-06
2023-11-28,8.31e-06
2023-11-29,8.22e-06
