date,price
2024-09-28,156.78
2024-09-29,158.52
2024-09-30,152.55
2024-10-01,145.15
2024-10-02,140.17
2024-10-03,136.79
2024-10-04,143.19
2024-10-05,142.64
2024-10-06,146.48
2024-10-07,143.95
2024-10-08,143.42
2024-10-09,139.22
2024-10-10,138.93
2024-10-11,145.47
2024-10-12,146.36
2024-10-13,147.68
2024-10-14,157.52
2024-10-15,154.74
2024-10-16,154.22
2024-10-17,150.43
2024-10-18,154.92
2024-10-19,159.68
2024-10-20,167.36
2024-10-21,166.14
2024-10-22,167.44
2024-10-23,170.67
2024-10-24,177.07
2024-10-25,164.65
2024-10-26,170.67
2024-10-27,176.47
2024-10-28,178.15
2024-10-29,179.38
2024-10-30,174.85
2024-10-31,168.45
2024-11-01,166.05
2024-11-02,166.1
2024-11-03,162.44
2024-11-04,157.87
2024-11-05,166.65
2024-11-06,186.78
2024-11-07,196.44
2024-11-08,199.98
2024-11-09,200.02
2024-11-10,210.23
2024-11-11,222.42
2024-11-12,211.86
2024-11-13,215.45
2024-11-14,209.54
2024-11-15,218.51
2024-11-16,215.77
2024-11-17,237.54
2024-11-18,239.94
2024-11-19,237.96
2024-11-20,235.65
2024-11-21,256.72
2024-11-22,257.21
2024-11-23,255.15
2024-11-24,252.98
2024-11-25,234.15
2024-11-26,230.62
2024-11-27,242.26
2024-11-28,237.63
2024-11-29,243.46
2024-11-30,237.75
2024-12-01,236.96
2024-12-02,225.81
2024-12-03,234.11
2024-12-04,229.48
2024-12-05,236.17
2024-12-06,237.18
2024-12-07,238.34
2024-12-08,237.2
2024-12-09,216.81
2024-12-10,213.75
2024-12-11,227.42
2024-12-12,227.01
2024-12-13,224.84
2024-12-14,219.87
2024-12-15,224.23
2024-12-16,216.25
2024-12-17,223.18
2024-12-18,206.45
2024-12-19,193.67
2024-12-20,194.46
2024-12-21,181.28
2024-12-22,180.34
2024-12-23,189.91
2024-12-24,196.96
2024-12-25,197.33
2024-12-26,188.24
2024-12-27,183.94
2024-12-28,195.15
2024-12-29,189.61
2024-12-30,191.04
2024-12-31,188.87
2025-01-01,193.85
2025-01-02,208.06
2025-01-03,217.89
2025-01-04,216.65
2025-01-05,213.36
2025-01-06,218.36
2025-01-07,202.14
2025-01-08,197.45
2025-01-09,184.99
2025-01-10,187.62
2025-01-11,188.02
2025-01-12,188.42
2025-01-13,182.75
2025-01-14,187.5
2025-01-15,205.9
2025-01-16,211.09
2025-01-17,219.57
2025-01-18,261.87
2025-01-19,252.19
2025-01-20,241.72
2025-01-21,250.36
2025-01-22,257.31
2025-01-23,253.13
2025-01-24,253.37
2025-01-25,256.33
2025-01-26,240.45
2025-01-27,234.9
2025-01-28,226.94
2025-01-29,228.13
2025-01-30,238.36
2025-01-31,231.71
2025-02-01,212.95
2025-02-02,203.43
2025-02-03,216.48
2025-02-04,206.7
2025-02-05,196.11
2025-02-06,189.57
2025-02-07,192.09
2025-02-08,199.49
2025-02-09,200.52
2025-02-10,200.53
2025-02-11,197.95
2025-02-12,196.79
2025-02-13,194.3
