date,price
2024-09-28,1.961
2024-09-29,1.966
2024-09-30,1.841
2024-10-01,1.711
2024-10-02,1.729
2024-10-03,1.827
2024-10-04,1.878
2024-10-05,1.804
2024-10-06,1.84
2024-10-07,1.756
2024-10-08,1.73
2024-10-09,1.65
2024-10-10,1.672
2024-10-11,1.742
2024-10-12,1.756
2024-10-13,1.73
2024-10-14,1.833
2024-10-15,1.816
2024-10-16,1.85
2024-10-17,1.864
2024-10-18,1.927
2024-10-19,1.882
2024-10-20,1.925
2024-10-21,1.829
2024-10-22,1.812
2024-10-23,1.793
2024-10-24,1.809
2024-10-25,1.649
2024-10-26,1.689
2024-10-27,1.738
2024-10-28,1.763
2024-10-29,1.865
2024-10-30,1.758
2024-10-31,1.64
2024-11-01,1.596
2024-11-02,1.571
2024-11-03,1.477
2024-11-04,1.455
2024-11-05,1.521
2024-11-06,1.721
2024-11-07,1.679
2024-11-08,1.656
2024-11-09,1.729
2024-11-10,1.814
2024-11-11,2.197
2024-11-12,2.024
2024-11-13,1.957
2024-11-14,1.805
2024-11-15,1.878
2024-11-16,2.006
2024-11-17,1.859
2024-11-18,1.944
2024-11-19,1.891
2024-11-20,1.807
2024-11-21,1.924
2024-11-22,2.044
2024-11-23,2.071
2024-11-24,2.063
2024-11-25,2.117
2024-11-26,2.118
2024-11-27,2.232
2024-11-28,2.316
2024-11-29,2.345
2024-11-30,2.315
2024-12-01,2.392
2024-12-02,2.419
2024-12-03,2.509
2024-12-04,2.695
2024-12-05,2.749
2024-12-06,2.743
2024-12-07,2.655
2024-12-08,2.722
2024-12-09,2.246
2024-12-10,2.182
2024-12-11,2.398
2024-12-12,2.343
2024-12-13,2.316
2024-12-14,2.229
2024-12-15,2.453
2024-12-16,2.417
2024-12-17,2.279
2024-12-18,2.009
2024-12-19,1.789
2024-12-20,1.801
2024-12-21,1.653
2024-12-22,1.636
2024-12-23,1.702
2024-12-24,1.769
2024-12-25,1.681
2024-12-26,1.58
2024-12-27,1.569
2024-12-28,1.656
2024-12-29,1.57
2024-12-30,1.486
2024-12-31,1.533
2025-01-01,1.608
2025-01-02,1.655
2025-01-03,1.736
2025-01-04,1.729
2025-01-05,1.762
2025-01-06,1.826
2025-01-07,1.601
2025-01-08,1.542
2025-01-09,1.5
2025-01-10,1.537
2025-01-11,1.533
2025-01-12,1.511
2025-01-13,1.454
2025-01-14,1.501
2025-01-15,1.615
2025-01-16,1.556
2025-01-17,1.678
2025-01-18,1.574
2025-01-19,1.408
2025-01-20,1.416
2025-01-21,1.483
2025-01-22,1.409
2025-01-23,1.399
2025-01-24,1.37
2025-01-25,1.388
2025-01-26,1.33
2025-01-27,1.283
2025-01-28,1.227
2025-01-29,1.248
2025-01-30,1.317
2025-01-31,1.33
2025-02-01,1.218
2025-02-02,1.036
2025-02-03,1.052
2025-02-04,1.013
2025-02-05,0.9714
2025-02-06,0.898
2025-02-07,0.8705
2025-02-08,0.9127
2025-02-09,0.9017
2025-02-10,0.967
2025-02-11,0.9346
2025-02-12,0.986
2025-02-13,0.9561
2025-02-14,0.9861
2025-02-15,0.9341
2025-02-16,0.9299
2025-02-17,0.9222
2025-02-18,0.875
2025-02-19,0.8881
2025-02-20,0.9492
2025-02-21,0.9022
2025-02-22,0.9292
2025-02-23,0.9136
2025-02-24,0.78
2025-02-25,0.7826
2025-02-26,0.7948
2025-02-27,0.8343
2025-02-28,0.831
2025-03-01,0.8111
2025-03-02,0.8796
2025-03-03,0.7283
2025-03-04,0.705
2025-03-05,0.7348
2025-03-06,0.7226
2025-03-07,0.7099
2025-03-08,0.6835
2025-03-09,0.6228
2025-03-10,0.581
2025-03-11,0.6121
2025-03-12,0.6353
2025-03-13,0.6162
2025-03-14,0.6404
2025-03-15,0.6569
2025-03-16,0.6176
2025-03-17,0.6256
2025-03-18,0.6155
2025-03-19,0.6609
2025-03-20,0.6439
2025-03-21,0.6194
2025-03-22,0.6202
2025-03-23,0.6311
2025-03-24,0.6846
2025-03-25,0.6992
2025-03-26,0.7201
2025-03-27,0.7269
2025-03-28,0.6596
2025-03-29,0.6214
2025-03-30,0.6087
2025-03-31,0.6067
2025-04-01,0.6173
2025-04-02,0.5754
2025-04-03,0.5785
2025-04-04,0.6012
2025-04-05,0.5994
2025-04-06,0.5311
2025-04-07,0.5521
2025-04-08,0.5349
2025-04-09,0.6057
2025-04-10,0.5941
2025-04-11,0.6151
2025-04-12,0.6471
2025-04-13,0.6127
2025-04-14,0.6011
2025-04-15,0.5815
2025-04-16,0.5765
2025-04-17,0.583
2025-04-18,0.5923
2025-04-19,0.6143
2025-04-20,0.6344
2025-04-21,0.7007
2025-04-22,0.8159
2025-04-23,0.7788
2025-04-24,0.8725
2025-04-25,0.8704
2025-04-26,0.8513
2025-04-27,0.8411
2025-04-28,0.8504
2025-04-29,0.8246
2025-04-30,0.814
2025-05-01,0.835
2025-05-02,0.8253
2025-05-03,0.7721
2025-05-04,0.757
2025-05-05,0.7702
2025-05-06,0.8003
2025-05-07,0.8958
2025-05-08,0.9945
2025-05-09,0.9731
2025-05-10,1.044
2025-05-11,0.9975
2025-05-12,0.9879
2025-05-13,1.001
2025-05-14,0.9406
2025-05-15,0.8877
2025-05-16,0.8785
2025-05-17,0.8455
2025-05-18,0.8891
2025-05-19,0.8574
2025-05-20,0.88
2025-05-21,0.9336
2025-05-22,0.9999
2025-05-23,0.9036
2025-05-24,0.8954
2025-05-25,0.8849
2025-05-26,0.8836
2025-05-27,0.8875
2025-05-28,0.8602
2025-05-29,0.8225
2025-05-30,0.7466
2025-05-31,0.7417
2025-06-01,0.7518
2025-06-02,0.7559
2025-06-03,0.7836
2025-06-04,0.7498
2025-06-05,0.6926
2025-06-06,0.6296
2025-06-07,0.6673
2025-06-08,0.6476
2025-06-09,0.7008
2025-06-10,0.7172
2025-06-11,0.6881
2025-06-12,0.6482
2025-06-13,0.6377
2025-06-14,0.6272
2025-06-15,0.6221
