date,price
2023-09-14,0.6062
2023-09-15,0.6137
2023-09-16,0.6137
2023-09-17,0.5972
2023-09-18,0.5994
2023-09-19,0.6114
2023-09-20,0.5967
2023-09-21,0.5908
2023-09-22,0.5987
2023-09-23,0.6438
2023-09-24,0.6228
2023-09-25,0.6336
2023-09-26,0.6389
2023-09-27,0.6343
2023-09-28,0.6464
2023-09-29,0.6453
2023-09-30,0.6467
2023-10-01,0.671
2023-10-02,0.6277
2023-10-03,0.6265
2023-10-04,0.6195
2023-10-05,0.6145
2023-10-06,0.6238
2023-10-07,0.6179
2023-10-08,0.6159
2023-10-09,0.5942
2023-10-10,0.5866
2023-10-11,0.5937
2023-10-12,0.5834
2023-10-13,0.582
2023-10-14,0.5894
2023-10-15,0.5983
2023-10-16,0.6074
2023-10-17,0.598
2023-10-18,0.5848
2023-10-19,0.5659
2023-10-20,0.5874
2023-10-21,0.6078
2023-10-22,0.6174
2023-10-23,0.651
2023-10-24,0.6614
2023-10-25,0.6618
2023-10-26,0.6509
2023-10-27,0.6426
2023-10-28,0.6716
2023-10-29,0.6836
2023-10-30,0.6931
2023-10-31,0.7207
2023-11-01,0.7631
2023-11-02,0.7703
2023-11-03,0.7537
2023-11-04,0.7748
2023-11-05,0.7938
2023-11-06,0.8213
2023-11-07,0.8274
2023-11-08,0.884
2023-11-09,0.9291
2023-11-10,1.03
2023-11-11,1.027
2023-11-12,0.9933
2023-11-13,0.9174
2023-11-14,0.9206
2023-11-15,0.9608
2023-11-16,0.9358
2023-11-17,0.9326
2023-11-18,0.9299
2023-11-19,0.9682
2023-11-20,0.9606
2023-11-21,0.8601
2023-11-22,0.9521
2023-11-23,0.9426
2023-11-24,0.9916
2023-11-25,1.016
2023-11-26,0.9797
2023-11-27,0.9516
2023-11-28,0.9588
2023-11-29,0.9628
2023-11-30,1.01
2023-12-01,0.9998
2023-12-02,1.092
2023-12-03,1.084
2023-12-04,1.116
2023-12-05,1.108
2023-12-06,1.045
2023-12-07,1.065
2023-12-08,1.163
2023-12-09,1.166
2023-12-10,1.14
2023-12-11,1.043
2023-12-12,1.058
2023-12-13,1.112
2023-12-14,1.117
2023-12-15,1.044
2023-12-16,1.089
2023-12-17,1.047
2023-12-18,1.021
2023-12-19,1.021
2023-12-20,1.085
2023-12-21,1.163
2023-12-22,1.161
2023-12-23,1.145
2023-12-24,1.269
2023-12-25,1.411
2023-12-26,1.412
2023-12-27,1.351
2023-12-28,1.335
2023-12-29,1.28
2023-12-30,1.257
2023-12-31,1.252
2024-01-01,1.338
2024-01-02,1.364
2024-01-03,1.186
2024-01-04,1.213
2024-01-05,1.154
2024-01-06,1.107
2024-01-07,1.044
2024-01-08,1.099
2024-01-09,1.016
2024-01-10,1.086
2024-01-11,1.135
2024-01-12,1.045
2024-01-13,1.059
2024-01-14,1.018
2024-01-15,1.035
2024-01-16,1.074
2024-01-17,1.059
2024-01-18,0.9836
2024-01-19,1.007
2024-01-20,1.028
2024-01-21,1.008
2024-01-22,0.9454
2024-01-23,0.937
2024-01-24,0.9666
2024-01-25,0.9382
2024-01-26,0.9802
2024-01-27,1.003
2024-01-28,1.018
2024-01-29,1.036
2024-01-30,1.006
2024-01-31,0.9711
2024-02-01,0.978
2024-02-02,1.0
2024-02-03,0.9895
2024-02-04,0.952
2024-02-05,0.9602
2024-02-06,0.9462
2024-02-07,0.9923
2024-02-08,0.9935
2024-02-09,1.035
2024-02-10,1.025
2024-02-11,1.019
2024-02-12,1.077
2024-02-13,1.073
2024-02-14,1.089
2024-02-15,1.112
2024-02-16,1.122
2024-02-17,1.184
2024-02-18,1.161
2024-02-19,1.271
2024-02-20,1.203
2024-02-21,1.173
2024-02-22,1.216
2024-02-23,1.196
2024-02-24,1.327
2024-02-25,1.4
2024-02-26,1.816
2024-02-27,1.86
2024-02-28,1.946
2024-02-29,1.841
2024-03-01,2.049
2024-03-02,2.152
2024-03-03,2.389
2024-03-04,2.354
2024-03-05,2.781
2024-03-06,2.892
2024-03-07,2.954
2024-03-08,3.052
2024-03-09,3.175
2024-03-10,3.224
2024-03-11,3.464
2024-03-12,3.428
2024-03-13,3.37
2024-03-14,3.354
2024-03-15,3.109
2024-03-16,2.748
2024-03-17,3.131
2024-03-18,2.995
2024-03-19,2.567
2024-03-20,3.045
2024-03-21,2.852
2024-03-22,2.809
2024-03-23,2.78
2024-03-24,2.918
2024-03-25,3.09
2024-03-26,3.067
2024-03-27,2.982
2024-03-28,2.951
2024-03-29,2.928
2024-03-30,2.809
2024-03-31,3.086
2024-04-01,2.869
2024-04-02,2.583
2024-04-03,2.509
2024-04-04,2.56
2024-04-05,2.588
2024-04-06,2.647
2024-04-07,2.683
2024-04-08,2.905
2024-04-09,2.863
2024-04-10,3.04
2024-04-11,2.9
2024-04-12,2.435
2024-04-13,2.037
2024-04-14,2.184
2024-04-15,2.02
2024-04-16,2.035
2024-04-17,1.991
2024-04-18,2.08
2024-04-19,2.06
2024-04-20,2.32
2024-04-21,2.25
2024-04-22,2.35
2024-04-23,2.392
2024-04-24,2.321
2024-04-25,2.473
2024-04-26,2.375
2024-04-27,2.342
2024-04-28,2.257
2024-04-29,2.181
2024-04-30,2.013
2024-05-01,2.035
2024-05-02,2.043
2024-05-03,2.184
2024-05-04,2.175
2024-05-05,2.244
2024-05-06,2.239
2024-05-07,2.141
2024-05-08,2.145
2024-05-09,2.214
2024-05-10,2.081
2024-05-11,2.006
2024-05-12,1.993
2024-05-13,1.987
2024-05-14,1.922
2024-05-15,2.089
2024-05-16,2.196
2024-05-17,2.22
2024-05-18,2.2
2024-05-19,2.148
2024-05-20,2.495
2024-05-21,2.488
2024-05-22,2.464
2024-05-23,2.334
2024-05-24,2.327
2024-05-25,2.368
2024-05-26,2.284
2024-05-27,2.344
2024-05-28,2.271
2024-05-29,2.217
2024-05-30,2.19
2024-05-31,2.13
2024-06-01,2.099
2024-06-02,2.065
2024-06-03,2.111
2024-06-04,2.148
2024-06-05,2.239
2024-06-06,2.198
2024-06-07,1.996
2024-06-08,1.919
2024-06-09,1.982
2024-06-10,1.909
2024-06-11,1.799
2024-06-12,1.916
2024-06-13,1.749
2024-06-14,1.66
2024-06-15,1.681
2024-06-16,1.688
2024-06-17,1.541
2024-06-18,1.414
2024-06-19,1.471
2024-06-20,1.521
2024-06-21,1.504
2024-06-22,1.551
2024-06-23,1.501
2024-06-24,1.516
2024-06-25,1.61
2024-06-26,1.585
2024-06-27,1.576
2024-06-28,1.508
2024-06-29,1.485
2024-06-30,1.559
2024-07-01,1.585
2024-07-02,1.562
2024-07-03,1.447
2024-07-04,1.292
2024-07-05,1.273
2024-07-06,1.365
2024-07-07,1.254
2024-07-08,1.276
2024-07-09,1.335
2024-07-10,1.367
2024-07-11,1.341
2024-07-12,1.391
2024-07-13,1.421
2024-07-14,1.454
2024-07-15,1.548
2024-07-16,1.522
2024-07-17,1.482
2024-07-18,1.487
2024-07-19,1.58
2024-07-20,1.636
2024-07-21,1.646
2024-07-22,1.538
2024-07-23,1.451
2024-07-24,1.457
2024-07-25,1.404
2024-07-26,1.507
2024-07-27,1.508
2024-07-28,1.452
2024-07-29,1.471
2024-07-30,1.396
2024-07-31,1.361
2024-08-01,1.354
2024-08-02,1.235
2024-08-03,1.211
2024-08-04,1.137
2024-08-05,1.061
2024-08-06,1.103
2024-08-07,1.062
2024-08-08,1.213
2024-08-09,1.175
2024-08-10,1.189
2024-08-11,1.11
2024-08-12,1.19
2024-08-13,1.209
2024-08-14,1.167
2024-08-15,1.159
2024-08-16,1.142
2024-08-17,1.142
2024-08-18,1.127
2024-08-19,1.164
2024-08-20,1.179
2024-08-21,1.239
2024-08-22,1.322
2024-08-23,1.412
2024-08-24,1.417
2024-08-25,1.374
2024-08-26,1.323
2024-08-27,1.252
2024-08-28,1.244
2024-08-29,1.223
2024-08-30,1.22
2024-08-31,1.2
2024-09-01,1.151
2024-09-02,1.19
2024-09-03,1.132
2024-09-04,1.144
2024-09-05,1.107
2024-09-06,1.094
2024-09-07,1.124
2024-09-08,1.162
2024-09-09,1.19
2024-09-10,1.208
2024-09-11,1.187
2024-09-12,1.201
2024-09-13,1.294
2024-09-14,1.295
2024-09-15,1.297
2024-09-16,1.31
2024-09-17,1.296
2024-09-18,1.394
2024-09-19,1.402
2024-09-20,1.42
2024-09-21,1.44
2024-09-22,1.396
2024-09-23,1.387
2024-09-24,1.403
2024-09-25,1.385
2024-09-26,1.521
2024-09-27,1.519
2024-09-28,1.459
2024-09-29,1.476
2024-09-30,1.401
2024-10-01,1.303
2024-10-02,1.23
2024-10-03,1.228
2024-10-04,1.281
2024-10-05,1.281
2024-10-06,1.336
2024-10-07,1.3
2024-10-08,1.286
2024-10-09,1.227
2024-10-10,1.2
2024-10-11,1.287
2024-10-12,1.295
2024-10-13,1.284
2024-10-14,1.352
2024-10-15,1.332
2024-10-16,1.304
2024-10-17,1.246
2024-10-18,1.299
2024-10-19,1.297
2024-10-20,1.368
2024-10-21,1.326
2024-10-22,1.297
2024-10-23,1.248
2024-10-24,1.258
2024-10-25,1.139
2024-10-26,1.148
2024-10-27,1.171
2024-10-28,1.188
2024-10-29,1.22
2024-10-30,1.191
2024-10-31,1.135
2024-11-01,1.114
2024-11-02,1.093
2024-11-03,1.053
2024-11-04,1.02
2024-11-05,1.091
2024-11-06,1.214
2024-11-07,1.212
2024-11-08,1.224
2024-11-09,1.304
2024-11-10,1.389
