date,price
2023-09-14,1.921
2023-09-15,2.075
2023-09-16,2.408
2023-09-17,2.296
2023-09-18,2.421
2023-09-19,2.557
2023-09-20,2.41
2023-09-21,2.372
2023-09-22,2.299
2023-09-23,2.303
2023-09-24,2.198
2023-09-25,2.162
2023-09-26,2.124
2023-09-27,2.18
2023-09-28,2.254
2023-09-29,2.199
2023-09-30,2.121
2023-10-01,2.108
2023-10-02,2.014
2023-10-03,2.025
2023-10-04,1.96
2023-10-05,2.074
2023-10-06,2.16
2023-10-07,2.071
2023-10-08,2.058
2023-10-09,1.976
2023-10-10,2.008
2023-10-11,1.998
2023-10-12,1.946
2023-10-13,1.955
2023-10-14,1.933
2023-10-15,1.947
2023-10-16,1.967
2023-10-17,2.061
2023-10-18,2.044
2023-10-19,2.086
2023-10-20,2.088
2023-10-21,2.129
2023-10-22,2.184
2023-10-23,2.203
2023-10-24,2.13
2023-10-25,2.128
2023-10-26,2.129
2023-10-27,2.063
2023-10-28,2.052
2023-10-29,2.077
2023-10-30,2.125
2023-10-31,2.262
2023-11-01,2.219
2023-11-02,2.253
2023-11-03,2.254
2023-11-04,2.262
2023-11-05,2.266
2023-11-06,2.438
2023-11-07,2.56
2023-11-08,2.71
2023-11-09,2.476
2023-11-10,2.478
2023-11-11,2.425
2023-11-12,2.598
2023-11-13,2.367
2023-11-14,2.281
2023-11-15,2.371
2023-11-16,2.289
2023-11-17,2.332
2023-11-18,2.36
2023-11-19,2.399
2023-11-20,2.341
2023-11-21,2.301
2023-11-22,2.394
2023-11-23,2.413
2023-11-24,2.416
2023-11-25,2.367
2023-11-26,2.374
2023-11-27,2.447
2023-11-28,2.448
2023-11-29,2.439
2023-11-30,2.417
2023-12-01,2.437
2023-12-02,2.494
2023-12-03,2.427
2023-12-04,2.404
2023-12-05,2.392
2023-12-06,2.311
2023-12-07,2.276
2023-12-08,2.328
2023-12-09,2.323
2023-12-10,2.321
2023-12-11,2.141
2023-12-12,2.155
2023-12-13,2.229
2023-12-14,2.215
2023-12-15,2.16
2023-12-16,2.185
2023-12-17,2.163
2023-12-18,2.131
2023-12-19,2.143
2023-12-20,2.221
2023-12-21,2.245
2023-12-22,2.257
2023-12-23,2.218
2023-12-24,2.185
2023-12-25,2.149
2023-12-26,2.185
2023-12-27,2.17
2023-12-28,2.207
2023-12-29,2.281
2023-12-30,2.38
2023-12-31,2.325
2024-01-01,2.353
2024-01-02,2.289
2024-01-03,2.207
2024-01-04,2.172
2024-01-05,2.124
2024-01-06,2.159
2024-01-07,2.214
2024-01-08,2.28
2024-01-09,2.198
2024-01-10,2.272
2024-01-11,2.222
2024-01-12,2.144
2024-01-13,2.111
2024-01-14,2.28
2024-01-15,2.432
2024-01-16,2.429
2024-01-17,2.293
2024-01-18,2.226
2024-01-19,2.212
2024-01-20,2.257
2024-01-21,2.225
2024-01-22,2.132
2024-01-23,2.145
2024-01-24,2.138
2024-01-25,2.059
2024-01-26,2.082
2024-01-27,2.092
2024-01-28,2.131
2024-01-29,2.122
2024-01-30,2.066
2024-01-31,2.072
2024-02-01,2.075
2024-02-02,2.07
2024-02-03,2.043
2024-02-04,2.083
2024-02-05,2.041
2024-02-06,2.048
2024-02-07,2.046
2024-02-08,2.082
2024-02-09,2.097
2024-02-10,2.081
2024-02-11,2.099
2024-02-12,2.207
2024-02-13,2.194
2024-02-14,2.22
2024-02-15,2.211
2024-02-16,2.152
2024-02-17,2.22
2024-02-18,2.273
2024-02-19,2.234
2024-02-20,2.233
2024-02-21,2.14
2024-02-22,2.096
2024-02-23,2.089
2024-02-24,2.107
2024-02-25,2.121
2024-02-26,2.183
2024-02-27,2.182
2024-02-28,2.538
2024-02-29,2.494
2024-03-01,2.721
2024-03-02,2.701
2024-03-03,2.681
2024-03-04,2.776
2024-03-05,2.609
2024-03-06,2.65
2024-03-07,2.741
2024-03-08,2.843
2024-03-09,2.886
2024-03-10,2.829
2024-03-11,3.262
2024-03-12,4.038
2024-03-13,4.333
2024-03-14,4.06
2024-03-15,3.906
2024-03-16,3.467
2024-03-17,3.852
2024-03-18,3.822
2024-03-19,3.743
2024-03-20,4.251
2024-03-21,4.117
2024-03-22,4.477
2024-03-23,4.74
2024-03-24,4.961
2024-03-25,5.362
2024-03-26,5.053
2024-03-27,4.978
2024-03-28,4.884
2024-03-29,5.013
2024-03-30,5.268
2024-03-31,5.484
2024-04-01,5.383
2024-04-02,4.878
2024-04-03,5.06
2024-04-04,5.198
2024-04-05,5.402
2024-04-06,5.623
2024-04-07,5.382
2024-04-08,6.407
2024-04-09,6.721
2024-04-10,6.838
2024-04-11,7.332
2024-04-12,6.683
2024-04-13,5.983
2024-04-14,6.892
2024-04-15,6.694
2024-04-16,6.364
2024-04-17,6.159
2024-04-18,6.446
2024-04-19,6.133
2024-04-20,6.204
2024-04-21,6.138
2024-04-22,5.963
2024-04-23,5.708
2024-04-24,5.559
2024-04-25,5.465
2024-04-26,5.307
2024-04-27,5.466
2024-04-28,5.447
2024-04-29,5.339
2024-04-30,5.187
