date,price
2023-09-14,0.08369
2023-09-15,0.0841
2023-09-16,0.08354
2023-09-17,0.08338
2023-09-18,0.08402
2023-09-19,0.08459
2023-09-20,0.08449
2023-09-21,0.08305
2023-09-22,0.08338
2023-09-23,0.08365
2023-09-24,0.08362
2023-09-25,0.08464
2023-09-26,0.08472
2023-09-27,0.08548
2023-09-28,0.08676
2023-09-29,0.08906
2023-09-30,0.0886
2023-10-01,0.09015
2023-10-02,0.08752
2023-10-03,0.09074
2023-10-04,0.08893
2023-10-05,0.08822
2023-10-06,0.0872
2023-10-07,0.08813
2023-10-08,0.08799
2023-10-09,0.08614
2023-10-10,0.0863
2023-10-11,0.08604
2023-10-12,0.0849
2023-10-13,0.08549
2023-10-14,0.08505
2023-10-15,0.08668
2023-10-16,0.08891
2023-10-17,0.08866
2023-10-18,0.08922
2023-10-19,0.08999
2023-10-20,0.09071
2023-10-21,0.09162
2023-10-22,0.0904
2023-10-23,0.09227
2023-10-24,0.09236
2023-10-25,0.09349
2023-10-26,0.09287
2023-10-27,0.09356
2023-10-28,0.09435
2023-10-29,0.09485
2023-10-30,0.09565
2023-10-31,0.09716
2023-11-01,0.1002
2023-11-02,0.09924
2023-11-03,0.09726
2023-11-04,0.09779
2023-11-05,0.09824
2023-11-06,0.0977
2023-11-07,0.09665
2023-11-08,0.0984
2023-11-09,0.09892
2023-11-10,0.1063
2023-11-11,0.108
2023-11-12,0.1084
2023-11-13,0.1069
2023-11-14,0.1023
2023-11-15,0.1042
2023-11-16,0.1024
2023-11-17,0.1038
2023-11-18,0.1029
2023-11-19,0.1035
2023-11-20,0.101
2023-11-21,0.09628
2023-11-22,0.1012
2023-11-23,0.1018
2023-11-24,0.1046
2023-11-25,0.1089
2023-11-26,0.1078
2023-11-27,0.1019
2023-11-28,0.103
2023-11-29,0.1035
2023-11-30,0.1035
2023-12-01,0.1031
2023-12-02,0.1033
2023-12-03,0.1031
2023-12-04,0.1038
2023-12-05,0.1036
2023-12-06,0.1048
2023-12-07,0.1043
2023-12-08,0.1067
2023-12-09,0.1067
2023-12-10,0.1078
2023-12-11,0.1039
2023-12-12,0.1037
2023-12-13,0.1043
2023-12-14,0.1061
2023-12-15,0.1015
2023-12-16,0.1028
2023-12-17,0.102
2023-12-18,0.101
2023-12-19,0.1006
2023-12-20,0.1027
2023-12-21,0.1047
2023-12-22,0.1053
2023-12-23,0.1068
2023-12-24,0.1063
2023-12-25,0.1059
2023-12-26,0.1031
2023-12-27,0.1054
2023-12-28,0.1057
2023-12-29,0.1057
2023-12-30,0.106
2023-12-31,0.1077
2024-01-01,0.1078
2024-01-02,0.1084
2024-01-03,0.1068
2024-01-04,0.1071
2024-01-05,0.1044
2024-01-06,0.1039
2024-01-07,0.1028
2024-01-08,0.1043
2024-01-09,0.1028
2024-01-10,0.1053
2024-01-11,0.1061
2024-01-12,0.1069
2024-01-13,0.1142
2024-01-14,0.1112
2024-01-15,0.1087
2024-01-16,0.1081
2024-01-17,0.1083
2024-01-18,0.108
2024-01-19,0.1104
2024-01-20,0.11
2024-01-21,0.1089
2024-01-22,0.1092
2024-01-23,0.1071
2024-01-24,0.1088
2024-01-25,0.112
2024-01-26,0.1145
2024-01-27,0.1125
2024-01-28,0.1123
2024-01-29,0.113
2024-01-30,0.112
2024-01-31,0.1123
2024-02-01,0.1156
2024-02-02,0.1162
2024-02-03,0.1172
2024-02-04,0.1184
2024-02-05,0.1189
2024-02-06,0.1209
2024-02-07,0.1236
2024-02-08,0.1219
2024-02-09,0.1237
2024-02-10,0.1245
2024-02-11,0.1242
2024-02-12,0.125
2024-02-13,0.1269
2024-02-14,0.1296
2024-02-15,0.1311
2024-02-16,0.1329
2024-02-17,0.1359
2024-02-18,0.1352
2024-02-19,0.1364
2024-02-20,0.1392
2024-02-21,0.1398
2024-02-22,0.1389
2024-02-23,0.1381
2024-02-24,0.1374
2024-02-25,0.1376
2024-02-26,0.1399
2024-02-27,0.1429
2024-02-28,0.1422
2024-02-29,0.1405
2024-03-01,0.1415
2024-03-02,0.1413
2024-03-03,0.1406
2024-03-04,0.1403
2024-03-05,0.1361
2024-03-06,0.1378
2024-03-07,0.1372
2024-03-08,0.1369
2024-03-09,0.136
2024-03-10,0.1339
2024-03-11,0.1337
2024-03-12,0.1314
2024-03-13,0.132
2024-03-14,0.1291
2024-03-15,0.1264
2024-03-16,0.1252
2024-03-17,0.1261
2024-03-18,0.1241
2024-03-19,0.1124
2024-03-20,0.1208
2024-03-21,0.1212
2024-03-22,0.1174
2024-03-23,0.1183
2024-03-24,0.1202
2024-03-25,0.1204
2024-03-26,0.1207
2024-03-27,0.1194
2024-03-28,0.1205
2024-03-29,0.12
2024-03-30,0.1227
2024-03-31,0.123
2024-04-01,0.1206
2024-04-02,0.1166
2024-04-03,0.1173
2024-04-04,0.1193
2024-04-05,0.1179
2024-04-06,0.1197
2024-04-07,0.1206
2024-04-08,0.1231
2024-04-09,0.121
2024-04-10,0.1191
2024-04-11,0.1204
2024-04-12,0.1148
2024-04-13,0.1103
2024-04-14,0.1126
2024-04-15,0.1115
2024-04-16,0.1119
2024-04-17,0.1097
2024-04-18,0.1093
2024-04-19,0.1099
2024-04-20,0.1111
2024-04-21,0.1113
2024-04-22,0.1123
2024-04-23,0.1133
2024-04-24,0.1132
2024-04-25,0.1173
2024-04-26,0.1201
2024-04-27,0.1196
2024-04-28,0.1214
2024-04-29,0.119
2024-04-30,0.1194
2024-05-01,0.1204
2024-05-02,0.1223
2024-05-03,0.1228
2024-05-04,0.1223
2024-05-05,0.1211
2024-05-06,0.1187
2024-05-07,0.1205
2024-05-08,0.1228
2024-05-09,0.1262
2024-05-10,0.1275
2024-05-11,0.1263
2024-05-12,0.1274
2024-05-13,0.1256
2024-05-14,0.1254
2024-05-15,0.1263
2024-05-16,0.125
2024-05-17,0.1243
2024-05-18,0.123
2024-05-19,0.1212
2024-05-20,0.1244
