date,price
2021-11-01,25.63
2021-11-02,26.18
2021-11-03,26.86
2021-11-04,25.76
2021-11-05,25.59
2021-11-06,25.18
2021-11-07,25.33
2021-11-08,26.26
2021-11-09,26.35
2021-11-10,25.3
2021-11-11,25.39
2021-11-12,24.58
2021-11-13,24.67
2021-11-14,24.56
2021-11-15,24.01
2021-11-16,21.72
2021-11-17,21.88
2021-11-18,20.09
2021-11-19,21.22
2021-11-20,22.05
2021-11-21,21.66
2021-11-22,20.97
2021-11-23,22.23
2021-11-24,20.82
2021-11-25,21.39
2021-11-26,19.22
2021-11-27,19.51
2021-11-28,20.15
2021-11-29,20.27
2021-11-30,21.25
2021-12-01,20.96
2021-12-02,22.43
2021-12-03,19.98
2021-12-04,17.22
2021-12-05,16.54
2021-12-06,17.35
2021-12-07,17.16
2021-12-08,18.72
2021-12-09,16.2
2021-12-10,15.16
2021-12-11,15.88
2021-12-12,16.03
2021-12-13,14.16
2021-12-14,15.0
2021-12-15,15.2
2021-12-16,14.42
2021-12-17,15.0
2021-12-18,15.58
2021-12-19,14.97
2021-12-20,14.5
2021-12-21,15.07
2021-12-22,16.23
2021-12-23,18.17
2021-12-24,17.5
2021-12-25,17.47
2021-12-26,18.67
2021-12-27,19.11
2021-12-28,18.4
2021-12-29,17.12
2021-12-30,17.8
2021-12-31,17.01
2022-01-01,17.47
2022-01-02,18.42
2022-01-03,18.46
2022-01-04,18.22
2022-01-05,17.09
2022-01-06,17.07
2022-01-07,15.73
2022-01-08,14.92
2022-01-09,15.79
2022-01-10,15.11
2022-01-11,15.97
2022-01-12,16.29
2022-01-13,15.44
2022-01-14,15.87
2022-01-15,16.49
2022-01-16,17.83
2022-01-17,16.65
2022-01-18,15.99
2022-01-19,15.12
2022-01-20,14.48
2022-01-21,12.67
2022-01-22,11.15
2022-01-23,11.43
2022-01-24,10.69
2022-01-25,10.59
2022-01-26,10.57
2022-01-27,10.32
2022-01-28,10.67
2022-01-29,11.16
2022-01-30,10.8
2022-01-31,11.78
2022-02-01,11.11
2022-02-02,10.53
2022-02-03,10.39
2022-02-04,11.18
2022-02-05,11.27
2022-02-06,11.7
2022-02-07,12.37
2022-02-08,11.94
2022-02-09,12.33
2022-02-10,11.41
2022-02-11,10.66
2022-02-12,10.64
2022-02-13,10.35
2022-02-14,10.62
2022-02-15,11.48
2022-02-16,11.22
2022-02-17,10.41
2022-02-18,10.16
2022-02-19,10.03
2022-02-20,9.358
2022-02-21,8.518
2022-02-22,8.863
2022-02-23,8.741
2022-02-24,8.826
2022-02-25,9.25
2022-02-26,9.059
2022-02-27,9.769
2022-02-28,10.55
2022-03-01,10.35
2022-03-02,10.05
2022-03-03,9.551
2022-03-04,8.804
2022-03-05,9.017
2022-03-06,8.47
2022-03-07,8.314
2022-03-08,8.829
2022-03-09,9.21
2022-03-10,8.68
2022-03-11,8.52
2022-03-12,8.467
2022-03-13,8.209
2022-03-14,8.485
2022-03-15,8.711
2022-03-16,9.092
2022-03-17,9.228
2022-03-18,9.641
2022-03-19,9.739
2022-03-20,9.327
2022-03-21,9.349
2022-03-22,9.76
2022-03-23,10.01
2022-03-24,10.79
2022-03-25,10.58
2022-03-26,10.64
2022-03-27,11.42
2022-03-28,10.91
2022-03-29,11.26
2022-03-30,11.69
2022-03-31,11.29
2022-04-01,11.59
2022-04-02,11.65
2022-04-03,11.88
2022-04-04,11.56
2022-04-05,11.11
2022-04-06,9.952
2022-04-07,10.45
2022-04-08,9.737
2022-04-09,10.06
2022-04-10,9.89
2022-04-11,8.977
2022-04-12,9.314
2022-04-13,9.658
2022-04-14,9.477
2022-04-15,9.77
2022-04-16,9.667
2022-04-17,9.245
2022-04-18,9.388
2022-04-19,9.542
2022-04-20,9.319
2022-04-21,8.859
2022-04-22,8.898
2022-04-23,8.922
2022-04-24,8.709
2022-04-25,8.735
2022-04-26,7.999
2022-04-27,8.216
2022-04-28,8.17
2022-04-29,7.619
2022-04-30,6.759
2022-05-01,7.117
