date,price
2024-09-28,0.02577
2024-09-29,0.02576
2024-09-30,0.0243
2024-10-01,0.02267
2024-10-02,0.02234
2024-10-03,0.02213
2024-10-04,0.02281
2024-10-05,0.02263
2024-10-06,0.02324
2024-10-07,0.02289
2024-10-08,0.02241
2024-10-09,0.02199
2024-10-10,0.02194
2024-10-11,0.02258
2024-10-12,0.02269
2024-10-13,0.02232
2024-10-14,0.0233
2024-10-15,0.02348
2024-10-16,0.0231
2024-10-17,0.02249
2024-10-18,0.0232
2024-10-19,0.0232
2024-10-20,0.0244
2024-10-21,0.02346
2024-10-22,0.02336
2024-10-23,0.02248
2024-10-24,0.0232
2024-10-25,0.02156
2024-10-26,0.02182
2024-10-27,0.02203
2024-10-28,0.02191
2024-10-29,0.02266
2024-10-30,0.02224
2024-10-31,0.02113
2024-11-01,0.02069
2024-11-02,0.02038
2024-11-03,0.01975
2024-11-04,0.01939
2024-11-05,0.02013
2024-11-06,0.02179
2024-11-07,0.02176
2024-11-08,0.02234
2024-11-09,0.02315
2024-11-10,0.02531
2024-11-11,0.0285
2024-11-12,0.02711
2024-11-13,0.02593
2024-11-14,0.02426
2024-11-15,0.02637
2024-11-16,0.03153
2024-11-17,0.02867
2024-11-18,0.03243
2024-11-19,0.03367
2024-11-20,0.03151
2024-11-21,0.03217
2024-11-22,0.03565
2024-11-23,0.04256
2024-11-24,0.04535
2024-11-25,0.04046
2024-11-26,0.04147
2024-11-27,0.04313
2024-11-28,0.04179
2024-11-29,0.04542
2024-11-30,0.04593
2024-12-01,0.04615
2024-12-02,0.05766
2024-12-03,0.07828
2024-12-04,0.06807
2024-12-05,0.06513
2024-12-06,0.06743
2024-12-07,0.06669
2024-12-08,0.06801
2024-12-09,0.05653
2024-12-10,0.05575
2024-12-11,0.05941
2024-12-12,0.05994
2024-12-13,0.06003
2024-12-14,0.05705
2024-12-15,0.05875
2024-12-16,0.05547
2024-12-17,0.05677
2024-12-18,0.05029
2024-12-19,0.04492
2024-12-20,0.04806
2024-12-21,0.04511
2024-12-22,0.04586
2024-12-23,0.04871
2024-12-24,0.0529
2024-12-25,0.05128
2024-12-26,0.04668
2024-12-27,0.04563
2024-12-28,0.04749
2024-12-29,0.04503
2024-12-30,0.0438
2024-12-31,0.04305
2025-01-01,0.04658
2025-01-02,0.04828
2025-01-03,0.05267
2025-01-04,0.05094
2025-01-05,0.05097
2025-01-06,0.05272
2025-01-07,0.04681
2025-01-08,0.04494
2025-01-09,0.04446
2025-01-10,0.04522
2025-01-11,0.04523
2025-01-12,0.04467
2025-01-13,0.04318
2025-01-14,0.04516
2025-01-15,0.04905
2025-01-16,0.05116
2025-01-17,0.05613
2025-01-18,0.0516
2025-01-19,0.04539
2025-01-20,0.04602
2025-01-21,0.04918
2025-01-22,0.04779
2025-01-23,0.04899
2025-01-24,0.04766
2025-01-25,0.04761
2025-01-26,0.0452
2025-01-27,0.04468
2025-01-28,0.04235
2025-01-29,0.04328
2025-01-30,0.04643
2025-01-31,0.04663
2025-02-01,0.0434
2025-02-02,0.03771
2025-02-03,0.0391
2025-02-04,0.036
