date,price
2023-09-14,146.63
2023-09-15,147.79
2023-09-16,144.4
2023-09-17,145.77
2023-09-18,145.75
2023-09-19,147.74
2023-09-20,148.22
2023-09-21,145.11
2023-09-22,145.04
2023-09-23,141.75
2023-09-24,143.73
2023-09-25,144.45
2023-09-26,144.64
2023-09-27,146.48
2023-09-28,146.19
2023-09-29,146.87
2023-09-30,146.58
2023-10-01,149.02
2023-10-02,145.98
2023-10-03,147.14
2023-10-04,150.45
2023-10-05,149.55
2023-10-06,151.95
2023-10-07,155.48
2023-10-08,156.32
2023-10-09,153.81
2023-10-10,152.21
2023-10-11,153.92
2023-10-12,152.43
2023-10-13,153.58
2023-10-14,152.91
2023-10-15,152.49
2023-10-16,152.57
2023-10-17,150.57
2023-10-18,149.69
2023-10-19,152.61
2023-10-20,154.92
2023-10-21,157.86
2023-10-22,159.25
2023-10-23,160.95
2023-10-24,158.08
2023-10-25,160.16
2023-10-26,159.65
2023-10-27,161.0
2023-10-28,162.22
2023-10-29,175.64
2023-10-30,173.09
2023-10-31,172.28
2023-11-01,171.6
2023-11-02,171.24
2023-11-03,171.16
2023-11-04,168.31
2023-11-05,169.42
2023-11-06,165.21
2023-11-07,166.16
2023-11-08,167.36
2023-11-09,170.38
2023-11-10,170.93
2023-11-11,169.29
2023-11-12,171.23
2023-11-13,162.68
2023-11-14,163.32
2023-11-15,160.97
2023-11-16,160.78
2023-11-17,163.17
2023-11-18,160.82
2023-11-19,164.21
2023-11-20,163.1
2023-11-21,158.84
2023-11-22,162.98
2023-11-23,165.98
2023-11-24,170.57
2023-11-25,171.98
2023-11-26,169.48
2023-11-27,165.52
2023-11-28,167.84
2023-11-29,166.14
2023-11-30,169.93
2023-12-01,171.83
2023-12-02,172.76
2023-12-03,172.44
2023-12-04,170.67
2023-12-05,171.07
2023-12-06,170.71
2023-12-07,172.84
2023-12-08,174.09
2023-12-09,175.15
2023-12-10,176.09
2023-12-11,171.91
2023-12-12,170.83
2023-12-13,169.11
2023-12-14,168.08
2023-12-15,168.18
2023-12-16,168.76
2023-12-17,167.88
2023-12-18,173.8
2023-12-19,171.31
2023-12-20,174.85
2023-12-21,173.22
2023-12-22,176.96
2023-12-23,178.52
2023-12-24,171.45
2023-12-25,174.46
2023-12-26,174.11
2023-12-27,175.62
2023-12-28,174.7
2023-12-29,166.53
2023-12-30,165.89
2023-12-31,165.15
2024-01-01,169.85
2024-01-02,167.56
2024-01-03,154.27
2024-01-04,164.93
2024-01-05,155.91
2024-01-06,152.64
2024-01-07,146.22
2024-01-08,148.01
2024-01-09,144.46
2024-01-10,149.15
2024-01-11,152.59
2024-01-12,151.77
2024-01-13,155.93
2024-01-14,153.85
2024-01-15,157.09
2024-01-16,157.17
2024-01-17,157.58
2024-01-18,153.05
2024-01-19,158.18
2024-01-20,156.62
2024-01-21,157.43
2024-01-22,150.47
2024-01-23,150.37
2024-01-24,152.58
2024-01-25,157.33
2024-01-26,159.36
2024-01-27,160.32
2024-01-28,160.8
2024-01-29,168.01
2024-01-30,160.18
2024-01-31,163.5
2024-02-01,166.22
2024-02-02,168.75
2024-02-03,165.38
2024-02-04,165.68
2024-02-05,165.28
2024-02-06,105.01
2024-02-07,131.06
2024-02-08,128.73
2024-02-09,121.64
2024-02-10,119.23
2024-02-11,120.76
2024-02-12,126.36
2024-02-13,127.87
2024-02-14,128.16
2024-02-15,125.73
2024-02-16,122.58
2024-02-17,121.21
2024-02-18,122.11
2024-02-19,113.08
2024-02-20,123.7
2024-02-21,123.02
2024-02-22,123.96
2024-02-23,123.76
2024-02-24,123.86
2024-02-25,128.75
2024-02-26,132.95
