date,price
2023-09-14,0.4889
2023-09-15,0.5005
2023-09-16,0.4997
2023-09-17,0.4927
2023-09-18,0.503
2023-09-19,0.514
2023-09-20,0.5213
2023-09-21,0.5071
2023-09-22,0.5122
2023-09-23,0.5077
2023-09-24,0.5021
2023-09-25,0.5054
2023-09-26,0.5017
2023-09-27,0.4988
2023-09-28,0.5097
2023-09-29,0.5215
2023-09-30,0.515
2023-10-01,0.524
2023-10-02,0.5123
2023-10-03,0.5391
2023-10-04,0.5328
2023-10-05,0.523
2023-10-06,0.5258
2023-10-07,0.522
2023-10-08,0.5178
2023-10-09,0.5029
2023-10-10,0.4964
2023-10-11,0.4888
2023-10-12,0.4829
2023-10-13,0.4851
2023-10-14,0.4867
2023-10-15,0.4874
2023-10-16,0.4978
2023-10-17,0.4913
2023-10-18,0.488
2023-10-19,0.5201
2023-10-20,0.5151
2023-10-21,0.5211
2023-10-22,0.5227
2023-10-23,0.5477
2023-10-24,0.559
2023-10-25,0.5555
2023-10-26,0.5535
2023-10-27,0.5432
2023-10-28,0.5449
2023-10-29,0.5561
2023-10-30,0.5786
2023-10-31,0.5999
2023-11-01,0.6091
2023-11-02,0.6054
2023-11-03,0.6125
2023-11-04,0.6155
2023-11-05,0.6613
2023-11-06,0.715
2023-11-07,0.6855
2023-11-08,0.6874
2023-11-09,0.6668
2023-11-10,0.6597
2023-11-11,0.6627
2023-11-12,0.6616
2023-11-13,0.6704
2023-11-14,0.6294
2023-11-15,0.6485
2023-11-16,0.612
2023-11-17,0.6135
2023-11-18,0.611
2023-11-19,0.6261
2023-11-20,0.6125
2023-11-21,0.579
2023-11-22,0.6112
2023-11-23,0.6206
2023-11-24,0.6217
2023-11-25,0.6231
2023-11-26,0.6159
2023-11-27,0.6039
2023-11-28,0.6109
2023-11-29,0.6092
2023-11-30,0.6063
2023-12-01,0.6129
2023-12-02,0.621
2023-12-03,0.6233
2023-12-04,0.6244
2023-12-05,0.6211
2023-12-06,0.6403
2023-12-07,0.6434
2023-12-08,0.6725
2023-12-09,0.6586
2023-12-10,0.6616
2023-12-11,0.6187
2023-12-12,0.6189
2023-12-13,0.6276
2023-12-14,0.6318
2023-12-15,0.6154
2023-12-16,0.62
2023-12-17,0.6098
2023-12-18,0.6124
2023-12-19,0.6045
2023-12-20,0.617
2023-12-21,0.6241
2023-12-22,0.6249
2023-12-23,0.6199
2023-12-24,0.6127
2023-12-25,0.6463
2023-12-26,0.6221
2023-12-27,0.6347
2023-12-28,0.635
2023-12-29,0.623
2023-12-30,0.6208
2023-12-31,0.6153
2024-01-01,0.6298
2024-01-02,0.6246
2024-01-03,0.5826
2024-01-04,0.5874
2024-01-05,0.5763
2024-01-06,0.5683
2024-01-07,0.5518
2024-01-08,0.5781
2024-01-09,0.5669
2024-01-10,0.6005
2024-01-11,0.6019
2024-01-12,0.5698
2024-01-13,0.5746
2024-01-14,0.5759
2024-01-15,0.5753
2024-01-16,0.5755
2024-01-17,0.568
2024-01-18,0.5515
2024-01-19,0.5438
2024-01-20,0.5532
2024-01-21,0.5461
2024-01-22,0.5269
2024-01-23,0.5178
2024-01-24,0.518
2024-01-25,0.5135
2024-01-26,0.532
2024-01-27,0.5303
2024-01-28,0.5241
2024-01-29,0.5351
2024-01-30,0.5109
2024-01-31,0.5029
2024-02-01,0.5058
2024-02-02,0.5103
2024-02-03,0.5187
2024-02-04,0.503
2024-02-05,0.5062
2024-02-06,0.505
2024-02-07,0.5137
2024-02-08,0.5147
2024-02-09,0.5263
2024-02-10,0.5241
2024-02-11,0.5263
2024-02-12,0.5317
2024-02-13,0.5247
2024-02-14,0.5383
2024-02-15,0.5627
2024-02-16,0.5646
2024-02-17,0.5499
2024-02-18,0.5573
2024-02-19,0.5628
2024-02-20,0.5626
2024-02-21,0.5491
2024-02-22,0.5408
2024-02-23,0.5341
