date,price
2023-09-14,0.6561
2023-09-15,0.6768
2023-09-16,0.6827
2023-09-17,0.6599
2023-09-18,0.671
2023-09-19,0.681
2023-09-20,0.6751
2023-09-21,0.659
2023-09-22,0.668
2023-09-23,0.666
2023-09-24,0.6511
2023-09-25,0.6585
2023-09-26,0.656
2023-09-27,0.651
2023-09-28,0.6672
2023-09-29,0.6795
2023-09-30,0.6813
2023-10-01,0.7062
2023-10-02,0.678
2023-10-03,0.6718
2023-10-04,0.6811
2023-10-05,0.6671
2023-10-06,0.6799
2023-10-07,0.6769
2023-10-08,0.6752
2023-10-09,0.6483
2023-10-10,0.6894
2023-10-11,0.656
2023-10-12,0.6414
2023-10-13,0.6519
2023-10-14,0.6553
2023-10-15,0.653
2023-10-16,0.6597
2023-10-17,0.651
2023-10-18,0.6301
2023-10-19,0.6242
2023-10-20,0.6452
2023-10-21,0.6699
2023-10-22,0.6743
2023-10-23,0.7071
2023-10-24,0.7119
2023-10-25,0.7127
2023-10-26,0.711
2023-10-27,0.7081
2023-10-28,0.7311
2023-10-29,0.7436
2023-10-30,0.7533
2023-10-31,0.7572
2023-11-01,0.7857
2023-11-02,0.7999
2023-11-03,0.7812
2023-11-04,0.7908
2023-11-05,0.8094
2023-11-06,0.8319
2023-11-07,0.8387
2023-11-08,0.87
2023-11-09,0.854
2023-11-10,0.8973
2023-11-11,0.9134
2023-11-12,0.9315
2023-11-13,0.8885
2023-11-14,0.8515
2023-11-15,0.8867
2023-11-16,0.8376
2023-11-17,0.8494
2023-11-18,0.8396
2023-11-19,0.8596
2023-11-20,0.8428
2023-11-21,0.7667
2023-11-22,0.8087
2023-11-23,0.813
2023-11-24,0.8231
2023-11-25,0.8461
2023-11-26,0.841
2023-11-27,0.808
2023-11-28,0.8131
2023-11-29,0.826
2023-11-30,0.8338
2023-12-01,0.8428
2023-12-02,0.8706
2023-12-03,0.8531
2023-12-04,0.877
2023-12-05,0.8949
2023-12-06,0.8801
2023-12-07,0.9091
2023-12-08,0.945
2023-12-09,0.9742
2023-12-10,0.9621
2023-12-11,0.873
2023-12-12,0.9302
2023-12-13,0.9186
2023-12-14,0.9786
2023-12-15,0.9152
2023-12-16,0.9429
2023-12-17,0.9099
2023-12-18,0.8925
2023-12-19,0.8639
2023-12-20,0.8829
2023-12-21,0.9291
2023-12-22,0.9904
2023-12-23,0.9877
2023-12-24,0.9819
2023-12-25,1.042
2023-12-26,1.048
2023-12-27,1.113
2023-12-28,1.054
2023-12-29,1.029
2023-12-30,1.02
2023-12-31,1.008
2024-01-01,1.101
2024-01-02,1.068
2024-01-03,0.9783
2024-01-04,0.9756
2024-01-05,0.9409
2024-01-06,0.9216
2024-01-07,0.8723
2024-01-08,0.938
2024-01-09,0.8907
2024-01-10,0.9447
2024-01-11,1.085
2024-01-12,1.028
2024-01-13,1.08
2024-01-14,1.115
2024-01-15,1.162
2024-01-16,1.128
2024-01-17,1.101
2024-01-18,1.042
2024-01-19,1.021
2024-01-20,1.034
2024-01-21,1.021
2024-01-22,0.9568
2024-01-23,0.9413
2024-01-24,0.951
2024-01-25,0.9338
2024-01-26,0.9729
2024-01-27,1.003
2024-01-28,0.9781
2024-01-29,1.009
2024-01-30,0.9816
2024-01-31,0.9668
2024-02-01,0.984
2024-02-02,1.016
2024-02-03,0.9979
2024-02-04,0.9582
2024-02-05,0.966
2024-02-06,0.9802
2024-02-07,1.006
2024-02-08,1.014
2024-02-09,1.038
2024-02-10,1.04
2024-02-11,1.032
2024-02-12,1.047
2024-02-13,1.044
2024-02-14,1.07
2024-02-15,1.08
2024-02-16,1.08
2024-02-17,1.061
2024-02-18,1.074
2024-02-19,1.094
2024-02-20,1.109
2024-02-21,1.087
2024-02-22,1.109
2024-02-23,1.087
2024-02-24,1.126
2024-02-25,1.116
2024-02-26,1.144
2024-02-27,1.141
2024-02-28,1.201
2024-02-29,1.237
2024-03-01,1.285
2024-03-02,1.426
2024-03-03,1.373
2024-03-04,1.42
2024-03-05,1.306
2024-03-06,1.401
2024-03-07,1.482
2024-03-08,1.442
2024-03-09,1.443
2024-03-10,1.423
2024-03-11,1.525
2024-03-12,1.559
2024-03-13,1.54
2024-03-14,1.489
2024-03-15,1.397
2024-03-16,1.29
2024-03-17,1.341
2024-03-18,1.27
2024-03-19,1.142
2024-03-20,1.262
2024-03-21,1.245
2024-03-22,1.227
2024-03-23,1.236
2024-03-24,1.294
2024-03-25,1.35
2024-03-26,1.378
2024-03-27,1.391
2024-03-28,1.414
2024-03-29,1.42
2024-03-30,1.371
2024-03-31,1.401
2024-04-01,1.351
2024-04-02,1.232
2024-04-03,1.217
2024-04-04,1.271
2024-04-05,1.25
2024-04-06,1.265
2024-04-07,1.271
2024-04-08,1.327
2024-04-09,1.265
2024-04-10,1.274
2024-04-11,1.284
2024-04-12,1.103
2024-04-13,0.9905
2024-04-14,1.049
2024-04-15,0.9986
2024-04-16,1.003
2024-04-17,0.9458
2024-04-18,0.9741
2024-04-19,0.9857
2024-04-20,1.081
2024-04-21,1.041
2024-04-22,1.063
2024-04-23,1.048
2024-04-24,1.009
2024-04-25,1.013
2024-04-26,0.999
2024-04-27,1.007
2024-04-28,0.995
2024-04-29,0.9851
2024-04-30,0.915
2024-05-01,0.9254
2024-05-02,0.9371
2024-05-03,0.9761
2024-05-04,0.965
2024-05-05,0.9641
2024-05-06,0.9401
2024-05-07,0.9231
2024-05-08,0.9211
2024-05-09,0.9391
2024-05-10,0.9091
2024-05-11,0.907
2024-05-12,0.8891
2024-05-13,0.8862
2024-05-14,0.8691
2024-05-15,0.9171
2024-05-16,0.9244
2024-05-17,0.9402
2024-05-18,0.947
2024-05-19,0.9109
2024-05-20,0.985
2024-05-21,0.989
2024-05-22,0.9679
2024-05-23,0.945
2024-05-24,0.9832
2024-05-25,0.9952
2024-05-26,0.959
2024-05-27,0.9952
2024-05-28,0.97
2024-05-29,0.946
2024-05-30,0.959
2024-05-31,0.9591
2024-06-01,0.938
2024-06-02,0.9251
2024-06-03,0.9261
2024-06-04,0.948
2024-06-05,0.957
2024-06-06,0.938
2024-06-07,0.8749
2024-06-08,0.83
2024-06-09,0.852
2024-06-10,0.846
2024-06-11,0.8149
2024-06-12,0.848
2024-06-13,0.8139
2024-06-14,0.8139
2024-06-15,0.816
2024-06-16,0.8167
2024-06-17,0.7611
2024-06-18,0.7527
2024-06-19,0.776
2024-06-20,0.7781
2024-06-21,0.7775
2024-06-22,0.7721
2024-06-23,0.7748
2024-06-24,0.7761
2024-06-25,0.7921
2024-06-26,0.7701
2024-06-27,0.7758
2024-06-28,0.7581
2024-06-29,0.7664
2024-06-30,0.793
2024-07-01,0.785
2024-07-02,0.8012
2024-07-03,0.767
2024-07-04,0.6817
2024-07-05,0.7287
2024-07-06,0.7459
2024-07-07,0.6901
2024-07-08,0.716
2024-07-09,0.7511
2024-07-10,0.7461
2024-07-11,0.7499
2024-07-12,0.771
2024-07-13,0.7859
2024-07-14,0.7929
2024-07-15,0.8238
2024-07-16,0.824
2024-07-17,0.8042
2024-07-18,0.8
2024-07-19,0.81
2024-07-20,0.806
2024-07-21,0.8051
2024-07-22,0.7722
2024-07-23,0.7601
2024-07-24,0.744
2024-07-25,0.745
2024-07-26,0.7791
2024-07-27,0.7782
2024-07-28,0.773
2024-07-29,0.7561
2024-07-30,0.7519
2024-07-31,0.731
2024-08-01,0.7271
2024-08-02,0.6879
2024-08-03,0.6842
2024-08-04,0.6611
2024-08-05,0.6153
2024-08-06,0.6438
2024-08-07,0.6388
2024-08-08,0.7052
2024-08-09,0.687
2024-08-10,0.6885
2024-08-11,0.6531
2024-08-12,0.6771
2024-08-13,0.6831
2024-08-14,0.655
2024-08-15,0.645
2024-08-16,0.649
2024-08-17,0.656
2024-08-18,0.6461
2024-08-19,0.66
2024-08-20,0.6661
2024-08-21,0.6939
2024-08-22,0.6952
2024-08-23,0.7441
2024-08-24,0.7509
2024-08-25,0.74
2024-08-26,0.707
2024-08-27,0.6761
2024-08-28,0.6702
2024-08-29,0.6732
2024-08-30,0.6741
2024-08-31,0.6602
2024-09-01,0.6295
2024-09-02,0.6569
2024-09-03,0.6239
2024-09-04,0.64
2024-09-05,0.617
2024-09-06,0.5971
2024-09-07,0.6069
2024-09-08,0.6185
2024-09-09,0.6421
2024-09-10,0.644
2024-09-11,0.6321
2024-09-12,0.6441
2024-09-13,0.658
2024-09-14,0.6509
2024-09-15,0.6287
2024-09-16,0.6297
2024-09-17,0.6363
2024-09-18,0.6502
2024-09-19,0.6799
2024-09-20,0.692
2024-09-21,0.7056
2024-09-22,0.6923
2024-09-23,0.698
2024-09-24,0.7105
2024-09-25,0.708
2024-09-26,0.7391
2024-09-27,0.756
2024-09-28,0.7405
2024-09-29,0.7459
2024-09-30,0.7058
2024-10-01,0.6591
2024-10-02,0.6429
2024-10-03,0.638
2024-10-04,0.6561
2024-10-05,0.6649
2024-10-06,0.677
2024-10-07,0.6624
2024-10-08,0.6552
2024-10-09,0.6489
2024-10-10,0.6501
2024-10-11,0.683
2024-10-12,0.6931
2024-10-13,0.6888
2024-10-14,0.708
2024-10-15,0.7008
2024-10-16,0.6911
2024-10-17,0.677
2024-10-18,0.6939
2024-10-19,0.6938
2024-10-20,0.71
2024-10-21,0.6941
2024-10-22,0.6849
2024-10-23,0.6621
2024-10-24,0.6691
2024-10-25,0.6271
2024-10-26,0.6299
2024-10-27,0.6381
2024-10-28,0.6489
2024-10-29,0.6779
2024-10-30,0.6621
2024-10-31,0.6304
2024-11-01,0.6287
2024-11-02,0.621
2024-11-03,0.6
2024-11-04,0.5919
2024-11-05,0.6149
2024-11-06,0.653
2024-11-07,0.6568
2024-11-08,0.6719
2024-11-09,0.6875
2024-11-10,0.7198
2024-11-11,0.754
2024-11-12,0.7407
2024-11-13,0.7332
2024-11-14,0.71
2024-11-15,0.7479
2024-11-16,0.8699
2024-11-17,0.7936
2024-11-18,1.178
2024-11-19,1.055
2024-11-20,1.06
2024-11-21,1.058
2024-11-22,1.128
2024-11-23,1.152
2024-11-24,1.414
2024-11-25,1.244
2024-11-26,1.2
2024-11-27,1.269
2024-11-28,1.279
2024-11-29,1.369
2024-11-30,1.673
2024-12-01,1.663
2024-12-02,1.641
2024-12-03,1.72
2024-12-04,1.725
2024-12-05,1.651
2024-12-06,1.758
2024-12-07,1.792
2024-12-08,1.755
2024-12-09,1.44
2024-12-10,1.42
2024-12-11,1.482
2024-12-12,1.478
2024-12-13,1.476
2024-12-14,1.408
2024-12-15,1.502
2024-12-16,1.458
2024-12-17,1.446
2024-12-18,1.328
2024-12-19,1.201
2024-12-20,1.25
2024-12-21,1.298
2024-12-22,1.251
2024-12-23,1.356
2024-12-24,1.431
2024-12-25,1.442
2024-12-26,1.346
2024-12-27,1.338
2024-12-28,1.428
2024-12-29,1.337
2024-12-30,1.352
2024-12-31,1.283
2025-01-01,1.363
2025-01-02,1.366
2025-01-03,1.435
2025-01-04,1.418
2025-01-05,1.447
2025-01-06,1.449
2025-01-07,1.31
2025-01-08,1.326
