date,value
2025-04-08,58083608
2025-04-09,57675281
2025-04-10,56860907
2025-04-11,59093835
2025-04-12,58034874
2025-04-13,56012359
2025-04-14,56459338
2025-04-15,57646114
2025-04-16,57297932
2025-04-17,56545038
2025-04-18,57658976
2025-04-19,56682810
2025-04-20,54762397
2025-04-21,55254711
2025-04-22,56472525
2025-04-23,56187339
2025-04-24,55504101
2025-04-25,56654702
2025-04-26,55751627
2025-04-27,53916841
2025-04-28,54456010
2025-04-29,55711766
2025-04-30,55485577
2025-05-01,54865249
2025-05-02,56059117
2025-05-03,55221034
2025-05-04,53457275
2025-05-05,54045840
2025-05-06,55347264
2025-05-07,55177348
